#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
dm3 14A 7 even-skipped knirps hunchback

#Data without background

#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
0 1.99 51.55 0.00 145.25 10.22
1 2.55 48.48 0.03 177.60 21.40
2 2.95 45.00 0.06 169.86 20.90
3 2.90 52.44 1.15 182.79 37.34
4 3.34 56.78 0.84 160.97 21.61
5 3.30 54.07 3.00 165.67 22.80
6 3.55 48.59 1.44 175.87 38.33
7 3.96 44.34 0.97 183.69 43.75
8 4.44 50.86 1.51 168.46 42.22
9 4.32 47.65 1.16 165.02 29.76
10 4.42 56.29 2.39 198.06 57.78
11 4.63 61.67 0.00 167.66 32.17
12 5.11 59.01 0.51 174.31 47.93
13 4.82 42.02 1.97 154.74 44.42
14 5.26 53.11 2.38 178.71 56.59
15 4.97 45.59 1.47 166.86 53.49
16 5.22 55.40 2.19 165.87 56.70
17 5.48 43.41 0.48 145.00 38.52
18 5.72 40.07 0.19 135.00 52.02
19 5.80 48.48 2.52 144.92 55.35
20 5.95 46.08 2.50 135.59 46.86
21 6.11 51.62 0.51 159.53 54.28
22 6.24 62.12 0.00 155.95 50.33
23 6.42 49.61 1.35 156.21 67.64
24 6.32 55.67 1.66 162.31 56.29
25 6.36 65.52 0.00 123.20 25.22
26 6.45 41.55 0.83 133.09 60.78
27 6.57 38.48 0.84 89.05 67.29
28 6.80 59.20 0.56 167.92 58.00
29 6.86 36.06 0.00 82.66 51.77
30 7.06 43.36 0.95 120.13 58.28
31 7.14 47.19 0.75 124.14 59.26
32 7.27 52.75 1.54 160.31 58.02
33 7.12 39.04 0.41 93.32 53.90
34 7.60 45.10 0.79 100.32 55.30
35 7.50 50.03 0.54 129.97 52.53
36 7.53 65.87 0.00 152.32 62.46
37 7.63 55.50 0.80 163.26 67.91
38 7.71 63.53 0.17 163.29 75.16
39 7.67 40.60 1.72 88.16 70.67
40 7.74 34.32 0.00 59.60 61.87
41 7.83 61.79 0.95 177.32 85.47
42 7.99 37.14 0.25 55.58 76.99
43 8.24 57.85 2.05 164.01 77.06
44 8.55 60.19 1.31 169.51 80.14
45 8.53 68.74 0.00 131.26 49.41
46 8.46 47.09 0.00 91.00 64.56
47 8.76 44.42 1.33 84.58 72.59
48 8.97 42.12 0.63 71.36 76.51
49 8.92 49.74 1.41 107.47 84.06
50 8.75 52.74 0.00 146.22 72.59
51 8.66 64.99 1.33 157.94 87.53
52 8.72 39.07 2.30 47.89 78.85
53 9.06 33.88 0.00 24.53 77.66
54 9.18 66.08 0.00 154.25 78.31
55 9.19 36.56 0.09 35.64 86.82
56 9.36 55.55 0.69 158.48 79.06
57 9.52 62.31 0.65 153.35 86.89
58 9.54 39.98 0.34 48.75 76.30
59 9.56 31.29 0.00 16.30 69.86
60 9.87 47.73 0.13 64.96 97.42
61 9.92 70.84 0.00 107.23 47.09
62 9.80 58.83 1.21 152.88 101.25
63 9.99 68.66 0.00 136.76 68.81
64 10.07 45.09 0.00 57.19 84.67
65 10.22 50.71 0.00 85.18 95.83
66 10.32 38.21 1.25 25.68 98.71
67 10.31 53.55 0.66 124.67 92.41
68 10.15 66.95 0.00 157.41 85.23
69 10.37 34.92 0.00 18.35 87.72
70 10.44 42.37 0.41 39.59 92.82
71 10.69 60.90 1.72 172.42 105.57
72 10.79 56.51 1.02 163.25 92.84
73 10.57 32.75 0.00 12.56 85.27
74 10.86 64.24 1.05 152.80 115.36
75 11.09 31.52 0.00 11.41 89.16
76 11.24 40.30 0.12 23.62 96.57
77 11.08 71.40 0.00 109.89 58.47
78 11.29 48.32 0.71 52.37 112.81
79 11.45 45.15 0.00 32.67 109.03
80 11.54 52.33 0.62 87.06 107.37
81 11.44 67.79 0.00 144.10 104.84
82 11.32 72.71 0.00 89.30 41.00
83 11.65 37.09 0.00 13.44 108.11
84 11.74 34.06 0.59 10.92 97.42
85 11.85 58.73 0.74 168.99 109.37
86 12.03 55.43 1.34 119.88 114.70
87 12.17 42.53 0.10 18.17 109.15
88 11.90 70.45 0.00 134.82 109.21
89 12.05 29.31 0.00 7.38 70.55
90 12.11 61.76 0.28 162.34 107.31
91 12.22 64.80 0.31 163.35 134.47
92 12.44 50.36 0.13 42.31 122.31
93 12.52 73.66 0.00 88.12 45.45
94 12.71 47.44 0.52 31.74 118.23
95 12.80 39.27 0.00 12.65 104.58
96 12.93 32.66 0.00 6.89 114.22
97 12.61 71.29 0.00 121.35 72.90
98 12.88 68.44 0.64 166.39 138.76
99 13.06 36.14 0.00 8.20 111.50
100 13.18 44.75 0.06 16.98 116.67
101 13.15 30.07 0.00 5.38 114.71
102 13.22 53.28 0.00 51.42 118.13
103 13.27 60.29 1.49 169.38 148.28
104 12.93 66.07 0.00 161.54 101.78
105 13.29 56.75 1.75 129.66 130.25
106 13.52 63.08 2.01 173.13 156.07
107 13.64 27.08 0.00 6.42 103.13
108 13.71 41.80 0.07 11.53 127.86
109 13.62 75.44 0.00 84.34 41.81
110 13.88 71.94 0.00 125.64 107.19
111 13.81 49.98 0.00 24.61 131.01
112 14.42 65.03 0.43 160.03 143.19
113 14.24 68.07 0.25 158.27 135.61
114 14.24 34.07 0.00 5.17 127.87
115 14.44 46.94 0.00 13.96 135.94
116 14.47 39.65 0.00 6.95 115.25
117 14.18 29.40 0.00 7.55 134.40
118 14.57 55.20 0.35 68.36 146.85
119 14.66 58.35 0.69 124.01 144.84
120 14.80 37.18 0.00 4.24 119.64
121 14.77 24.78 0.00 2.66 88.35
122 14.79 44.19 0.00 11.55 136.94
123 14.93 61.31 0.00 146.69 137.03
124 14.69 28.46 0.00 3.54 111.36
125 14.88 52.19 0.00 33.09 146.50
126 14.64 74.72 0.00 104.46 95.08
127 15.02 31.21 0.00 4.09 121.81
128 15.30 70.09 0.10 144.84 144.62
129 15.31 77.62 0.00 88.09 41.09
130 15.37 49.16 0.00 15.61 143.77
131 15.73 72.83 0.00 110.82 115.05
132 15.67 41.73 0.00 5.55 135.86
133 15.41 75.41 0.00 102.76 61.10
134 15.74 33.75 0.00 3.86 134.84
135 15.86 67.08 0.88 161.82 141.46
136 15.72 28.73 0.00 3.16 117.36
137 15.93 63.60 1.20 155.56 152.65
138 16.02 57.01 1.30 56.86 161.22
139 16.07 38.75 0.00 6.09 131.59
140 16.06 53.77 0.00 26.68 162.86
141 16.20 25.92 0.00 3.23 113.37
142 16.20 23.19 0.00 1.51 90.46
143 16.56 47.25 0.00 7.78 141.41
144 16.40 44.36 0.35 9.53 150.34
145 16.39 60.54 0.97 105.87 156.71
146 16.55 36.31 0.00 4.08 138.37
147 16.69 50.51 0.00 12.97 143.66
148 16.68 31.37 0.00 3.53 134.89
149 16.58 75.49 0.00 86.54 83.43
150 16.70 79.12 0.00 88.20 40.07
151 16.79 69.65 1.45 163.26 149.71
152 17.08 28.54 0.00 1.20 136.19
153 17.26 40.29 0.00 3.60 140.84
154 17.07 55.48 1.24 22.37 160.00
155 17.42 34.11 0.29 3.52 151.49
156 17.45 58.22 0.00 37.35 159.84
157 17.40 63.10 1.67 121.09 133.36
158 17.40 66.71 0.81 157.08 135.70
159 17.37 72.89 0.74 131.25 108.05
160 17.52 52.74 0.23 14.75 167.17
161 17.22 70.95 1.29 158.13 94.53
162 17.54 23.31 0.00 1.54 117.39
163 17.66 77.26 0.67 110.55 80.19
164 17.84 42.67 0.21 5.41 158.62
165 17.80 26.42 0.00 1.95 131.56
166 17.99 45.58 0.26 5.26 157.94
167 18.02 37.20 0.00 2.68 152.45
168 18.14 48.56 0.00 8.93 170.88
169 18.21 80.18 0.00 117.34 53.79
170 17.89 55.43 0.53 24.61 153.63
171 18.25 60.28 0.00 46.49 160.57
172 18.31 30.25 0.01 1.93 137.74
173 18.36 75.06 0.40 128.12 113.93
174 18.17 69.71 1.32 159.54 126.97
175 18.54 64.99 1.64 135.66 141.59
176 18.70 51.14 0.31 10.31 167.71
177 18.50 20.68 0.00 0.55 88.65
178 18.76 24.57 0.00 0.45 137.28
179 18.65 33.66 0.00 1.47 149.77
180 18.89 73.06 0.61 139.23 109.58
181 18.90 39.87 0.00 3.18 162.55
182 18.96 54.12 0.25 13.04 166.18
183 19.08 57.12 0.51 20.38 160.38
184 19.01 27.91 0.00 0.03 141.38
185 19.17 62.42 0.90 63.73 169.99
186 19.28 67.62 0.96 144.66 131.29
187 19.28 43.17 0.00 4.62 153.62
188 19.31 77.40 0.76 133.42 93.35
189 19.30 36.02 0.00 0.96 150.29
190 19.21 46.32 0.25 6.08 164.96
191 19.59 22.59 0.00 0.87 133.66
192 19.78 32.21 0.00 0.44 136.08
193 19.80 59.52 0.28 24.21 169.95
194 19.80 49.37 0.75 6.00 179.63
195 19.83 80.30 0.00 135.90 62.53
196 20.29 70.86 1.39 145.88 109.13
197 20.23 52.14 1.05 8.84 174.74
198 20.18 64.99 0.54 106.81 154.95
199 20.12 26.02 0.00 0.72 143.90
200 20.21 29.22 0.00 0.00 147.64
201 20.27 38.49 0.00 2.69 161.20
202 20.20 73.90 1.22 130.59 99.80
203 20.35 55.04 0.27 12.78 167.79
204 20.52 41.56 0.41 1.06 166.11
205 20.59 20.72 0.00 0.00 131.55
206 20.53 35.24 0.00 0.23 162.16
207 20.74 44.60 0.00 3.29 174.63
208 20.66 61.82 0.63 31.86 169.84
209 20.71 57.56 2.91 14.26 203.85
210 20.65 67.79 1.38 150.64 123.48
211 20.84 47.49 0.55 4.05 174.70
212 20.93 76.89 1.02 146.77 95.20
213 21.09 23.59 0.00 0.00 147.47
214 21.19 31.12 0.00 0.20 150.58
215 21.15 80.34 0.53 140.45 67.64
216 21.06 83.12 0.00 114.18 31.41
217 21.40 18.94 0.00 0.00 114.41
218 21.55 50.09 0.00 4.95 168.92
219 21.44 27.01 0.00 0.51 142.07
220 21.57 53.21 1.31 6.84 178.20
221 21.53 73.17 0.81 137.15 92.02
222 21.67 59.45 0.47 13.57 161.18
223 21.59 63.73 0.74 37.89 169.31
224 21.64 39.76 0.00 0.00 173.20
225 21.73 33.83 1.55 1.26 164.03
226 21.80 66.24 1.87 89.64 158.60
227 21.68 69.76 3.12 146.21 110.03
228 21.83 36.69 0.00 0.93 168.69
229 21.84 56.11 0.00 8.97 179.39
230 22.06 43.28 0.00 1.97 170.12
231 22.03 77.80 0.90 144.28 86.10
232 22.29 82.21 0.00 129.54 62.28
233 22.18 46.34 0.34 5.55 191.60
234 22.32 21.30 0.00 0.34 136.36
235 22.28 28.98 0.10 0.00 155.27
236 22.43 84.81 0.00 124.94 44.53
237 22.44 24.37 0.28 0.00 143.98
238 22.48 61.83 0.00 18.75 153.28
239 22.52 17.68 0.00 0.00 133.40
240 22.47 75.62 3.23 153.32 105.03
241 22.73 31.98 0.54 0.01 160.63
242 22.88 51.29 1.16 4.57 183.94
243 22.78 71.56 2.06 151.91 102.94
244 22.81 68.17 1.54 123.54 132.12
245 23.08 48.62 0.22 4.16 175.01
246 22.97 41.37 0.11 0.53 173.57
247 22.96 54.02 0.00 4.83 173.19
248 23.04 38.55 0.23 2.05 182.39
249 23.09 57.03 0.86 9.07 178.67
250 22.81 79.58 1.28 132.33 97.74
251 22.97 74.46 2.79 155.24 93.82
252 23.15 59.52 3.11 15.94 168.75
253 23.07 64.91 1.54 48.75 150.74
254 23.24 35.40 0.43 0.71 176.44
255 23.28 26.99 2.26 0.67 164.23
256 23.53 45.73 0.93 3.12 185.65
257 23.54 77.07 4.69 151.86 102.69
258 23.68 20.45 0.00 0.00 151.89
259 23.68 17.13 0.00 0.00 138.42
260 23.76 29.75 0.61 2.51 184.05
261 23.68 62.06 2.53 24.68 174.47
262 23.53 79.49 2.62 150.47 75.82
263 23.75 84.29 0.01 113.64 42.84
264 23.73 25.53 0.00 0.00 174.29
265 23.78 81.57 2.01 124.57 65.51
266 23.92 23.27 0.00 0.07 146.94
267 24.12 43.13 1.85 2.41 201.49
268 23.90 69.88 3.00 149.06 122.77
269 24.12 33.00 0.38 2.17 182.08
270 23.99 67.04 2.42 101.61 137.75
271 24.28 14.36 0.00 0.17 109.25
272 23.97 52.43 2.10 4.92 186.95
273 24.05 71.75 1.25 161.89 87.19
274 24.14 55.27 2.66 8.22 165.07
275 24.34 37.77 0.95 1.98 177.70
276 24.10 73.38 2.89 147.77 97.94
277 24.18 75.35 2.58 130.75 84.56
278 24.52 40.48 0.17 1.99 183.83
279 24.21 50.91 1.82 6.61 173.85
280 24.33 58.48 1.79 18.40 171.33
281 24.46 63.90 1.00 48.14 148.59
282 24.67 48.45 3.57 7.66 184.30
283 24.49 79.02 4.24 154.46 104.96
284 24.28 81.74 1.22 122.38 48.44
285 24.80 28.07 1.77 1.66 182.14
286 24.97 35.18 1.13 2.63 198.12
287 24.96 25.67 0.63 1.04 174.43
288 24.75 86.02 0.00 96.39 32.36
289 24.90 61.03 2.36 37.31 167.67
290 24.63 77.17 6.89 137.60 87.19
291 24.95 18.16 0.45 0.61 161.57
292 24.94 45.45 2.95 5.96 197.32
293 25.01 83.76 6.38 119.56 75.68
294 25.09 68.33 3.88 125.75 134.94
295 25.10 31.14 0.96 1.55 181.19
296 25.04 53.16 2.25 12.48 181.73
297 25.05 20.99 0.00 1.58 154.43
298 25.18 65.72 2.59 97.04 135.55
299 25.16 71.29 4.86 151.68 119.24
300 25.03 72.96 6.46 162.18 109.27
301 25.35 56.16 1.34 22.73 167.28
302 25.40 74.43 3.62 137.48 94.27
303 25.37 80.85 7.78 124.92 88.27
304 25.48 50.64 1.40 12.54 179.31
305 25.61 42.71 2.03 4.49 199.64
306 25.37 87.34 0.00 76.75 22.17
307 25.57 58.72 2.72 54.85 151.22
308 25.59 77.08 9.39 129.70 92.46
309 25.62 37.68 3.64 3.98 188.01
310 25.81 63.19 4.61 91.08 158.79
311 25.77 15.67 1.54 2.11 143.69
312 25.78 23.99 1.27 2.20 166.41
313 26.04 40.27 3.68 5.99 202.39
314 26.02 46.23 1.50 11.84 181.16
315 26.15 34.36 1.87 2.98 191.82
316 25.97 85.42 10.92 96.08 79.17
317 26.23 28.58 1.86 2.83 186.74
318 26.34 48.49 2.22 15.37 184.73
319 26.20 53.57 3.03 27.36 171.56
320 26.36 61.11 5.61 105.29 156.44
321 26.31 17.97 1.04 3.48 139.81
322 26.30 31.39 2.62 5.94 183.50
323 26.36 65.81 5.11 113.66 145.97
324 26.28 68.64 6.40 128.23 126.27
325 26.39 20.81 1.86 1.94 172.00
326 26.33 71.17 12.66 134.63 123.60
327 26.36 84.38 19.08 91.80 74.36
328 26.34 72.61 11.79 133.61 108.34
329 26.50 82.35 27.39 58.22 93.19
330 26.57 74.68 20.77 127.42 113.24
331 26.38 79.60 26.26 86.72 98.31
332 26.70 26.22 2.54 4.06 182.65
333 26.75 43.53 2.53 10.19 199.46
334 26.71 56.10 4.80 75.18 161.57
335 26.72 58.71 6.18 94.91 162.29
336 26.83 50.83 3.74 32.35 175.70
337 26.83 76.91 28.47 98.20 102.62
338 26.77 37.73 3.10 6.08 193.70
339 26.79 87.52 17.71 32.76 44.44
340 27.01 15.00 2.16 5.28 145.51
341 27.11 63.21 9.05 123.70 156.91
342 27.24 23.71 3.33 5.30 160.92
343 27.12 12.51 0.37 6.39 78.87
344 27.19 69.53 26.71 111.01 143.54
345 27.32 40.67 3.37 13.68 184.45
346 27.31 32.31 2.90 5.19 191.14
347 27.43 35.18 4.39 12.04 191.62
348 27.29 45.67 4.78 27.48 198.61
349 27.32 53.48 6.08 81.16 168.49
350 27.37 79.14 164.14 29.75 102.25
351 27.33 84.41 86.29 20.73 80.66
352 27.59 17.85 5.03 13.15 159.96
353 27.49 66.75 23.39 99.80 153.52
354 27.39 71.89 65.73 91.00 134.82
355 27.74 29.53 3.49 12.74 180.41
356 27.68 60.54 12.55 122.15 175.30
357 27.63 20.92 4.95 9.34 162.08
358 27.72 48.12 5.61 65.23 174.98
359 27.78 74.06 185.19 39.70 101.03
360 27.80 57.79 10.18 129.15 166.27
361 27.93 81.65 140.48 11.92 82.96
362 28.06 87.73 58.26 5.92 52.42
363 27.77 25.53 3.28 9.36 167.61
364 27.90 37.82 3.64 23.72 184.67
