#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
dm4 14A 3 even-skipped knirps hunchback

#Data without background

#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
0 1.91 48.54 0.00 83.60 66.62
1 1.87 46.58 0.00 73.86 53.90
2 2.21 51.68 0.00 84.37 59.88
3 2.74 45.21 0.52 83.80 96.19
4 2.90 49.77 0.00 96.39 103.60
5 3.16 47.38 0.67 87.07 111.17
6 3.32 52.03 0.00 92.56 109.01
7 3.31 54.39 0.00 78.04 75.90
8 3.80 40.85 0.74 63.34 118.00
9 3.79 43.30 0.78 75.17 120.86
10 4.13 45.52 0.13 84.15 124.90
11 4.20 56.52 0.00 93.56 97.88
12 4.20 48.82 0.41 89.42 115.69
13 4.46 53.68 0.19 95.03 112.22
14 4.55 51.23 0.80 95.98 123.31
15 4.84 59.56 0.00 74.33 84.18
16 4.99 42.92 1.47 72.99 133.10
17 5.15 46.94 2.46 84.94 132.29
18 5.29 40.66 0.69 54.58 132.31
19 5.38 57.75 0.00 86.43 118.11
20 5.57 49.23 1.14 95.76 142.46
21 5.62 55.27 0.00 95.49 120.66
22 5.78 44.92 1.93 75.84 140.51
23 5.74 52.91 0.00 87.24 130.09
24 5.79 61.88 0.00 67.43 75.75
25 6.26 59.80 0.00 85.41 115.60
26 6.38 39.30 1.09 36.69 144.87
27 6.41 50.61 1.45 94.63 140.75
28 6.39 42.23 0.37 52.07 138.06
29 6.66 47.21 0.77 81.14 133.88
30 6.37 56.75 0.00 95.36 139.73
31 6.86 37.15 0.00 20.36 141.67
32 6.77 57.69 0.58 90.25 124.45
33 6.78 63.62 0.00 67.49 77.64
34 7.08 53.00 1.57 89.29 146.73
35 7.03 34.90 0.00 12.23 149.33
36 7.22 55.09 0.00 89.59 138.90
37 7.12 44.14 0.86 63.48 151.26
38 7.19 61.82 0.00 82.56 127.63
39 7.60 40.95 1.92 37.62 155.61
40 7.60 50.72 0.00 89.26 162.72
41 7.70 59.54 0.00 84.34 144.86
42 7.91 47.73 1.15 88.65 165.21
43 8.01 56.77 0.12 90.63 149.13
44 8.18 38.56 0.46 17.53 155.34
45 8.14 45.55 1.67 70.50 178.68
46 8.25 33.52 0.00 6.19 149.36
47 8.21 64.42 0.00 74.68 135.60
48 8.31 35.97 0.95 10.27 153.51
49 8.50 43.25 0.52 49.96 181.63
50 8.58 49.42 1.80 92.65 190.09
51 8.57 62.26 0.00 79.48 164.48
52 8.66 52.38 0.00 90.07 166.77
53 8.83 54.53 0.44 86.41 165.66
54 8.89 58.39 0.00 82.23 167.37
55 9.11 41.31 0.00 29.99 172.35
56 9.13 66.93 0.00 69.00 129.89
57 9.43 60.33 0.00 82.62 172.46
58 9.50 32.45 0.70 3.30 161.06
59 9.55 47.79 0.07 76.63 180.07
60 9.68 37.17 0.00 8.69 176.84
61 9.51 45.44 0.01 63.09 192.54
62 9.59 56.43 0.00 83.70 168.18
63 9.70 39.36 0.81 14.36 183.00
64 9.58 64.41 0.00 74.43 162.54
65 9.68 50.69 0.00 94.15 190.70
66 9.81 34.83 0.61 6.67 177.55
67 10.29 43.53 1.06 38.83 177.54
68 10.20 53.91 0.00 81.56 182.10
69 10.04 62.51 0.00 74.43 168.33
70 10.26 30.55 0.13 2.78 157.04
71 10.41 69.12 0.00 62.45 125.42
72 10.55 66.57 0.00 73.32 168.93
73 10.55 58.55 0.00 83.91 169.72
74 10.69 41.16 0.00 22.52 204.80
75 10.59 61.42 0.00 78.22 155.46
76 10.76 51.98 0.00 93.65 202.00
77 10.82 46.36 0.00 59.21 199.09
78 10.77 48.84 0.00 78.25 203.48
79 10.86 56.27 0.00 90.72 189.48
80 11.07 33.20 0.99 2.64 174.46
81 11.09 28.25 0.00 2.07 167.46
82 11.05 64.26 0.00 79.23 181.35
83 11.13 38.72 0.20 11.98 198.64
84 11.14 35.92 0.03 7.10 201.99
85 11.64 60.00 0.00 81.28 178.56
86 11.71 30.55 0.00 2.23 171.88
87 11.70 68.13 0.00 66.20 169.45
88 11.72 50.24 0.00 83.94 213.23
89 11.70 54.47 0.00 90.74 199.48
90 11.77 42.25 0.00 21.38 193.50
91 11.90 62.23 0.00 78.17 178.21
92 11.84 45.34 0.00 46.23 206.92
93 11.91 70.65 0.00 58.47 134.99
94 12.01 57.56 0.00 90.47 183.13
95 12.28 47.87 0.00 57.28 215.83
96 12.18 65.73 0.00 66.44 173.80
97 12.27 52.38 0.00 92.49 216.95
98 12.33 37.46 0.12 7.10 204.90
99 12.25 25.19 0.00 0.50 127.44
100 12.38 34.75 0.00 3.44 197.88
101 12.56 39.96 0.65 13.39 209.72
102 12.51 27.44 0.00 0.32 181.58
103 12.75 43.96 0.64 28.52 221.46
104 12.83 32.29 0.00 3.88 190.57
105 12.94 55.90 0.00 91.94 202.97
106 12.70 69.44 0.00 65.54 165.39
107 13.06 63.64 0.00 69.85 177.01
108 12.99 60.19 0.10 83.30 185.21
109 13.04 50.29 0.00 76.32 218.71
110 13.13 72.41 0.00 64.36 139.20
111 13.31 29.30 0.70 1.43 177.79
112 13.17 53.84 0.00 91.05 210.87
113 13.31 42.18 0.00 17.09 214.94
114 13.22 68.64 0.00 67.94 165.60
115 13.44 46.05 0.00 34.58 215.91
116 13.47 57.77 0.00 86.80 194.45
117 13.57 36.38 0.63 3.74 213.19
118 13.53 66.51 0.00 65.35 178.34
119 13.53 24.81 0.53 0.00 169.20
120 13.79 38.65 0.00 5.32 213.66
121 13.72 48.30 0.00 52.11 217.05
122 13.94 34.12 0.00 1.93 202.79
123 14.02 70.47 0.00 68.23 178.52
124 14.08 52.28 0.00 84.01 214.71
125 13.99 61.78 0.00 79.80 184.75
126 14.13 31.46 0.53 1.47 193.40
127 14.25 40.81 0.00 6.21 217.59
128 14.35 26.87 0.15 0.01 180.45
129 14.40 44.41 0.00 19.55 212.54
130 14.25 55.12 0.00 88.59 209.13
131 14.34 59.07 0.00 87.82 195.96
132 14.55 50.11 0.00 64.49 216.72
133 14.56 64.32 0.00 69.46 186.72
134 14.64 73.18 0.00 56.12 141.47
135 14.89 24.00 0.67 0.00 162.85
136 14.86 47.15 0.00 40.19 221.87
137 14.86 67.09 0.00 68.83 166.29
138 15.10 29.35 0.77 2.08 187.53
139 15.01 36.14 2.01 4.56 227.97
140 15.14 42.50 0.00 10.15 220.12
141 15.32 56.76 0.00 81.92 206.20
142 15.25 75.75 0.00 56.77 116.74
143 15.11 38.71 0.00 4.86 220.93
144 15.15 61.79 0.00 76.62 193.58
145 15.29 33.37 0.00 2.27 205.54
146 15.28 70.11 0.00 63.89 173.50
147 15.36 54.33 0.00 75.70 220.28
148 15.53 52.19 0.32 69.55 213.86
149 15.50 59.18 0.00 82.05 203.36
150 15.90 44.88 0.00 14.92 209.32
151 15.70 49.62 0.00 46.67 220.65
152 15.92 65.61 0.00 65.76 181.21
153 15.98 72.24 0.00 58.38 178.51
154 15.96 40.51 0.00 7.37 219.94
155 15.99 26.98 0.00 1.52 184.20
156 16.13 68.08 0.00 66.26 184.28
157 16.31 31.94 1.31 0.83 201.05
158 16.16 47.26 0.76 27.29 223.11
159 16.22 37.25 0.50 3.84 222.75
160 16.27 63.27 0.00 65.99 194.32
161 16.34 24.11 0.61 0.06 188.48
162 16.51 34.64 0.00 2.31 207.13
163 16.40 60.93 0.00 75.69 210.63
164 16.53 74.58 0.00 59.01 156.81
165 16.57 20.35 0.00 0.00 135.95
166 16.57 29.67 0.00 0.53 196.08
167 16.49 42.61 0.00 8.47 219.69
168 16.53 54.85 0.08 74.85 209.78
169 16.70 58.62 0.00 75.30 203.06
170 16.75 77.14 0.00 54.98 119.51
171 16.85 51.93 0.00 57.76 215.50
172 16.93 70.22 0.00 61.22 178.12
173 17.04 38.96 0.00 3.31 221.66
174 16.94 49.56 0.00 32.20 221.18
175 17.35 22.54 0.33 0.00 178.57
176 17.36 56.94 1.00 84.03 215.83
177 17.38 44.03 0.00 9.47 222.11
178 17.36 46.36 0.00 12.94 208.42
179 17.37 64.66 0.53 69.60 189.61
180 17.57 41.03 0.00 4.54 217.91
181 17.44 67.56 0.00 65.28 181.88
182 17.63 25.88 0.23 0.86 176.33
183 17.52 36.45 0.00 3.02 221.77
184 17.54 61.97 0.00 69.37 193.43
185 17.70 28.71 0.00 1.49 185.52
186 17.75 73.20 0.00 53.07 179.78
187 17.81 31.72 0.00 0.51 196.15
188 17.69 54.81 1.32 67.19 220.71
189 18.07 34.17 0.31 0.15 208.47
190 17.89 48.56 0.00 17.95 227.03
191 17.97 75.93 0.00 48.80 162.46
192 18.00 59.40 0.00 70.93 201.62
193 18.13 53.04 0.00 51.29 215.20
194 18.21 70.69 0.00 54.38 180.44
195 18.60 50.21 0.00 22.69 209.04
196 18.32 38.72 0.00 2.80 215.79
197 18.40 78.73 0.00 38.78 104.62
198 18.54 21.25 1.35 1.49 171.35
199 18.36 42.65 0.00 5.91 214.90
200 18.54 66.07 0.00 62.40 194.94
201 18.65 45.10 0.00 7.87 213.30
202 18.81 23.88 1.76 0.43 182.33
203 18.67 56.54 0.58 69.51 213.97
204 18.79 63.69 0.35 63.43 200.43
205 18.85 68.39 0.00 60.71 186.21
206 18.81 61.35 0.00 67.24 202.87
207 19.11 19.35 1.29 0.00 149.14
208 18.84 36.41 0.00 2.53 221.74
209 18.97 47.54 0.00 11.38 208.46
210 18.93 27.88 0.20 0.90 198.77
211 19.08 40.55 0.00 0.76 223.24
212 18.99 52.08 0.25 32.52 222.98
213 19.20 30.39 0.10 1.29 200.07
214 19.29 32.69 0.30 0.00 207.20
215 19.26 73.36 0.00 46.79 174.31
216 19.32 58.94 0.00 62.79 199.98
217 19.51 54.28 1.54 41.20 213.66
218 19.39 75.96 0.68 41.64 171.90
219 19.74 25.97 2.33 1.19 193.21
220 19.58 42.97 0.00 4.10 220.83
221 19.67 80.01 0.00 32.60 133.34
222 19.77 17.14 0.00 0.00 109.78
223 19.73 34.76 0.48 1.94 220.03
224 19.65 70.76 1.63 51.50 179.53
225 19.72 38.24 0.00 0.94 225.66
226 19.88 65.67 0.00 64.23 197.66
227 19.93 45.58 0.00 7.53 211.85
228 19.92 56.49 0.65 51.04 212.80
229 20.02 49.45 0.13 10.69 214.07
230 20.08 77.76 0.48 38.92 169.89
231 20.18 60.97 0.90 59.04 208.93
232 20.26 21.76 1.38 0.17 171.46
233 20.14 63.22 0.39 61.80 200.86
234 20.19 68.23 0.70 54.74 176.69
235 20.34 28.58 0.83 0.32 183.45
236 20.31 40.87 0.72 2.56 221.26
237 20.28 51.82 0.00 18.25 218.39
238 20.59 31.21 0.02 0.04 199.40
239 20.61 47.55 1.76 7.12 219.77
240 20.69 19.48 1.48 0.00 154.12
241 20.72 24.17 1.78 0.00 181.72
242 20.67 36.34 0.00 0.00 214.81
243 20.62 58.56 0.94 52.39 216.73
244 20.73 72.94 2.33 43.25 174.74
245 20.83 43.67 1.03 3.49 221.12
246 20.97 33.57 0.22 0.34 218.08
247 20.58 75.91 4.27 33.31 170.25
248 20.98 53.68 0.01 30.14 215.78
249 21.00 38.91 0.00 0.13 211.18
250 21.12 70.28 3.70 41.81 181.59
251 21.17 74.94 0.76 40.54 166.08
252 21.23 55.95 3.66 37.19 213.13
253 21.15 65.24 2.00 55.77 197.72
254 21.38 26.74 1.44 0.00 187.46
255 21.28 78.33 2.73 32.75 170.24
256 21.26 50.51 0.47 8.62 216.01
257 21.47 17.54 0.44 0.00 139.12
258 21.49 45.61 0.86 2.49 212.34
259 21.34 62.50 1.70 56.60 209.46
260 21.39 41.56 0.63 2.71 219.87
261 21.50 67.51 2.30 47.37 190.11
262 21.52 60.28 1.28 47.87 205.94
263 21.79 29.41 0.07 0.43 207.95
264 21.85 80.99 0.93 22.15 139.96
265 21.93 22.11 2.94 0.00 180.79
266 21.85 47.91 2.65 6.90 220.16
267 21.85 37.53 1.02 0.69 222.42
268 21.90 58.00 3.54 39.02 213.21
269 21.98 35.31 0.25 0.00 217.89
270 22.08 31.83 0.80 0.00 211.32
271 22.20 43.50 1.78 3.25 219.76
272 22.21 52.28 2.17 15.00 219.81
273 22.19 72.93 3.16 35.38 173.59
274 22.37 19.81 1.49 0.00 168.53
275 22.20 54.64 2.06 25.42 221.58
276 22.36 24.71 2.02 0.01 185.53
277 22.24 64.11 2.72 55.63 201.48
278 22.28 76.28 4.83 31.40 179.23
279 22.49 40.96 1.37 1.87 222.77
280 22.36 69.41 1.13 37.83 188.24
281 22.36 49.83 2.08 6.87 218.04
282 22.71 38.96 0.00 2.26 216.84
283 22.65 61.88 5.17 42.15 207.25
284 22.76 66.42 3.79 46.60 189.10
285 22.80 33.76 1.42 0.31 216.20
286 22.76 79.14 5.40 25.49 165.25
287 22.85 27.39 0.00 0.00 195.70
288 22.81 59.69 4.48 32.66 215.09
289 22.84 46.05 0.95 0.71 215.93
290 22.94 17.32 2.96 0.00 153.41
291 23.02 57.12 5.89 30.31 222.99
292 23.11 36.71 1.96 1.15 218.27
293 23.22 70.96 7.57 36.11 196.69
294 23.28 74.88 6.94 24.90 180.11
295 23.27 29.77 0.94 0.00 202.24
296 23.30 48.27 5.42 4.14 220.39
297 23.28 82.98 4.84 13.59 111.16
298 23.48 50.59 3.08 4.04 225.63
299 23.25 54.71 2.57 19.22 221.75
300 23.54 22.68 2.49 0.00 187.89
301 23.41 44.02 2.56 2.05 228.25
302 23.49 63.92 6.64 41.40 208.47
303 23.70 52.53 4.92 10.52 220.76
304 23.69 32.03 0.00 0.00 212.74
305 23.60 41.78 3.27 2.05 220.16
306 23.82 80.62 11.02 14.92 160.73
307 23.67 68.49 5.87 34.70 194.80
308 23.87 14.84 1.77 0.00 125.04
309 23.86 20.35 3.34 1.00 179.50
310 23.79 25.29 3.20 0.00 196.27
311 23.86 77.50 9.82 19.73 171.22
312 23.92 39.57 4.71 0.43 220.09
313 24.01 34.96 2.28 1.74 211.42
314 24.02 72.72 7.38 24.75 176.94
315 23.96 61.55 6.41 30.00 207.39
316 24.03 59.05 8.23 25.51 220.95
317 24.09 65.82 7.95 34.33 205.53
318 24.19 46.77 4.21 3.01 222.36
319 24.41 27.70 3.40 0.00 196.73
320 24.28 17.88 4.19 0.00 168.66
321 24.33 37.39 3.69 0.76 219.03
322 24.24 56.44 7.81 13.60 222.36
323 24.44 54.22 8.04 8.43 223.03
324 24.51 44.65 6.63 2.05 220.58
325 24.67 42.67 5.28 3.85 220.82
326 24.54 49.40 4.95 3.01 223.62
327 24.56 84.23 11.40 4.02 89.48
328 24.70 70.25 13.25 21.16 197.75
329 24.70 30.23 2.71 0.00 207.33
330 24.73 75.37 14.15 16.35 174.56
331 24.85 33.18 2.99 0.00 217.57
332 24.95 64.04 12.14 26.01 205.12
333 24.85 67.41 9.85 26.29 208.11
334 24.92 40.32 4.71 1.31 213.78
335 25.04 22.35 5.66 0.00 183.35
336 25.04 81.75 22.31 7.24 152.79
337 24.94 52.01 9.30 5.16 222.75
338 25.15 57.59 14.51 16.27 227.69
339 25.21 78.15 16.63 9.31 161.87
340 25.18 25.25 3.57 0.00 188.46
341 25.15 61.98 14.22 18.73 215.78
342 25.24 15.97 5.34 0.00 148.95
343 25.30 59.87 13.85 19.01 215.85
344 25.35 35.53 5.75 0.71 215.37
345 25.11 79.74 23.80 7.72 174.48
346 25.40 19.58 5.12 0.08 169.01
347 25.39 72.76 20.27 16.29 186.15
348 25.41 47.74 8.90 4.38 222.03
349 25.56 38.06 5.76 0.67 216.07
350 25.52 45.38 7.91 0.00 221.17
351 25.52 54.99 14.42 7.10 219.02
352 25.65 50.22 13.12 1.99 229.85
353 25.77 29.02 4.60 0.00 203.66
354 25.80 65.84 18.27 17.58 206.02
355 25.82 31.84 4.41 0.00 205.52
356 25.74 42.09 8.62 1.07 223.38
357 25.80 68.52 20.60 15.32 204.46
358 26.00 75.11 17.76 7.84 174.39
359 26.00 83.70 32.09 0.46 131.09
360 26.01 52.80 19.58 1.99 220.82
361 26.38 14.03 7.13 0.00 131.57
362 26.26 26.90 4.77 0.00 198.32
363 26.15 40.09 9.21 1.57 225.24
364 26.22 70.91 27.63 11.94 189.15
