#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw1 14A 5 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
139 16.11 30.64 13.96 17.10 19.81
140 15.96 73.70 10.04 47.84 12.39
141 16.06 46.25 16.82 22.12 18.72
142 15.78 40.92 16.03 19.76 18.76
143 15.99 25.54 11.12 14.52 17.97
144 16.02 50.53 16.78 26.84 22.84
145 16.15 68.27 18.16 71.06 22.45
146 15.92 31.85 15.71 18.07 19.98
147 15.96 38.47 16.84 20.08 20.30
148 16.11 60.57 17.22 54.57 21.97
149 16.58 52.53 17.55 29.16 28.84
150 16.31 35.29 16.57 20.46 17.81
151 16.60 63.43 17.93 63.28 25.55
152 16.44 33.35 13.87 16.40 20.67
153 16.17 40.72 13.50 24.75 18.50
154 16.80 47.86 18.43 22.65 27.88
155 16.88 42.37 15.74 19.60 25.59
156 16.61 39.27 16.93 17.45 23.24
157 16.81 55.28 18.26 29.39 38.84
158 16.95 71.81 13.84 61.33 19.33
159 16.98 36.86 16.05 17.72 23.52
160 17.00 58.47 18.95 43.80 34.75
161 17.10 66.19 19.37 71.35 26.87
162 16.77 76.49 7.13 35.37 8.73
163 17.39 27.84 14.01 15.46 27.63
164 17.35 45.37 17.44 21.55 31.24
165 17.37 49.74 18.02 23.45 35.21
166 17.31 31.10 16.00 19.00 24.80
167 17.39 61.32 18.39 50.40 37.46
168 17.37 74.33 12.13 53.18 15.85
169 17.57 69.51 16.92 69.75 24.15
170 17.55 34.23 16.22 18.54 29.29
171 17.76 24.77 11.39 14.55 30.18
172 17.86 39.34 16.51 19.70 35.87
173 17.90 76.97 9.35 41.05 11.31
174 18.03 56.52 18.65 29.44 58.52
175 18.21 51.73 17.91 22.27 55.58
176 18.01 63.56 18.09 57.20 44.67
177 18.21 42.01 17.52 18.45 43.29
178 18.25 59.12 17.44 31.73 58.69
179 18.38 36.68 16.07 17.34 38.46
180 18.16 31.80 14.61 17.08 33.28
181 18.54 54.12 18.59 23.26 72.96
182 18.62 47.03 18.44 20.73 57.13
183 18.54 66.48 18.99 65.86 33.18
184 18.16 64.64 20.22 63.44 43.22
185 18.88 72.05 17.35 62.25 29.11
186 18.78 44.51 17.52 20.48 59.71
187 18.49 74.50 14.43 55.71 21.07
188 18.90 49.40 18.75 21.31 70.40
189 18.85 26.96 15.26 16.65 48.68
190 18.71 75.91 14.20 47.82 19.12
191 18.91 61.72 18.69 39.18 66.48
192 18.83 33.93 16.35 18.46 48.02
193 18.91 30.11 15.06 16.24 45.36
194 19.33 23.98 12.93 14.75 53.27
195 19.05 69.56 19.51 71.01 32.23
196 19.08 39.02 16.93 20.15 49.11
197 19.47 64.69 19.73 46.24 51.45
198 19.55 42.11 17.68 19.67 72.24
199 19.58 56.03 20.37 23.91 92.61
200 19.87 32.02 15.03 18.42 62.32
201 19.57 37.93 16.95 18.78 60.12
202 19.70 59.06 18.39 26.35 87.74
203 19.75 52.88 20.54 23.02 102.04
204 19.82 76.87 14.55 50.73 24.78
205 19.88 67.48 20.29 60.67 43.15
206 20.03 36.07 17.15 18.47 66.52
207 19.81 74.42 18.52 60.83 29.22
208 20.09 45.40 18.08 19.99 105.59
209 20.20 29.47 15.70 16.72 70.35
210 20.22 50.49 19.68 21.32 107.41
