#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw13 14A 3 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 1.77 43.79 9.71 92.82 5.24
1 2.62 48.61 10.29 81.92 5.68
2 2.92 44.26 12.26 104.19 6.82
3 2.89 46.53 12.36 95.20 7.13
4 3.15 42.05 14.09 107.90 8.04
5 3.82 39.98 15.16 97.96 7.67
6 3.60 50.39 11.26 94.21 6.26
7 3.69 37.72 13.37 98.89 7.59
8 4.05 48.36 12.33 99.63 7.58
9 4.12 46.32 14.37 103.95 7.93
10 4.20 52.38 10.50 86.21 6.03
11 4.48 42.11 15.35 101.03 8.91
12 4.61 44.30 14.63 100.25 8.85
13 4.59 35.78 13.54 88.49 7.76
14 5.15 38.36 16.23 93.23 9.38
15 5.10 49.67 14.71 97.14 8.20
16 5.28 54.65 10.78 84.48 5.74
17 5.22 52.61 11.94 96.58 7.33
18 5.44 34.53 14.19 79.78 7.97
19 5.58 47.18 14.96 109.32 9.33
20 5.70 40.40 16.06 95.31 9.00
21 5.89 42.75 15.85 100.25 9.33
22 5.76 33.03 12.11 68.73 7.51
23 6.01 36.60 15.37 84.13 9.50
24 6.02 51.40 15.05 106.74 9.76
25 6.20 45.02 16.45 107.34 9.96
26 6.22 34.14 14.59 66.97 9.29
27 6.63 55.99 12.31 91.63 7.81
28 6.48 48.84 16.09 102.99 9.37
29 6.85 53.61 14.07 100.26 9.26
30 7.04 38.16 16.48 87.01 10.96
31 7.15 40.50 16.49 91.33 10.77
32 7.01 32.56 14.26 55.29 8.50
33 7.38 35.35 15.47 68.61 10.32
34 7.15 58.12 10.34 87.82 7.94
35 7.45 45.74 16.31 101.09 10.56
36 7.22 51.09 15.53 107.36 9.30
37 7.40 42.96 18.60 102.80 11.20
38 7.39 33.43 15.47 61.23 9.36
39 7.75 48.04 17.62 106.28 11.15
40 8.14 55.26 15.76 95.99 10.44
41 7.97 57.39 15.82 95.49 9.21
42 8.32 50.18 15.21 107.73 10.84
43 8.34 52.75 16.30 99.20 11.01
44 8.19 60.16 12.75 97.19 8.65
45 8.47 37.16 18.77 69.84 11.28
46 8.51 41.57 17.04 92.27 11.67
47 8.54 32.30 14.86 47.78 9.29
48 8.48 44.17 16.49 102.90 11.55
49 8.85 39.44 17.18 82.75 11.42
50 8.85 62.56 11.10 80.24 8.46
51 8.98 46.58 17.79 106.83 12.15
52 8.94 34.46 17.05 52.20 11.31
53 8.77 57.51 13.51 94.07 10.47
54 8.78 59.45 13.66 89.26 10.74
55 8.96 33.27 15.04 50.29 8.79
56 9.15 44.07 16.16 101.72 11.06
57 9.42 54.16 16.86 104.04 13.24
58 9.60 50.63 17.12 106.12 12.54
59 9.49 35.56 16.69 57.86 10.93
60 9.88 48.38 17.76 107.26 13.16
61 9.83 58.77 15.79 92.22 12.47
62 9.63 61.03 16.49 88.15 11.78
63 9.53 30.68 14.69 37.25 9.92
64 9.77 56.53 16.14 98.58 13.18
65 9.67 32.48 14.59 40.73 9.34
66 9.78 42.51 18.75 94.80 11.85
67 9.99 37.51 17.81 63.40 11.95
68 10.36 52.41 17.19 102.52 13.98
69 10.27 40.35 17.97 76.13 11.94
70 10.25 45.11 18.80 104.09 12.75
71 10.21 63.51 14.04 85.11 13.12
72 10.25 34.05 15.76 44.14 10.36
73 10.44 28.85 13.91 28.04 9.92
74 10.39 31.94 16.36 32.38 9.92
75 10.67 34.94 17.12 46.51 11.72
76 10.48 30.62 16.44 32.75 11.28
77 10.76 54.86 19.42 98.59 13.79
78 10.79 62.00 17.15 92.89 15.95
79 11.07 47.13 19.55 102.07 13.80
80 11.06 42.79 19.74 86.61 12.57
81 11.09 50.07 17.80 104.17 15.15
82 11.22 38.67 17.31 57.92 13.31
83 11.17 36.44 18.19 44.39 13.26
84 11.60 56.90 17.57 94.32 16.41
85 11.45 32.67 16.51 34.31 11.90
86 11.59 64.92 15.77 83.43 16.75
87 11.30 30.98 16.27 31.33 11.29
88 11.40 61.23 17.96 98.58 18.04
89 11.75 44.76 18.60 95.18 14.54
90 11.32 29.85 21.00 31.00 14.50
91 11.76 29.21 15.06 27.96 10.32
92 11.85 67.14 12.85 78.23 14.96
93 11.75 40.80 18.71 64.73 13.69
94 11.90 59.62 17.05 91.08 15.86
95 11.68 34.21 18.20 36.59 12.61
96 12.08 51.90 18.21 98.35 15.93
97 12.03 54.25 18.84 98.24 16.29
98 12.14 63.03 15.92 91.33 21.73
99 12.20 48.92 18.13 102.19 16.06
100 12.00 36.74 17.15 42.26 13.40
101 11.94 34.98 16.67 43.83 15.17
102 12.46 46.71 18.06 98.18 15.25
103 12.34 31.59 15.61 31.18 13.58
104 12.24 33.38 20.12 36.81 13.56
105 12.47 42.72 19.74 74.09 15.72
106 12.62 38.75 18.54 46.93 15.39
107 12.76 35.20 18.78 37.94 14.67
108 12.41 34.41 15.00 41.00 9.56
109 12.63 61.16 16.59 90.03 23.27
110 13.01 57.57 19.24 93.37 20.86
111 12.61 65.31 15.31 81.00 23.00
112 13.12 44.33 19.66 79.56 16.20
113 13.05 59.91 18.45 90.58 22.65
114 12.74 33.43 17.40 31.80 13.00
115 13.15 32.15 19.21 30.88 15.30
116 13.25 55.15 19.48 101.00 20.31
117 13.22 67.51 15.28 75.19 23.87
118 13.08 41.89 17.90 68.52 15.46
119 13.32 50.61 19.97 101.65 18.53
120 13.41 65.22 16.43 83.38 24.75
121 13.35 27.38 16.75 23.74 12.51
122 13.18 28.80 18.55 26.68 12.77
123 13.49 37.45 19.94 39.42 16.30
124 13.18 33.97 19.95 32.81 13.86
125 13.24 61.79 15.24 79.19 18.71
126 13.66 52.82 19.23 100.93 21.33
127 13.52 69.99 12.03 72.55 22.66
128 13.61 29.90 18.22 28.22 14.50
129 13.41 45.23 17.75 75.31 16.81
130 13.73 47.28 20.16 91.32 18.70
131 13.35 39.64 20.00 53.00 18.75
132 13.40 35.57 21.00 41.00 18.17
133 13.84 40.18 18.75 49.26 19.47
134 13.61 61.00 17.90 81.50 18.50
135 13.77 33.36 18.18 31.48 16.36
136 13.97 63.00 17.60 84.53 27.35
137 13.89 36.00 17.69 34.93 15.52
138 14.19 59.35 19.83 87.03 24.68
139 14.03 42.50 21.27 61.07 18.38
140 13.85 69.04 12.48 74.00 19.14
141 14.41 49.29 20.72 97.18 20.78
142 14.12 31.34 19.73 29.76 14.82
143 14.20 28.65 17.44 24.56 18.82
144 14.56 56.93 21.13 92.75 25.38
145 14.71 45.02 20.73 73.44 20.68
146 14.96 65.55 19.53 84.73 37.59
147 14.43 27.13 16.22 25.67 15.20
148 14.35 63.95 19.95 83.33 32.14
149 14.72 54.26 20.30 95.66 25.48
150 14.67 24.76 16.56 21.37 14.60
151 14.78 62.10 21.45 93.28 33.88
152 14.71 33.70 21.44 29.94 20.30
153 14.53 35.53 17.62 32.45 19.69
154 14.83 70.24 15.94 77.19 32.86
155 14.98 51.45 20.41 98.77 26.98
156 14.78 37.95 20.67 37.15 21.76
157 14.90 30.38 19.25 29.28 17.92
158 15.05 41.01 21.33 45.09 23.23
159 15.07 46.93 21.87 89.06 23.93
160 15.31 60.80 19.36 89.97 27.22
161 15.48 42.87 22.39 55.86 24.81
162 15.07 39.48 20.14 38.71 17.93
163 15.16 34.82 20.35 31.91 17.35
164 15.43 68.67 19.48 82.39 42.24
165 15.38 26.01 16.68 22.32 19.85
166 15.38 36.28 18.10 33.00 16.61
