#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw5 14A 2 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 2.12 52.03 8.26 33.55 9.91
1 2.88 48.96 9.93 36.55 12.33
2 3.00 54.86 9.78 35.58 11.18
3 3.05 43.50 10.23 35.87 13.04
4 3.16 52.27 9.75 35.50 12.03
5 3.55 44.45 8.93 31.12 13.95
6 3.51 46.05 12.27 38.73 15.67
7 3.90 46.79 9.98 35.82 14.02
8 4.13 49.13 13.10 40.24 16.45
9 4.09 41.60 10.98 31.87 13.94
10 4.29 55.05 11.60 35.69 13.35
11 4.01 58.12 9.93 35.92 11.08
12 4.56 52.00 13.63 40.03 16.17
13 4.98 43.52 11.83 34.52 16.78
14 4.89 46.26 11.09 35.91 16.28
15 5.01 39.63 10.36 29.15 14.90
16 5.24 48.50 12.38 35.54 15.97
17 5.60 49.74 12.05 33.13 15.91
18 5.37 55.27 13.17 35.62 16.41
19 5.54 57.36 11.69 37.59 15.01
20 5.86 59.39 11.64 37.01 13.72
21 5.25 53.60 12.38 32.12 16.50
22 5.68 37.75 8.91 25.39 14.61
23 5.88 54.20 11.79 34.97 17.33
24 6.23 51.56 14.43 34.55 17.00
25 6.20 46.67 12.06 32.51 17.99
26 6.29 43.63 14.54 32.36 18.80
27 6.33 41.08 12.40 28.95 19.24
28 6.08 45.26 14.00 33.50 19.33
29 6.51 37.14 11.37 23.75 18.08
30 6.51 35.12 10.65 22.60 15.48
31 6.46 62.08 11.46 37.94 12.43
32 6.87 48.69 15.07 33.03 18.80
33 6.96 60.82 11.63 38.23 15.92
34 7.29 39.14 14.36 25.35 21.03
35 7.39 53.58 14.16 34.52 18.61
36 7.10 55.10 15.08 38.28 19.08
37 6.93 56.68 15.42 38.65 16.30
38 7.46 58.82 15.06 40.36 18.18
39 7.50 45.64 14.96 32.17 20.81
40 7.33 64.11 9.43 35.11 13.60
41 7.59 42.46 13.88 26.23 20.08
42 7.51 36.59 13.90 22.85 21.68
43 7.87 51.21 15.76 33.62 20.17
44 7.61 35.03 11.87 20.08 19.34
45 7.96 37.96 13.33 23.08 21.85
46 7.83 56.32 15.85 37.15 22.15
47 8.11 48.08 13.67 30.92 19.92
48 8.31 60.95 14.80 39.04 19.28
49 8.71 44.34 13.58 25.82 20.90
50 8.56 65.57 10.78 37.23 15.15
51 8.57 40.27 12.90 24.85 21.60
52 8.47 34.21 12.25 17.23 20.98
53 8.27 55.46 15.11 37.41 20.74
54 8.41 31.92 9.42 18.56 17.03
55 8.53 56.87 14.35 40.12 19.56
56 8.48 63.14 12.78 37.76 17.88
57 8.89 53.36 16.35 35.72 21.83
58 8.50 37.26 12.15 24.23 19.92
59 8.85 48.06 15.76 28.82 20.76
60 9.25 58.71 15.20 38.49 23.42
61 8.70 59.74 13.85 40.85 20.23
62 9.42 50.70 15.75 30.08 22.02
63 8.96 36.72 12.50 18.88 23.00
64 9.25 38.38 12.95 23.00 22.42
65 9.02 55.73 16.67 35.93 21.60
66 9.45 42.06 14.20 24.71 21.88
67 9.28 30.74 9.82 15.97 18.68
68 9.55 63.40 16.02 38.23 22.95
69 9.73 32.57 12.39 16.23 22.27
70 9.63 67.04 11.91 36.97 17.15
71 9.61 36.38 12.47 22.79 22.63
72 9.72 61.28 14.26 38.50 22.05
73 9.81 46.84 15.03 25.56 23.32
74 9.78 56.06 16.12 34.90 23.13
75 9.89 34.83 12.85 18.60 24.06
76 9.70 37.64 10.00 20.25 26.75
77 10.00 44.52 15.32 22.32 22.11
78 10.12 65.42 15.03 40.28 22.10
79 10.47 48.96 15.20 24.74 25.76
80 10.37 53.93 15.34 32.62 24.84
81 10.24 40.26 14.41 21.87 23.48
82 10.56 36.93 12.28 17.36 25.23
83 10.71 69.31 11.73 33.00 20.67
84 11.06 34.80 14.63 18.69 24.37
85 10.52 42.90 11.86 17.86 25.71
86 10.99 60.40 18.22 39.17 26.69
87 11.12 52.27 14.31 27.79 25.19
88 11.00 57.37 16.97 35.83 25.38
89 10.95 67.54 13.87 31.39 24.00
90 10.93 50.95 17.79 27.59 23.82
91 11.03 62.93 18.05 39.22 29.32
92 11.08 41.95 14.92 22.13 24.25
93 10.92 47.24 12.62 17.92 25.85
94 11.43 46.38 15.74 22.98 25.45
95 11.61 55.18 15.57 30.23 28.52
96 11.71 65.95 17.31 38.46 33.16
97 11.44 38.87 15.50 15.25 26.62
98 11.93 49.87 16.64 23.55 30.01
99 11.99 39.58 13.86 19.75 26.96
100 11.84 61.90 16.71 37.59 33.41
101 11.79 27.45 10.42 16.03 20.36
102 12.08 31.58 13.20 18.82 28.40
103 11.76 41.55 14.21 16.53 27.42
104 12.00 29.20 11.60 17.40 25.45
105 12.32 52.78 15.46 24.30 31.35
106 12.03 58.45 15.81 31.52 33.11
107 12.34 35.38 14.29 17.90 28.40
108 12.36 41.99 14.04 20.62 30.15
109 12.40 44.77 16.65 20.51 28.20
110 12.40 68.12 15.41 36.36 35.47
111 12.38 32.74 14.48 19.55 28.52
112 12.43 37.29 14.30 18.85 27.74
113 12.57 29.25 13.41 17.15 29.65
114 12.70 47.54 17.07 22.50 32.28
115 12.81 55.77 17.61 28.74 37.13
116 12.49 34.11 13.38 14.50 33.00
117 12.67 58.30 18.11 30.79 31.11
118 12.95 72.49 13.92 30.47 33.57
119 13.05 63.43 18.49 35.69 40.47
120 13.00 38.23 15.53 18.43 26.79
121 13.06 30.96 16.02 17.29 32.15
122 13.37 49.92 16.34 20.86 35.84
123 13.27 69.88 17.31 33.57 41.66
124 13.06 34.18 14.88 18.98 29.51
125 13.40 28.02 14.96 17.03 32.69
126 13.50 66.55 18.70 36.70 48.19
127 13.58 40.73 15.80 18.98 32.50
128 13.57 53.04 15.12 21.97 37.73
129 13.47 36.44 13.93 16.39 28.93
130 13.60 46.65 15.95 18.62 30.12
131 13.66 60.71 19.27 30.64 44.93
132 13.83 43.72 16.04 19.04 33.53
133 13.77 57.90 18.03 26.48 44.09
134 13.67 31.61 15.18 17.69 32.10
135 14.03 33.67 14.34 18.03 33.93
136 13.76 29.42 13.64 13.64 31.91
137 14.17 36.04 14.29 17.53 32.32
138 14.21 26.27 12.95 15.61 34.72
139 14.17 63.54 20.25 34.05 52.52
140 14.41 55.49 18.45 24.89 46.26
141 14.47 30.23 13.71 16.54 35.20
142 14.08 70.29 16.82 25.91 51.00
143 14.54 68.31 19.81 35.43 58.99
144 14.61 70.73 18.38 34.26 53.31
145 14.61 50.47 15.64 19.95 41.82
146 14.85 47.06 15.80 18.28 40.18
147 14.81 58.87 18.48 28.77 59.31
148 14.84 65.76 22.37 37.48 67.91
149 14.82 72.98 17.66 30.80 50.33
150 14.89 52.93 18.20 21.32 47.60
151 15.06 41.50 15.39 16.74 35.84
152 14.98 61.48 20.40 31.53 57.45
153 15.20 44.29 16.36 16.67 39.52
154 15.22 32.56 16.09 16.79 38.86
155 15.34 38.21 15.74 18.60 38.63
156 15.30 27.85 15.56 17.71 44.81
157 15.25 75.73 14.86 26.82 47.19
158 15.48 35.55 15.93 19.19 39.13
159 15.62 49.09 18.72 20.50 52.35
160 15.72 56.91 20.07 23.98 65.58
161 15.72 25.03 11.94 14.87 38.38
162 15.66 63.35 20.04 29.73 65.46
163 15.84 68.66 21.58 36.73 71.34
164 15.61 71.24 19.14 29.69 63.19
165 16.02 54.17 19.76 20.24 62.06
166 15.81 76.81 12.62 27.48 42.14
