#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf1 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
139 14.88 37.08 17.44 30.12 11.37
140 14.77 30.08 14.96 24.42 10.46
141 14.96 40.51 18.50 29.89 13.47
142 14.92 32.03 15.36 26.32 11.85
143 15.09 42.62 17.35 32.92 12.56
144 15.04 34.30 16.06 27.00 11.17
145 15.48 66.69 18.52 81.95 16.38
146 15.41 53.28 19.43 56.22 16.61
147 15.09 70.71 13.74 68.97 12.03
148 15.12 44.55 17.07 34.05 13.95
149 15.16 27.51 14.39 22.03 10.29
150 15.28 48.84 20.15 41.97 16.76
151 15.37 72.89 11.47 69.22 11.53
152 15.11 29.44 16.00 26.00 11.83
153 15.23 60.15 18.68 92.88 20.03
154 15.70 57.55 18.31 77.27 20.70
155 15.84 69.44 16.52 77.10 15.36
156 15.67 64.63 19.16 94.54 17.79
157 15.81 38.22 17.83 30.43 15.13
158 15.64 41.10 17.64 29.18 13.77
159 15.99 25.81 11.49 20.86 10.41
160 15.85 35.74 17.87 28.60 14.16
161 15.64 47.46 16.91 38.36 14.36
162 15.96 22.29 10.24 19.76 8.80
163 15.95 43.77 19.30 33.28 15.58
164 15.98 59.61 20.94 87.52 17.60
165 16.05 45.84 20.47 33.80 15.96
166 16.29 51.15 20.39 43.59 20.20
167 15.82 49.28 16.82 40.55 14.55
168 16.32 75.75 9.17 59.48 8.31
169 16.41 62.15 19.79 95.17 20.90
170 16.11 30.13 14.49 23.93 11.33
171 16.41 71.83 15.77 70.23 15.04
172 16.10 23.71 10.31 20.06 8.41
173 16.04 32.05 17.41 25.29 13.06
174 16.20 42.28 18.32 30.24 18.88
175 16.16 33.79 16.96 27.00 13.39
176 16.61 53.82 18.91 45.32 25.58
177 16.73 38.48 17.71 31.08 18.52
178 16.63 31.19 16.68 25.44 12.68
179 17.03 56.37 20.10 60.12 31.01
180 16.98 36.17 17.03 27.77 19.20
181 16.95 67.31 18.02 86.23 21.06
182 16.52 24.26 11.00 20.75 10.50
183 16.76 34.63 15.08 28.27 14.66
184 16.71 77.55 6.64 51.67 4.91
185 16.99 65.00 19.43 92.53 25.21
186 16.78 22.17 10.98 16.60 16.25
187 16.98 42.23 19.04 31.75 20.13
188 17.17 48.92 19.98 34.46 25.50
189 17.24 45.29 18.01 30.23 24.32
190 16.98 24.61 12.82 20.79 12.79
191 16.96 33.09 17.30 23.55 21.79
192 17.36 58.81 20.32 76.26 32.63
193 17.02 23.35 10.69 19.69 13.62
194 17.34 72.12 16.42 74.45 21.51
195 17.80 50.90 19.42 34.93 40.08
196 17.64 69.69 18.53 87.46 24.16
197 17.63 78.95 5.71 53.05 6.04
198 17.48 21.97 11.13 20.56 12.77
199 17.79 61.41 20.51 87.83 30.35
200 17.67 32.76 17.71 23.68 23.68
201 17.71 77.38 11.10 64.92 11.18
202 18.12 28.89 16.21 25.00 24.96
203 18.04 47.29 18.33 30.96 42.64
204 17.94 26.16 15.45 21.91 25.19
205 18.14 53.00 19.99 41.09 57.58
206 18.39 67.43 20.04 93.37 26.18
207 17.98 71.60 19.58 82.66 18.79
208 18.42 55.19 19.40 44.55 69.30
209 18.30 43.11 19.98 27.39 44.23
210 18.58 31.40 17.38 25.37 33.56
211 18.55 64.67 20.76 88.42 31.03
212 18.47 23.34 14.15 21.39 28.93
213 18.36 76.65 11.83 67.27 12.05
214 18.67 57.53 20.35 51.45 64.62
215 18.59 36.47 19.40 25.98 35.11
216 18.92 45.26 19.52 28.27 57.86
217 18.93 49.29 20.29 28.56 76.60
218 19.25 69.63 20.15 92.15 29.15
