#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw3 14A 4 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 2.21 50.15 6.21 44.63 4.86
1 3.35 47.95 10.37 54.50 6.50
2 3.35 51.07 9.59 52.81 7.40
3 3.32 53.81 8.17 52.73 4.98
4 3.80 44.96 12.38 51.84 7.10
5 3.97 50.27 10.59 56.04 7.56
6 4.32 53.23 12.02 57.11 7.64
7 4.69 47.58 12.50 54.74 8.94
8 4.92 57.84 9.67 61.33 6.59
9 5.11 50.09 13.74 55.59 8.45
10 5.36 44.97 13.53 51.47 9.53
11 5.09 55.36 11.44 59.42 7.52
12 5.05 52.54 11.44 56.24 8.54
13 5.77 41.70 13.57 43.32 8.42
14 5.77 47.95 14.35 54.29 10.32
15 5.74 55.22 10.70 68.80 8.90
16 6.46 53.48 15.18 60.01 10.41
17 6.48 58.66 11.08 64.60 7.78
18 6.54 50.99 16.60 58.96 9.88
19 6.83 43.47 16.28 42.03 10.84
20 6.48 47.38 17.38 50.79 9.40
21 6.75 56.30 14.61 65.72 10.27
22 6.59 61.29 8.18 56.52 7.18
23 7.13 40.86 15.26 39.96 9.59
24 7.45 49.01 16.71 54.56 12.16
25 7.54 45.98 17.02 46.12 12.61
26 7.31 60.79 9.36 59.69 9.03
27 7.75 38.02 13.24 29.46 8.59
28 7.88 58.60 14.02 64.97 10.36
29 7.97 55.29 17.19 63.22 11.24
30 8.26 50.95 18.37 55.36 11.84
31 8.59 53.24 16.86 61.58 12.42
32 8.39 42.20 16.75 35.83 11.87
33 8.50 61.54 12.24 66.82 9.94
34 8.32 63.72 10.24 60.19 8.19
35 8.77 47.16 17.57 44.24 12.54
36 9.04 57.01 15.36 65.48 12.74
37 8.80 39.08 15.57 28.58 10.61
38 8.81 36.15 13.84 23.79 9.12
39 8.85 41.11 15.65 28.45 12.00
40 9.18 44.65 17.29 35.50 13.77
41 9.33 59.43 15.06 63.11 12.51
42 9.51 49.05 19.55 49.09 13.05
43 9.44 40.00 15.71 28.41 11.97
44 9.47 54.95 17.20 60.46 14.95
45 9.63 66.17 8.88 54.96 8.34
46 9.82 63.64 11.88 62.27 10.15
47 9.76 42.46 15.25 27.96 12.96
48 10.38 61.68 13.19 69.22 12.67
49 10.07 53.85 17.49 59.93 14.07
50 10.18 51.26 19.70 55.19 14.91
51 10.46 47.07 19.35 37.56 14.15
52 10.36 41.46 17.04 28.03 14.27
53 10.36 35.54 13.95 19.72 10.91
54 10.29 38.90 17.71 24.52 12.66
55 10.67 44.10 19.98 32.41 14.91
56 10.35 65.39 8.90 58.31 10.86
57 10.69 56.29 17.86 59.34 14.42
58 10.74 59.09 16.34 62.79 14.24
59 11.05 67.44 8.93 53.03 9.15
60 11.30 52.78 19.70 53.80 15.94
61 11.43 49.88 21.85 43.66 15.58
62 11.23 39.92 18.49 25.21 13.22
63 11.38 34.70 15.82 18.75 11.53
64 11.46 36.89 15.09 19.39 13.10
65 11.35 64.89 14.01 64.69 13.26
66 11.32 38.20 13.80 21.80 12.50
67 11.90 45.01 20.74 29.22 15.32
68 12.19 62.67 14.95 64.64 15.03
69 12.09 60.19 17.34 68.27 17.46
70 12.10 42.13 18.96 25.07 15.07
71 12.12 54.93 19.56 54.93 16.01
72 12.38 57.48 18.57 61.43 17.57
73 12.52 38.04 20.03 21.18 14.47
74 12.31 68.15 10.28 60.11 13.45
75 12.09 47.85 19.94 35.09 16.59
76 12.30 40.18 19.43 22.52 15.16
77 12.64 51.49 19.07 39.44 17.82
78 12.50 66.04 13.67 63.76 14.00
79 12.48 33.65 15.67 18.07 12.85
80 12.66 46.32 21.48 30.24 17.69
81 12.89 64.59 14.63 64.88 15.69
82 13.08 32.71 15.83 16.74 13.02
83 13.09 48.77 22.26 32.27 17.18
84 13.10 45.10 21.03 28.73 16.33
85 13.36 70.30 9.46 49.95 13.47
86 13.46 53.57 20.43 43.24 18.99
87 13.75 59.39 20.19 61.94 20.75
88 13.72 61.88 17.85 66.02 24.11
89 13.75 66.86 15.03 64.75 18.77
90 13.75 37.01 19.00 21.10 16.06
91 13.85 56.00 20.83 48.46 20.68
92 13.75 43.09 21.12 26.71 16.71
93 13.95 51.18 23.21 34.82 19.63
94 14.17 46.37 20.87 27.21 20.23
95 14.34 44.61 20.41 27.02 20.42
96 14.19 63.83 17.73 62.82 21.32
97 14.54 42.02 18.75 27.23 21.16
98 14.42 72.12 10.74 51.03 15.46
99 14.39 34.77 18.90 18.77 15.79
100 14.48 48.69 21.94 28.44 21.61
101 14.84 68.40 15.75 60.35 24.93
102 14.78 39.86 21.33 23.58 19.57
103 14.87 53.65 21.14 36.29 22.92
104 14.69 36.14 17.27 21.53 15.53
105 15.09 50.78 22.34 30.18 26.28
106 15.14 31.70 16.77 17.43 15.66
107 15.12 56.43 22.05 45.11 26.65
108 15.21 59.43 21.35 56.23 27.14
109 15.36 65.42 18.68 64.72 28.81
110 15.45 62.25 20.31 59.60 29.86
111 15.48 70.66 13.60 57.41 22.27
112 15.38 45.80 20.79 26.49 23.55
113 15.51 34.16 17.38 18.31 22.28
114 15.37 35.53 19.04 21.96 16.38
115 15.66 37.37 18.69 22.09 22.20
116 15.56 47.58 23.87 25.22 27.33
117 15.79 26.49 12.33 14.59 16.45
118 15.99 28.61 14.46 15.93 19.43
119 15.50 39.33 24.43 24.36 21.14
120 15.98 52.33 21.80 30.08 30.34
121 15.99 73.17 11.80 55.25 22.67
122 15.90 69.30 13.53 61.42 28.53
123 15.90 44.59 18.40 22.47 31.27
124 16.61 31.31 16.95 17.31 21.85
125 16.33 56.71 21.40 36.56 36.75
126 16.38 67.77 17.55 60.20 32.28
127 17.01 34.00 19.36 19.99 25.78
128 16.47 59.05 21.08 43.40 41.66
129 16.50 63.47 20.61 51.84 35.88
130 16.57 42.33 21.67 22.37 29.33
131 16.56 49.43 23.19 25.61 34.11
132 16.72 54.33 21.63 32.37 39.17
133 16.56 44.67 24.67 26.47 27.83
134 16.79 46.97 24.63 26.24 33.90
135 17.03 74.88 12.62 52.01 24.13
136 17.09 61.24 20.30 46.54 48.25
137 16.79 29.47 16.50 18.56 21.06
138 17.09 36.52 19.98 20.15 27.05
139 17.30 65.63 20.28 56.63 37.43
140 17.19 70.87 18.30 61.59 31.09
141 17.25 51.73 22.42 28.31 46.12
142 17.40 28.26 16.06 16.51 22.54
143 17.51 40.62 20.42 21.60 32.87
144 17.47 57.72 22.18 35.21 55.05
145 17.35 26.66 13.97 14.66 23.97
146 17.91 42.94 23.07 25.16 39.99
147 17.71 68.89 18.98 59.36 42.47
148 18.08 45.12 23.98 24.22 46.73
149 18.03 73.06 15.63 55.69 35.70
150 18.01 55.44 21.80 30.30 65.80
151 17.92 63.55 23.62 52.43 57.52
152 18.18 49.85 21.53 27.63 57.36
153 18.16 38.44 22.14 23.02 38.70
154 18.20 47.54 22.16 26.25 47.43
155 18.05 31.74 17.04 19.67 29.41
156 18.38 59.69 23.62 36.83 76.81
157 18.07 67.48 20.85 56.26 33.18
158 18.44 25.99 14.51 15.10 31.01
159 18.47 53.22 23.23 28.64 71.08
160 18.45 75.92 14.12 52.51 32.36
161 18.54 35.78 20.54 20.88 37.29
162 18.73 29.33 17.72 17.43 34.29
163 18.90 62.01 22.20 36.79 75.75
164 18.94 70.59 19.81 55.59 49.20
165 18.96 65.53 23.25 49.48 60.59
166 19.13 40.74 22.54 25.01 52.25
