#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf7 14A 6 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 3.26 49.90 14.99 10.82 60.79
1 3.49 53.35 16.74 10.97 64.96
2 3.78 46.51 15.94 13.32 61.22
3 4.06 56.05 16.51 10.31 67.57
4 4.04 42.22 15.26 15.68 67.89
5 4.63 51.70 16.89 13.90 81.12
6 4.71 48.91 16.61 15.22 76.29
7 4.83 58.54 16.38 9.77 77.74
8 5.20 43.59 15.01 15.21 77.88
9 5.36 54.08 17.65 11.28 81.86
10 5.28 46.22 18.08 15.26 84.40
11 5.50 40.74 16.60 18.11 77.16
12 5.70 56.56 16.47 10.66 94.97
13 6.04 51.28 17.38 16.05 94.71
14 6.17 48.45 19.35 17.07 95.71
15 6.40 59.03 17.43 12.39 102.42
16 6.37 61.59 16.50 9.33 91.44
17 6.57 44.65 18.26 17.70 92.64
18 6.87 41.75 17.37 20.65 92.66
19 6.83 39.09 16.33 21.40 89.98
20 6.98 53.39 18.01 13.97 104.90
21 7.12 56.27 18.24 12.64 104.54
22 7.19 63.79 15.74 9.48 77.50
23 7.39 46.89 18.48 17.88 106.50
24 7.36 50.04 19.32 15.88 109.32
25 7.81 61.29 17.70 11.60 116.28
26 8.03 37.29 17.63 22.17 91.42
27 7.92 43.59 18.58 17.93 99.25
28 8.03 58.89 18.14 14.12 121.83
29 8.03 65.91 16.30 8.55 85.76
30 8.29 40.11 16.06 22.39 101.81
31 8.38 54.36 19.44 14.97 126.94
32 8.46 51.78 17.52 15.28 123.84
33 8.59 48.67 18.75 18.31 117.97
34 8.74 56.76 21.91 17.25 142.27
35 8.72 63.33 18.46 9.96 110.94
36 8.87 45.70 17.86 19.66 118.29
37 8.98 35.28 15.82 21.34 94.41
38 9.15 42.45 19.44 21.04 118.39
39 9.28 60.62 19.26 12.76 127.02
40 9.43 65.95 16.33 9.00 109.99
41 9.44 38.26 18.50 22.07 104.61
42 9.84 50.87 19.16 17.82 128.23
43 9.79 54.80 17.10 14.50 133.99
44 9.98 58.06 19.89 15.78 145.70
45 10.09 33.00 14.82 20.31 90.79
46 9.90 47.81 18.91 19.45 129.74
47 10.16 40.80 17.96 22.21 113.48
48 10.11 63.21 19.12 12.83 127.85
49 10.26 44.64 19.95 23.38 134.48
50 10.35 35.90 17.23 21.32 110.70
51 10.82 52.81 18.47 18.12 153.99
52 10.68 60.52 18.83 12.33 146.09
53 10.95 38.52 18.83 26.83 120.52
54 10.92 65.64 17.51 9.97 124.12
55 11.20 55.53 19.34 18.38 159.66
56 11.15 68.50 15.93 8.29 100.46
57 11.09 48.69 20.31 22.79 152.78
58 11.35 43.14 18.88 25.35 145.40
59 11.47 58.12 19.25 16.72 157.62
60 11.61 45.99 19.19 31.01 143.81
61 11.49 33.72 16.01 19.81 120.30
62 11.56 62.86 17.99 11.05 143.98
63 11.88 40.63 19.44 24.08 145.23
64 11.83 50.76 20.04 24.41 166.97
65 11.94 31.12 15.01 18.85 96.95
66 11.91 36.24 19.06 22.76 127.88
67 12.18 60.41 22.14 14.17 155.70
68 12.26 70.90 14.30 7.34 86.40
69 12.50 52.99 20.31 21.90 172.74
70 12.46 65.37 19.27 10.62 137.92
71 12.57 48.30 22.01 28.23 174.86
72 12.77 55.34 19.93 20.16 171.20
73 12.63 68.17 17.61 9.33 126.79
74 12.78 38.66 20.14 24.64 143.55
75 12.91 28.60 13.97 18.14 85.13
76 12.87 43.01 20.97 28.82 146.28
77 13.13 33.95 17.38 21.37 134.08
78 12.91 57.77 19.93 17.32 152.19
79 13.10 45.69 21.27 27.69 167.01
80 13.08 62.64 18.62 13.44 148.80
81 13.35 50.53 22.31 24.16 182.26
82 13.40 31.32 17.09 21.12 126.23
83 13.46 36.53 19.38 22.94 147.40
84 13.73 41.04 20.79 27.43 155.18
85 13.75 59.49 20.32 16.25 161.98
86 13.70 72.77 15.21 7.18 77.10
87 13.76 69.87 17.18 8.54 117.18
88 13.86 66.62 21.19 10.31 125.79
89 14.05 53.33 22.30 25.42 170.12
90 14.19 47.62 22.50 27.45 174.44
91 14.28 56.56 21.48 17.98 169.37
92 14.43 63.98 19.87 12.80 141.10
93 14.46 38.62 20.20 27.20 156.47
94 14.39 44.13 21.11 25.20 164.02
95 14.58 29.48 16.00 19.80 126.46
96 14.52 61.44 20.93 16.07 157.51
97 14.76 35.48 19.00 25.90 148.27
98 14.80 32.40 17.69 25.51 137.87
99 14.60 50.47 22.29 27.53 189.08
100 14.64 71.56 16.60 8.34 91.90
101 15.10 74.53 15.67 7.16 73.45
102 15.14 68.92 19.01 9.74 116.29
103 15.12 41.50 20.74 29.29 157.27
104 15.32 54.74 22.15 20.45 179.28
105 15.31 66.12 19.29 11.66 132.02
106 15.27 58.78 20.81 15.91 168.48
107 15.41 46.37 21.14 23.48 181.92
108 15.57 52.00 21.19 24.08 181.18
109 15.34 71.52 16.53 8.05 96.11
110 15.55 27.21 14.16 16.06 109.28
111 15.84 49.06 23.24 23.71 182.50
112 15.75 38.84 21.40 20.90 161.70
113 15.92 44.02 23.59 22.26 173.85
114 15.83 61.35 21.97 14.11 146.81
115 16.02 63.86 20.49 12.82 148.68
116 16.10 33.57 19.13 21.32 148.84
117 16.27 56.73 23.39 19.10 167.91
118 16.25 36.31 21.67 21.72 149.57
119 16.11 30.19 17.70 17.89 142.40
120 16.37 25.07 12.69 13.69 98.19
121 16.29 72.75 19.05 9.18 97.39
122 16.29 67.45 23.36 11.00 119.36
123 16.54 41.39 21.34 21.57 167.09
124 16.70 70.28 19.95 9.04 103.65
125 16.74 75.27 15.68 7.32 79.59
126 16.63 53.55 23.57 19.41 185.40
127 16.75 59.29 22.74 15.84 153.96
128 16.86 46.54 21.61 20.11 166.11
129 16.98 50.88 23.48 20.11 177.33
130 17.09 27.86 15.01 15.12 126.72
131 17.16 61.99 21.76 13.21 139.14
132 17.31 64.99 22.28 12.02 130.75
133 17.28 32.10 18.28 18.49 152.85
134 17.17 38.59 22.69 20.95 161.29
135 17.26 43.84 22.65 18.12 168.87
136 17.56 48.56 22.43 17.21 174.02
137 17.60 77.79 15.65 6.71 59.48
138 17.41 67.85 21.38 11.42 121.10
139 17.58 55.31 23.74 15.59 170.65
140 17.63 35.19 18.69 16.76 148.03
141 17.86 57.70 23.47 16.28 156.86
142 17.81 72.60 19.00 9.03 104.23
143 18.10 29.90 16.46 15.54 147.07
144 18.01 40.79 21.97 18.70 161.98
145 18.07 52.94 21.88 16.63 164.15
146 18.32 75.29 17.44 7.49 95.78
147 18.24 60.26 23.20 13.63 148.90
148 18.36 69.84 21.63 10.69 113.31
149 18.41 62.97 23.27 13.29 143.35
150 18.53 27.30 15.61 14.30 137.23
151 18.49 45.98 22.33 17.06 180.13
152 18.48 50.61 24.53 17.16 168.42
153 18.54 38.17 21.76 19.11 158.39
154 18.55 43.40 22.50 17.88 178.41
155 18.52 67.12 21.94 11.30 108.46
156 18.80 32.28 19.87 17.34 156.75
157 18.91 24.66 15.06 13.14 129.25
158 18.98 65.08 22.41 12.44 127.92
159 19.08 48.26 24.19 18.14 172.64
160 19.00 35.02 20.62 17.35 159.68
161 18.96 55.45 24.25 17.03 163.34
162 19.20 58.16 23.26 15.57 152.63
163 19.24 77.81 15.78 6.87 80.43
164 19.24 72.80 22.88 10.16 130.84
165 19.36 41.34 22.54 18.40 174.21
