#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf8 14A 3 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
139 18.19 60.46 26.20 7.91 149.49
140 18.38 62.84 25.83 8.00 148.42
141 18.41 74.46 21.29 5.03 59.94
142 18.74 31.77 19.45 8.27 141.38
143 18.83 58.01 26.00 8.25 154.41
144 18.88 23.95 18.12 6.74 124.08
145 18.91 38.74 20.23 8.70 155.39
146 18.86 43.52 24.67 8.55 166.96
147 18.87 68.07 26.19 7.47 128.91
148 19.06 34.21 20.29 8.39 158.82
149 19.00 55.44 27.33 8.97 172.12
150 18.99 47.97 24.49 8.47 160.81
151 19.16 50.53 25.04 9.06 162.69
152 19.19 71.77 27.34 5.45 102.52
153 19.36 41.15 23.47 8.92 160.96
154 19.29 17.94 12.84 5.49 69.85
155 19.48 36.61 21.75 8.04 160.07
156 19.46 52.91 26.10 8.29 165.33
157 19.42 63.97 30.77 7.93 145.96
158 19.50 28.26 19.15 8.21 131.72
159 19.63 20.88 16.13 5.77 113.04
160 19.59 45.76 23.21 8.41 171.00
161 19.58 60.77 27.62 7.77 148.58
162 19.99 66.20 30.09 7.32 146.08
163 20.16 25.99 20.43 7.14 133.18
164 20.13 30.84 23.05 7.99 149.78
165 20.18 68.76 31.33 7.41 128.70
166 20.32 73.61 33.76 5.70 108.75
167 20.16 56.41 27.86 9.02 163.82
168 20.40 23.44 17.37 7.06 135.36
169 20.30 43.60 25.69 8.72 171.15
170 20.24 48.60 25.45 8.28 162.73
171 20.38 33.83 21.85 8.24 150.10
172 20.41 58.60 30.44 7.75 168.12
173 20.72 38.84 20.96 9.12 170.80
174 20.68 53.86 30.65 9.03 168.38
175 20.57 63.03 31.44 7.62 152.78
176 20.63 70.92 33.64 6.53 118.51
177 20.69 18.49 16.86 5.82 94.70
178 20.78 51.21 29.68 8.36 169.66
179 20.74 75.93 31.01 5.04 71.16
180 20.79 41.21 23.95 9.16 168.90
181 20.89 36.49 23.35 9.15 161.61
182 20.96 45.92 25.25 8.56 167.52
183 21.12 28.56 20.64 7.72 147.10
184 21.12 60.74 31.23 8.62 160.60
185 21.41 21.53 18.64 6.17 122.63
186 21.25 66.09 34.93 7.49 150.87
187 21.41 32.37 22.45 8.58 163.38
188 21.48 48.37 27.61 9.13 172.57
189 21.55 55.80 30.70 9.04 168.88
190 21.63 25.71 20.13 7.69 143.59
191 21.70 68.91 39.38 7.37 130.04
192 21.69 43.28 28.08 9.07 176.72
193 21.81 58.33 34.61 8.19 174.92
194 21.81 72.02 46.24 6.80 116.45
195 21.83 63.35 37.26 8.03 153.16
196 21.98 35.06 22.64 8.10 159.94
197 21.92 75.42 47.74 5.73 83.44
198 22.03 18.95 19.80 6.00 95.67
199 22.09 40.49 26.73 9.32 179.59
200 22.17 53.07 30.66 8.69 177.15
201 22.16 50.55 29.90 9.24 170.63
202 22.16 78.45 38.58 5.15 55.81
203 22.23 30.36 23.40 8.16 157.36
204 22.33 37.70 26.63 9.00 172.47
205 22.27 46.15 29.80 9.81 179.17
206 22.56 16.49 16.99 5.85 82.25
207 22.53 23.74 22.04 6.66 137.43
208 22.53 60.72 35.62 8.11 160.73
209 22.71 27.84 22.77 7.91 147.73
210 22.55 65.91 48.62 8.00 151.12
211 22.84 73.51 62.09 6.37 127.91
212 22.91 32.69 24.60 7.84 153.12
213 22.92 43.84 27.67 9.02 179.66
214 22.94 48.37 32.15 8.65 188.79
215 22.84 55.58 35.00 9.49 178.37
216 22.97 21.15 21.71 6.94 132.15
217 23.06 68.29 57.61 7.50 145.96
218 23.17 70.75 64.35 6.93 132.68
219 23.16 58.29 40.41 9.19 172.20
220 23.11 63.19 46.95 7.85 154.67
221 23.29 35.26 26.80 9.35 168.68
