#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
hre1 14A 7 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
139 18.11 45.33 22.58 16.72 181.19
140 18.12 57.58 22.33 15.15 175.29
141 18.41 60.14 22.39 12.79 149.87
142 18.36 54.70 22.90 16.85 192.16
143 18.53 49.21 22.76 16.73 183.83
144 18.85 52.10 22.99 16.11 183.62
145 18.71 21.45 12.62 8.88 90.00
146 18.77 70.23 17.32 10.15 98.71
147 18.82 65.89 20.44 11.10 121.39
148 19.05 25.04 14.28 10.37 114.21
149 19.13 43.23 21.94 16.26 179.32
150 19.22 46.62 22.09 16.15 191.16
151 19.15 74.94 14.90 8.46 67.29
152 19.42 40.69 20.98 15.73 177.81
153 19.47 28.28 17.08 12.37 128.44
154 19.55 35.87 20.46 14.98 158.47
155 19.60 38.17 20.00 15.84 170.10
156 19.36 57.70 21.63 14.55 162.16
157 19.53 61.26 21.67 13.80 161.33
158 19.83 31.10 18.44 14.22 137.49
159 19.80 33.70 20.46 14.12 155.14
160 19.62 54.47 22.65 16.08 185.22
161 19.77 50.04 23.69 16.88 191.17
162 19.90 71.86 15.98 9.31 93.35
163 19.89 63.77 20.07 13.65 142.46
164 20.00 68.84 19.62 10.74 114.67
165 20.24 21.98 13.73 9.03 94.27
166 20.18 66.20 21.56 12.32 129.85
167 20.34 44.58 24.48 16.97 180.38
168 20.49 47.40 22.64 16.60 175.31
169 20.54 76.47 16.06 8.51 66.58
170 20.69 27.14 16.48 12.40 132.09
171 20.56 24.62 16.33 11.23 115.21
172 20.50 59.03 23.48 14.88 167.51
173 20.58 56.27 21.32 15.59 174.69
174 20.74 51.72 24.35 15.97 177.72
175 20.64 73.95 17.00 9.64 94.86
176 20.88 39.15 22.42 16.34 170.25
177 20.80 41.88 22.49 15.57 178.79
178 20.96 53.88 24.13 16.62 185.61
179 20.85 61.91 23.85 14.66 153.03
180 20.96 29.72 17.39 13.19 135.69
181 21.16 36.40 20.67 15.71 167.08
182 21.18 49.49 25.56 16.43 182.86
183 21.28 33.32 20.34 15.35 156.20
184 21.32 69.45 22.96 11.12 109.17
185 21.42 64.40 22.25 13.25 141.34
186 21.37 67.10 22.32 12.36 124.72
187 21.56 20.25 12.75 8.17 91.56
188 21.62 71.73 21.10 10.35 103.90
189 21.70 44.90 22.53 16.53 173.54
190 21.66 59.86 24.85 15.39 158.65
191 21.78 23.25 15.08 9.96 117.39
192 21.78 57.34 23.88 15.81 154.26
193 21.94 77.46 16.22 9.51 75.03
194 21.99 47.40 25.41 16.72 179.60
195 22.09 42.55 24.45 16.99 184.83
196 22.03 74.50 18.77 9.67 86.75
197 22.14 54.85 25.42 16.00 171.75
198 22.36 26.05 17.04 11.76 126.70
199 22.16 28.72 17.88 13.48 148.23
200 22.12 39.83 21.95 16.40 174.44
201 22.24 52.38 25.55 16.62 182.22
202 22.17 62.01 24.69 15.34 152.85
203 22.58 31.86 19.39 14.00 156.70
204 22.52 34.53 21.75 14.77 168.57
205 22.65 37.06 22.91 15.29 169.66
206 22.52 49.78 24.28 17.01 170.44
207 22.50 18.03 11.26 8.90 94.85
208 22.55 66.07 23.00 13.08 135.92
209 22.66 69.00 20.78 11.94 117.66
210 22.83 59.30 24.95 15.63 153.19
211 22.98 22.04 14.99 10.26 117.81
212 23.00 45.81 24.27 17.53 179.84
213 22.91 63.68 25.08 14.96 144.09
214 23.09 72.08 22.52 11.17 106.73
215 22.90 19.44 11.70 7.30 84.16
216 23.04 56.78 26.41 16.17 166.40
217 23.37 43.59 26.20 17.62 175.45
218 23.30 75.11 20.08 10.34 97.85
219 23.50 41.36 24.06 16.92 184.00
220 23.43 39.12 23.43 17.07 170.80
221 23.44 53.85 28.16 17.42 172.90
222 23.47 78.02 18.76 10.05 77.34
223 23.63 24.62 16.56 12.09 129.93
224 23.47 51.21 26.07 17.40 173.77
225 23.50 29.79 18.41 13.26 148.14
226 23.55 61.30 27.68 15.49 151.86
227 23.65 47.91 26.37 16.54 170.57
228 23.35 18.11 10.94 7.88 85.59
229 23.76 66.52 26.34 14.47 135.71
230 23.90 34.92 22.84 15.68 167.27
231 24.05 27.54 17.92 13.34 141.71
232 24.08 32.43 21.00 14.97 164.80
233 23.92 69.16 26.31 12.28 123.98
234 24.03 20.62 13.72 9.56 108.38
235 23.99 58.68 28.30 17.43 155.76
236 24.03 64.08 28.88 15.13 151.32
237 24.23 37.37 22.85 16.94 172.24
238 24.17 55.92 28.66 16.85 163.78
239 24.35 45.19 26.18 17.73 180.15
240 24.53 49.60 29.17 17.41 165.96
241 24.41 71.36 26.37 12.41 114.25
242 24.50 73.70 26.32 11.71 101.08
243 24.58 17.53 12.83 8.25 89.85
244 24.72 51.64 29.62 17.07 164.49
245 24.64 76.37 24.01 9.66 87.03
246 24.70 79.25 23.12 9.32 64.09
247 24.75 42.47 25.62 17.45 181.27
248 24.85 40.08 24.02 17.40 176.09
249 24.75 53.66 30.19 18.03 181.91
250 24.81 62.33 35.12 15.78 157.84
251 24.91 25.93 18.45 12.03 135.67
252 24.98 60.03 38.26 16.47 155.72
253 24.95 67.43 32.08 13.32 136.00
254 24.92 30.14 19.17 13.58 155.84
255 25.17 23.20 16.66 11.36 125.01
256 25.00 47.24 27.98 18.02 169.63
257 25.25 34.09 23.66 16.52 171.32
258 25.18 57.68 33.81 17.93 159.65
259 25.32 36.29 23.08 17.48 170.42
260 25.16 64.85 41.62 14.62 143.21
261 25.30 20.43 16.33 9.85 110.28
262 25.40 69.63 35.77 13.34 124.72
263 25.52 55.35 36.57 18.20 170.65
264 25.60 44.50 28.61 18.92 175.01
265 25.76 38.32 24.84 17.46 170.38
266 25.69 15.10 12.75 7.35 72.91
267 25.73 74.79 36.02 11.36 100.38
268 25.91 32.10 21.44 16.48 160.83
269 25.88 71.88 42.11 13.12 118.29
270 25.95 29.20 19.42 14.89 147.20
271 25.83 48.94 32.25 17.33 164.06
272 25.97 77.60 39.66 10.37 83.16
273 25.97 61.43 68.35 16.61 150.18
274 26.12 18.03 15.35 8.34 97.30
275 26.06 42.36 29.08 18.46 188.60
276 26.07 51.01 34.29 18.24 173.18
277 26.02 53.16 38.15 20.25 175.08
278 26.17 26.42 19.54 12.96 138.24
279 26.28 59.19 73.13 18.24 160.56
280 26.20 66.77 62.53 15.35 140.09
281 26.31 40.34 26.95 17.44 183.75
282 26.21 46.73 31.21 18.17 176.07
283 26.42 80.00 54.62 10.23 74.52
284 26.26 64.35 89.30 15.92 145.96
285 26.40 56.87 54.74 17.57 157.12
286 26.51 23.64 18.45 12.18 121.11
287 26.55 35.78 25.18 16.89 174.88
288 26.60 20.75 16.91 10.36 111.72
289 26.63 69.02 79.24 15.61 140.41
290 27.04 82.45 67.33 9.55 53.48
291 26.87 73.28 83.39 13.09 113.77
292 27.01 33.66 25.59 16.41 167.13
293 26.87 44.68 34.50 18.56 180.76
294 26.96 62.43 156.25 16.94 140.42
