#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
hre2 14A 5 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.75 47.86 14.92 9.55 47.18
1 3.07 44.25 15.86 9.29 45.03
2 3.83 49.87 15.80 10.05 49.68
3 4.09 46.16 17.93 9.89 53.27
4 4.24 42.81 17.22 10.44 50.49
5 4.64 52.76 16.56 10.59 56.19
6 4.86 38.84 17.33 11.00 49.64
7 5.08 48.32 19.64 11.82 62.34
8 5.22 36.40 17.44 10.99 52.15
9 5.29 55.32 16.59 10.71 64.26
10 5.42 41.62 17.75 12.35 54.54
11 5.59 50.82 18.16 12.20 71.19
12 5.48 45.33 19.39 12.70 59.27
13 6.09 57.53 17.02 10.24 70.73
14 6.23 53.32 18.50 13.24 78.07
15 6.30 39.46 19.21 12.74 55.72
16 6.52 47.74 20.60 12.74 72.35
17 6.60 44.07 19.64 14.10 68.88
18 6.65 36.23 18.02 12.88 55.78
19 6.94 33.60 19.03 12.68 51.31
20 7.16 50.61 18.71 13.54 85.62
21 7.22 55.65 18.86 12.47 92.21
22 7.30 41.60 20.82 13.60 69.85
23 7.42 58.25 16.88 11.05 84.03
24 7.66 38.63 21.15 14.51 63.81
25 7.65 53.13 19.24 14.82 92.05
26 7.83 45.52 19.53 15.61 81.04
27 7.96 48.43 20.38 15.02 86.77
28 8.30 35.78 21.34 15.33 66.14
29 8.44 33.15 21.41 15.08 60.73
30 8.55 43.21 22.20 16.78 80.51
31 8.72 57.16 19.23 14.05 112.80
32 8.73 50.94 21.35 15.25 95.32
33 8.68 59.82 19.39 14.24 100.95
34 8.94 54.23 20.42 15.29 103.42
35 9.09 40.58 20.86 17.12 83.70
36 9.06 30.68 20.28 14.68 58.62
37 9.05 38.16 21.58 16.19 77.30
38 9.10 47.12 22.13 18.59 98.14
39 9.64 61.96 18.03 12.94 121.19
40 9.97 64.53 17.14 11.75 130.50
41 10.04 35.96 22.23 16.52 76.47
42 9.96 45.22 22.30 17.18 96.14
43 9.94 32.96 21.55 15.90 69.85
44 10.01 49.35 21.99 18.59 108.73
45 9.93 52.27 22.40 16.02 106.75
46 10.06 42.60 22.23 18.04 93.50
47 10.07 56.25 20.72 15.37 124.96
48 10.09 59.59 20.16 15.38 130.04
49 10.23 29.38 19.08 12.72 61.72
50 10.54 39.60 21.97 17.24 90.88
51 10.88 54.18 22.63 17.96 125.03
52 10.88 27.29 19.55 11.00 68.05
53 10.92 47.18 23.69 17.87 108.22
54 11.09 31.80 20.34 16.57 75.23
55 11.20 58.04 20.99 15.88 138.12
56 11.13 62.43 18.92 13.41 141.94
57 11.21 51.13 23.54 19.19 123.23
58 11.35 43.63 23.91 17.51 100.74
59 11.34 34.76 22.58 17.80 81.57
60 11.64 64.96 19.02 13.36 135.08
61 11.85 60.36 21.10 15.74 149.04
62 11.80 29.87 20.05 15.09 73.77
63 11.75 39.62 22.46 18.01 99.13
64 12.07 55.88 23.14 17.67 149.59
65 12.08 48.61 22.92 20.83 131.59
66 12.26 37.30 22.55 18.38 100.30
67 12.32 67.49 17.14 11.77 140.31
68 12.35 45.83 23.95 19.00 116.16
69 12.37 27.49 19.40 12.43 72.67
70 12.33 53.30 24.11 20.93 134.80
71 12.57 32.73 21.23 15.40 80.85
72 12.62 42.58 24.14 16.72 106.99
73 12.68 50.94 24.39 19.17 133.94
74 12.85 35.11 23.22 17.97 103.64
75 12.90 58.03 21.51 15.37 147.72
76 12.96 62.92 20.33 13.10 149.80
77 13.16 40.13 23.96 16.77 104.83
78 13.37 31.00 20.36 14.74 84.75
79 13.42 65.49 20.12 13.07 149.62
80 13.27 70.26 16.40 9.57 111.17
81 13.39 24.09 17.40 10.23 63.75
82 13.54 60.63 22.03 14.12 160.37
83 13.55 48.19 23.66 18.00 130.78
84 13.63 54.23 22.64 18.04 150.75
85 13.74 28.76 20.15 11.55 84.37
86 13.82 45.23 26.24 17.42 135.26
87 14.03 26.61 18.43 11.00 73.96
88 14.10 38.43 23.53 16.37 109.80
89 14.00 51.44 23.34 18.77 140.92
90 14.08 42.57 24.51 17.62 124.14
91 14.17 56.61 22.50 16.63 158.04
92 14.20 67.88 18.41 11.48 143.12
93 14.11 35.77 23.44 17.47 107.62
94 14.63 63.62 20.87 13.47 155.98
95 14.68 58.87 23.02 15.19 154.49
96 14.72 70.58 18.32 10.57 132.07
97 14.73 24.41 17.22 9.43 80.53
98 14.71 31.58 21.46 15.13 98.93
99 15.03 34.10 24.68 15.97 108.57
100 15.05 49.03 24.27 18.26 149.11
101 15.01 46.60 25.76 17.45 140.00
102 15.04 40.79 23.79 18.03 116.32
103 15.12 53.80 25.39 18.19 145.29
104 15.21 22.24 17.85 9.03 69.39
105 15.14 29.24 20.13 12.42 90.37
106 15.39 61.20 20.72 14.49 155.27
107 15.43 65.90 20.45 13.08 154.30
108 15.49 43.68 24.13 18.42 127.24
109 15.42 51.40 24.14 18.33 144.81
110 15.59 37.21 21.94 15.55 106.10
111 15.65 26.73 18.94 10.91 91.62
112 15.62 56.03 25.03 15.31 143.38
113 16.01 68.42 20.34 12.46 149.04
114 16.06 58.74 22.63 15.27 156.44
115 16.26 71.29 17.89 9.60 127.78
116 16.33 74.85 15.00 8.26 96.59
117 16.27 24.64 17.52 9.41 81.48
118 16.37 31.13 22.74 12.28 107.72
119 16.23 40.21 25.01 17.29 131.99
120 16.41 33.73 22.15 13.57 116.84
121 16.50 62.84 21.99 13.13 155.71
122 16.42 46.08 24.62 17.28 139.46
123 16.62 28.83 20.03 11.48 104.92
124 16.65 49.75 24.25 16.72 145.61
125 16.68 21.98 16.44 7.79 80.41
126 16.64 53.03 24.81 17.35 161.06
127 16.92 42.97 23.75 16.48 135.08
128 17.04 36.24 22.68 14.88 116.68
129 16.97 56.15 24.56 16.50 147.00
130 17.06 65.40 20.59 12.61 154.05
131 17.39 39.47 23.09 15.15 127.16
132 17.35 59.12 23.52 13.56 158.63
133 17.36 73.09 17.32 9.39 120.38
134 17.36 47.67 26.13 15.67 138.02
135 17.54 67.98 20.80 12.92 142.94
136 17.58 25.28 20.59 10.84 103.77
137 17.71 27.74 19.59 10.71 101.59
138 17.77 32.89 22.12 13.53 118.27
139 17.95 70.36 18.58 10.86 135.25
140 18.02 45.26 25.68 16.05 145.04
141 17.96 61.55 22.92 13.36 155.90
142 17.93 52.56 24.70 16.19 159.40
143 18.11 30.46 22.19 12.52 107.43
144 18.12 22.80 18.34 8.75 93.38
145 18.18 50.29 24.52 15.28 146.40
146 18.35 75.29 16.89 8.83 113.02
147 18.26 55.08 24.54 15.37 151.59
148 18.25 37.78 26.24 14.24 127.53
149 18.16 42.44 25.12 15.86 137.03
150 18.44 64.44 22.49 13.10 159.78
151 18.56 35.05 23.07 13.59 126.18
152 18.59 57.34 26.20 14.11 154.52
153 18.59 47.96 25.55 16.54 143.09
154 19.00 59.65 23.96 14.13 160.65
155 18.88 72.52 19.20 11.95 139.63
156 18.99 19.67 17.70 7.42 73.33
157 18.97 40.36 25.04 13.87 132.25
158 19.06 26.18 21.72 9.84 98.80
159 19.12 29.13 20.75 10.35 109.47
160 19.12 66.76 21.38 12.19 148.42
161 19.35 32.35 23.69 12.65 127.62
162 19.24 52.76 24.90 15.31 153.70
163 19.41 62.22 22.89 13.34 160.80
164 19.47 22.10 18.54 7.96 92.04
165 19.36 43.20 27.48 14.97 148.08
