#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca6 14A 6 even-skipped Kruppel giant

#Data without background
#Normalization coefficients: <gene> <a0> <a1> <a2> <a3> <a4> <a5>
eve -0.007088 -0.007088 0.65062 0.65062 3.039306 0.0
Kr  -0.003651 -0.011267 0.330225 1.065468 -6.971819 6.11E-4
gt  -0.003678 -0.005794 0.344352 0.492362 -0.081598 6.79E-4
#Normalization formula: intensity_norm = 255 * (intensity - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y)) / (255 - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y))
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.05 45.77 0.00 0.00 0.00
1 2.45 43.31 0.00 0.00 0.00
2 2.58 48.70 0.44 0.00 0.00
3 3.17 46.40 0.00 0.00 0.00
4 2.94 44.90 0.00 0.00 1.66
5 3.24 44.02 2.14 0.00 0.00
6 3.48 50.82 0.18 0.00 0.00
7 3.77 41.80 1.25 1.62 0.00
8 4.12 53.88 0.00 0.00 0.00
9 4.22 44.70 1.38 2.60 0.00
10 4.04 48.48 1.65 0.00 0.00
11 4.65 56.36 0.00 0.00 0.00
12 4.94 39.70 1.71 3.33 0.00
13 4.56 47.63 0.85 1.12 0.00
14 4.67 50.57 0.82 2.63 0.00
15 4.77 42.21 0.65 5.07 0.00
16 5.26 52.92 1.86 1.20 0.00
17 5.37 46.12 0.38 0.00 0.00
18 5.54 48.55 1.13 2.03 0.00
19 5.42 44.36 0.77 3.28 0.00
20 5.77 55.33 0.24 0.22 0.00
21 5.56 42.40 2.68 2.01 0.00
22 5.86 36.38 1.12 2.63 0.00
23 6.29 50.74 0.00 4.95 0.00
24 5.84 57.06 0.00 0.00 0.00
25 6.48 41.19 0.00 2.89 0.00
26 6.49 46.89 1.58 1.80 0.00
27 6.53 57.93 0.00 0.00 0.00
28 6.77 44.06 0.74 5.29 0.00
29 6.79 53.39 0.00 1.04 0.00
30 7.49 48.38 0.00 2.66 0.00
31 7.40 61.66 0.00 0.00 0.00
32 7.31 57.12 0.80 0.00 0.00
33 7.76 59.16 0.00 0.00 0.00
34 7.69 37.06 2.25 2.79 0.00
35 7.70 33.11 2.18 2.36 0.00
36 7.71 39.44 1.18 0.78 0.00
37 7.91 51.89 1.63 2.74 0.00
38 7.76 55.84 0.00 0.00 0.00
39 7.97 42.39 0.98 4.04 0.00
40 7.87 45.77 0.00 2.57 0.00
41 8.17 30.57 0.00 3.49 0.00
42 8.27 38.55 0.32 1.81 0.00
43 8.44 53.84 0.00 2.51 0.58
44 8.66 34.80 2.14 4.90 0.00
45 8.73 49.93 1.02 3.59 1.05
46 8.61 57.27 0.00 0.00 0.96
47 9.04 47.32 1.17 5.15 1.27
48 8.74 62.15 0.00 0.00 1.21
49 9.28 41.84 2.31 2.66 0.00
50 9.49 37.43 4.36 1.68 0.28
51 9.19 59.68 0.00 0.00 2.78
52 9.27 32.46 1.59 3.60 0.00
53 9.44 44.60 2.34 4.73 1.02
54 9.37 29.50 1.74 0.87 0.00
55 9.52 39.48 2.67 4.39 2.13
56 9.66 52.54 0.00 2.21 2.52
57 9.98 55.57 0.00 2.33 4.45
58 10.05 61.52 0.00 0.00 4.92
59 10.06 49.42 0.21 4.69 3.89
60 10.03 34.00 1.43 6.08 0.33
61 9.99 26.87 0.00 1.87 0.00
62 10.41 31.59 2.73 3.27 1.75
63 10.21 40.03 2.66 0.57 1.82
64 10.65 43.11 0.61 3.30 6.13
65 10.55 58.48 0.00 0.28 6.37
66 10.70 45.85 0.00 2.72 8.61
67 10.61 64.06 0.00 0.00 7.07
68 10.74 35.29 0.90 4.36 1.87
69 11.03 53.96 0.37 1.38 11.76
70 10.99 29.37 0.52 4.15 3.45
71 10.71 27.49 0.59 1.34 0.11
72 11.08 37.63 3.43 2.98 6.06
73 11.07 40.42 4.69 2.74 8.91
74 11.10 25.43 0.00 0.00 1.48
75 11.09 48.01 1.77 3.04 14.97
76 10.71 24.54 0.00 3.55 2.93
77 11.16 51.21 0.00 0.66 10.06
78 11.20 66.11 0.00 0.00 8.10
79 11.22 62.79 0.00 0.00 7.26
80 11.59 56.81 0.00 1.91 9.88
81 11.23 32.77 2.29 0.00 0.00
82 11.36 33.98 1.63 0.62 4.02
83 11.72 59.60 0.00 0.00 11.03
84 11.80 35.29 1.78 1.45 8.98
85 12.06 44.19 0.00 4.32 27.93
86 12.24 27.96 0.34 0.00 10.40
87 12.19 41.39 1.17 3.69 29.88
88 12.26 47.03 1.23 1.44 35.56
89 12.17 32.25 2.02 0.30 11.35
90 12.28 49.85 0.00 2.39 34.99
91 12.13 64.36 0.00 0.00 11.64
92 12.45 61.91 0.00 0.00 13.06
93 12.50 25.42 0.01 0.05 11.70
94 12.47 54.66 0.00 0.00 20.49
95 12.46 38.37 1.42 3.19 23.94
96 12.38 70.06 0.00 0.00 9.20
97 12.67 52.22 0.00 0.57 35.39
98 12.83 66.83 0.00 0.00 11.02
99 13.06 35.85 0.00 0.62 25.43
100 13.29 30.18 0.26 0.00 24.41
101 13.20 57.07 0.00 0.00 20.65
102 13.27 59.89 0.00 0.00 16.27
103 12.94 69.11 0.00 0.00 9.53
104 13.38 33.05 0.85 0.00 26.65
105 13.40 42.91 0.83 0.00 74.81
106 13.51 46.09 0.00 0.66 80.01
107 13.63 40.17 2.47 0.15 66.17
108 13.54 48.97 0.00 0.00 76.93
109 13.72 27.39 0.00 0.00 30.58
110 13.80 71.14 0.00 0.00 8.02
111 13.86 24.40 0.00 0.00 27.33
112 13.84 54.29 0.00 0.00 44.13
113 13.88 65.00 0.00 0.00 15.99
114 14.16 37.66 0.96 0.99 64.80
115 14.04 68.01 0.00 0.00 11.72
116 14.06 62.37 0.00 0.00 17.82
117 14.16 51.51 0.00 0.00 76.91
118 14.56 34.94 0.47 0.46 62.11
119 14.46 58.66 0.00 0.00 27.51
120 14.54 44.53 0.00 0.17 127.16
121 14.56 21.70 0.00 0.00 50.52
122 14.75 32.23 0.00 0.00 62.24
123 14.95 56.31 0.00 0.00 41.74
124 14.87 41.85 1.25 0.00 113.66
125 15.04 29.64 0.00 0.00 66.10
126 14.88 49.15 0.00 0.00 113.28
127 15.16 46.74 0.00 0.00 124.82
128 15.08 26.64 0.00 0.00 70.30
129 15.19 53.71 0.00 0.00 76.08
130 15.20 61.10 0.00 0.00 26.71
131 15.18 66.15 0.00 0.00 18.42
132 15.33 39.33 0.81 0.00 106.20
133 15.24 71.85 0.00 0.00 13.76
134 15.44 69.08 0.00 0.00 15.74
135 15.51 23.78 0.00 0.00 73.94
136 15.54 63.65 0.00 0.00 21.37
137 15.78 36.81 0.94 0.00 109.60
138 15.74 51.30 0.00 0.00 111.40
139 15.84 44.00 0.24 0.00 134.68
140 15.89 58.59 0.00 0.00 37.16
141 16.00 34.12 0.60 0.74 99.61
142 16.47 31.39 1.12 0.00 114.59
143 16.33 48.62 0.00 0.00 125.85
144 16.43 41.37 0.06 0.00 140.72
145 16.42 28.42 0.00 0.00 106.98
146 16.53 56.23 0.00 0.00 52.42
147 16.55 53.46 0.00 0.00 84.85
148 16.54 66.45 0.00 0.00 22.41
149 16.65 25.46 0.00 0.00 106.72
150 16.38 72.74 0.00 0.00 11.08
151 16.71 46.08 1.82 0.00 145.09
152 16.56 61.27 0.00 0.00 35.76
153 16.60 71.37 0.00 0.00 16.94
154 16.93 38.99 1.17 0.00 138.33
155 16.89 22.28 0.00 0.00 98.86
156 16.95 63.76 0.00 0.00 29.30
157 16.87 68.96 0.00 0.00 18.69
158 17.10 18.90 0.00 0.00 81.23
159 17.15 50.58 0.00 0.00 121.50
160 17.24 43.44 0.89 0.00 149.06
161 17.31 33.80 0.30 0.00 136.29
162 17.33 36.57 1.78 0.00 147.79
163 17.27 58.85 0.00 0.00 41.30
164 17.43 73.74 0.00 0.00 18.17
165 17.65 54.68 0.00 0.00 72.10
166 17.85 29.99 0.20 0.00 124.94
167 17.76 47.81 0.78 0.00 138.58
168 17.92 27.19 0.00 0.00 123.00
169 17.85 71.02 0.00 0.00 21.94
170 17.82 65.70 0.00 0.00 27.21
171 18.04 41.44 2.71 0.00 158.16
172 18.02 52.20 0.00 0.00 105.68
173 17.96 61.11 0.00 0.00 39.53
174 18.10 56.86 0.00 0.00 55.68
175 18.13 24.18 0.00 0.00 115.60
176 18.17 76.10 0.00 0.00 17.05
177 18.16 45.04 0.00 0.00 146.85
178 18.30 21.20 0.00 0.00 101.79
179 18.25 68.16 0.00 0.00 29.35
180 18.44 32.57 0.36 0.00 132.82
181 18.45 38.93 1.71 0.00 149.56
182 18.55 63.36 0.00 0.00 34.60
183 18.56 18.40 0.00 0.00 90.36
184 18.55 35.49 0.00 0.00 138.97
185 18.58 49.87 0.13 0.00 116.83
186 18.73 73.23 0.00 0.00 20.97
187 18.87 58.87 0.00 0.00 49.11
188 18.90 54.30 0.00 0.00 78.00
189 19.05 47.08 0.00 0.00 129.63
190 19.19 65.63 0.00 0.00 37.02
191 19.10 70.16 0.00 0.00 31.53
192 19.27 25.83 0.00 0.00 118.74
193 19.22 29.07 1.31 0.00 131.25
194 19.29 44.30 0.68 0.00 145.47
195 19.40 61.11 0.00 0.00 40.34
196 19.39 41.65 2.74 0.00 146.28
197 19.58 36.98 0.05 0.00 137.06
198 19.49 51.95 0.47 0.00 95.60
199 19.45 56.56 0.00 0.00 60.73
200 19.46 76.03 0.00 0.00 25.70
201 19.62 22.82 0.00 0.00 114.52
202 19.73 31.84 0.45 0.00 128.37
203 19.75 16.70 0.00 0.00 81.99
204 19.68 67.76 0.00 0.00 37.82
205 19.93 19.90 0.00 0.00 101.54
206 19.93 34.47 0.00 0.00 129.23
207 20.00 39.21 0.00 0.00 128.23
208 19.83 49.41 0.00 0.00 103.32
209 19.92 63.30 0.00 0.00 43.16
210 19.92 71.92 0.00 0.00 31.98
211 20.24 54.04 0.53 0.00 71.74
212 20.24 58.89 0.00 0.00 53.77
213 20.27 74.47 0.00 0.00 36.73
214 20.43 46.21 0.00 0.00 116.02
215 20.51 27.09 0.98 0.00 118.23
216 20.50 43.86 0.00 0.00 129.81
217 20.59 29.82 0.00 0.00 116.32
218 20.69 69.73 1.11 0.00 42.25
219 20.81 24.36 0.00 0.00 104.98
220 20.63 56.32 0.00 0.00 66.27
221 20.74 64.87 0.00 0.00 51.44
222 20.79 41.33 0.00 0.00 127.63
223 21.04 15.45 0.00 0.48 73.59
224 20.78 61.40 0.00 0.00 54.15
225 20.80 48.52 0.67 0.00 92.73
226 20.88 51.87 2.38 0.00 85.96
227 20.89 67.15 1.79 0.00 49.76
228 20.84 77.82 1.32 0.32 37.06
229 21.00 36.56 0.00 0.00 119.79
230 21.14 21.57 0.02 0.00 89.68
231 21.12 33.11 0.00 0.00 114.32
232 21.28 18.23 0.00 0.00 85.95
233 21.11 72.36 6.23 0.00 45.77
234 21.40 39.11 0.00 0.00 111.89
235 21.52 58.86 0.43 0.00 63.73
236 21.51 75.00 7.05 0.11 49.70
237 21.65 54.14 1.15 0.00 71.61
238 21.73 50.10 0.65 0.00 87.27
239 21.67 43.05 1.43 0.00 107.10
240 21.65 56.51 0.00 0.00 69.68
241 21.80 63.26 3.02 0.00 65.62
242 21.89 28.16 0.00 0.00 105.49
243 21.87 30.77 0.00 0.00 104.35
244 21.80 47.57 0.00 0.51 92.35
245 22.04 45.28 0.00 0.00 95.65
246 21.86 68.41 9.64 0.81 59.14
247 22.07 35.04 2.31 0.00 113.93
248 21.96 60.95 2.82 0.00 70.35
249 22.07 25.42 0.00 0.00 95.64
250 22.04 65.76 7.02 0.00 63.32
251 22.11 70.89 13.98 0.00 66.87
252 22.10 77.35 16.79 1.42 60.15
253 22.36 51.95 1.37 0.00 83.37
254 22.44 14.24 0.00 1.23 62.56
255 22.43 20.00 0.00 0.00 82.31
256 22.45 40.61 0.00 0.00 103.32
257 22.49 22.73 0.00 0.00 87.07
258 22.45 37.91 0.00 0.00 103.33
259 22.56 73.18 29.25 1.41 72.68
260 22.74 17.22 0.00 0.22 77.05
261 22.71 32.57 0.04 0.00 94.89
262 22.63 57.06 3.09 0.00 81.65
263 22.87 42.94 0.71 0.00 92.42
264 22.88 59.48 7.34 0.50 77.95
265 22.92 53.87 2.49 0.00 81.44
266 22.85 47.57 0.30 0.00 87.69
267 23.08 75.48 64.37 0.78 78.55
268 23.00 69.03 39.28 0.02 83.99
269 23.14 50.01 3.83 0.00 84.08
270 23.08 62.03 10.85 0.31 82.08
271 23.21 81.25 23.58 1.89 71.54
272 23.27 26.98 0.71 0.00 89.21
273 23.24 29.42 1.74 0.00 91.15
274 23.21 64.29 23.31 0.50 92.00
275 23.22 66.63 37.00 0.00 83.63
276 23.20 36.07 0.57 0.00 100.87
277 23.21 78.37 46.20 2.25 87.59
278 23.40 45.20 0.00 0.00 83.15
279 23.59 24.53 0.00 0.00 84.49
280 23.57 71.16 85.97 1.82 95.93
281 23.55 55.79 9.69 0.00 98.66
282 23.79 33.69 0.46 0.00 94.01
283 23.71 40.84 1.73 0.00 97.59
284 23.80 13.50 0.00 1.12 50.66
285 23.80 38.36 1.35 0.00 90.28
286 23.79 19.33 3.26 0.00 71.02
287 23.94 22.14 2.21 0.00 80.68
288 23.83 58.12 15.14 1.18 102.23
289 24.06 16.21 0.00 0.64 69.98
290 24.07 31.09 1.91 0.00 92.55
291 23.87 47.84 1.01 0.00 93.29
292 24.03 51.70 5.39 0.03 93.40
293 24.14 73.51 114.85 1.42 100.54
294 24.03 60.52 26.95 0.56 103.04
295 24.14 53.87 10.56 0.00 102.01
296 24.27 42.91 3.09 0.00 99.10
297 24.22 68.24 107.71 3.54 99.92
298 24.39 63.13 67.36 1.08 112.61
299 24.39 76.46 116.82 2.84 108.53
300 24.35 79.35 75.70 2.95 115.30
301 24.50 35.55 2.34 0.00 91.76
302 24.61 65.72 106.19 0.99 107.31
303 24.52 27.96 4.38 0.03 88.93
304 24.59 49.69 7.68 1.11 107.31
305 24.47 45.41 4.35 0.00 101.15
306 24.68 82.11 46.48 2.55 82.44
307 24.68 56.50 28.53 2.66 121.70
308 24.77 25.40 6.02 0.36 88.75
309 24.85 71.05 161.37 2.17 110.92
310 24.93 39.81 4.09 0.00 93.48
311 24.97 21.03 4.16 0.80 80.04
312 24.98 37.55 3.85 0.00 99.58
313 25.17 12.68 0.63 2.04 55.91
314 25.13 18.33 5.00 0.56 74.93
315 25.05 58.87 57.90 1.24 132.49
316 24.98 32.74 1.90 0.00 86.22
317 25.01 47.34 7.33 0.75 103.70
318 25.14 61.19 125.19 2.05 122.23
319 25.32 15.37 4.41 1.32 73.17
320 25.30 29.64 4.30 0.00 85.00
321 25.21 54.37 30.33 0.00 128.73
322 25.33 52.09 19.77 0.00 125.64
323 25.46 41.76 6.26 0.00 98.93
324 25.41 43.92 6.75 0.00 95.30
325 25.55 23.76 5.50 0.11 87.52
326 25.41 68.65 164.72 2.13 132.77
327 25.39 74.40 155.92 3.90 125.87
328 25.53 80.17 77.49 3.64 118.43
329 25.63 64.24 151.86 2.64 146.77
330 25.75 77.11 123.95 3.14 116.79
331 25.77 50.13 18.85 0.26 121.11
332 25.85 26.72 6.93 0.22 86.29
333 25.79 35.91 4.93 0.00 95.19
334 25.94 83.46 38.95 4.11 85.65
335 25.87 56.61 127.08 0.65 133.84
336 25.95 45.62 9.50 0.00 112.88
337 25.99 48.01 17.96 0.00 119.24
338 26.00 33.72 7.97 0.27 105.04
339 26.00 71.76 174.64 4.02 137.20
340 26.10 31.36 9.78 0.00 99.54
341 26.19 67.02 193.68 4.27 152.09
342 26.09 38.52 7.67 0.00 100.32
343 26.14 21.22 15.74 1.30 92.41
344 26.20 61.57 184.37 1.40 147.37
345 26.29 59.04 181.53 0.67 144.61
346 26.21 53.76 84.70 1.72 152.17
347 26.41 18.66 17.02 1.25 81.22
348 26.52 29.32 14.96 0.00 94.89
349 26.53 40.63 13.23 0.00 108.24
350 26.70 12.72 17.33 1.53 65.48
351 26.57 15.72 19.41 1.03 78.06
352 26.72 69.60 177.47 5.66 148.24
