#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca8 14A 2 even-skipped Kruppel giant

#Data without background
#Normalization coefficients: <gene> <a0> <a1> <a2> <a3> <a4> <a5>
eve -0.020981 -0.020981 2.043353 2.043353 -39.65824 0.0
Kr  -0.012325 -0.014478 1.313814 1.4713 -30.842882 -0.00109
gt  -0.004767 -0.011581 0.32642 0.811196 -2.105472 0.005719
#Normalization formula: intensity_norm = 255 * (intensity - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y)) / (255 - (a0*x^2 + a1*y^2 + a2*x + a3*y + a4 + a5*x*y))
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.73 46.46 0.30 0.54 0.00
1 2.10 47.74 0.55 0.78 0.00
2 2.37 44.99 1.17 1.25 0.00
3 2.67 51.30 0.01 0.00 0.00
4 2.63 46.67 0.21 1.12 0.00
5 2.83 47.83 0.85 0.00 0.00
6 3.18 41.09 0.25 0.73 0.00
7 3.20 49.58 0.00 0.84 0.00
8 3.58 53.49 0.00 0.67 0.00
9 3.33 47.90 1.53 0.00 0.00
10 4.01 48.93 0.36 0.00 0.00
11 3.76 40.48 1.11 1.36 0.00
12 4.12 47.42 0.00 0.20 0.00
13 3.79 46.48 1.32 0.71 0.00
14 3.93 51.45 0.00 0.77 0.00
15 4.18 42.09 0.23 0.87 0.00
16 4.04 44.93 0.62 1.23 0.00
17 4.35 57.52 0.00 0.00 0.25
18 4.08 54.52 0.83 0.63 0.00
19 4.57 55.55 0.19 0.43 0.05
20 4.63 36.46 0.00 1.85 0.00
21 4.41 52.90 0.00 0.00 0.18
22 4.68 51.57 0.00 0.27 0.00
23 5.07 45.40 1.09 0.00 0.00
24 5.06 39.75 0.00 1.23 0.00
25 5.03 49.60 0.99 0.00 0.00
26 4.80 52.55 1.90 0.00 1.78
27 4.91 42.98 0.72 0.00 0.00
28 5.64 42.54 0.59 0.31 0.00
29 5.37 53.85 0.74 0.11 2.02
30 5.45 56.23 0.00 0.48 0.62
31 5.74 51.51 0.00 0.00 0.00
32 5.68 48.52 1.53 0.00 0.00
33 6.19 47.28 0.00 0.05 0.00
34 6.00 57.45 0.00 0.00 2.46
35 6.79 40.60 0.17 0.00 0.00
36 6.18 59.31 0.00 1.05 2.88
37 5.87 44.77 0.00 4.73 0.00
38 6.76 44.73 0.36 0.69 0.00
39 6.78 49.71 0.00 1.60 1.32
40 6.71 57.77 0.00 1.50 1.93
41 6.76 42.54 0.13 2.94 0.00
42 6.90 47.90 0.00 0.00 0.63
43 7.07 52.38 0.00 0.00 0.92
44 7.07 61.39 0.00 0.06 3.62
45 7.30 35.02 0.00 0.98 0.00
46 7.60 54.65 0.00 0.29 2.32
47 7.62 49.50 0.00 0.00 0.64
48 7.88 36.42 0.00 0.00 0.00
49 8.06 38.47 0.00 0.00 0.00
50 8.09 45.40 0.00 0.47 0.00
51 8.00 59.09 0.00 0.00 5.91
52 8.22 31.80 0.00 0.24 0.00
53 8.17 56.27 0.00 0.00 3.84
54 8.31 43.36 0.00 0.00 0.00
55 8.23 52.52 0.00 1.37 3.58
56 8.12 50.83 0.92 0.19 1.03
57 8.29 33.82 0.00 0.31 0.00
58 8.59 35.03 0.00 0.34 0.00
59 8.57 49.71 0.00 0.00 2.14
60 8.48 46.43 0.00 0.00 1.36
61 8.79 60.37 0.00 0.12 6.52
62 8.94 64.42 0.00 0.36 8.46
63 9.20 56.74 0.00 0.71 7.68
64 9.19 62.47 0.00 0.83 9.30
65 9.10 37.59 1.07 0.00 2.43
66 9.29 44.25 0.00 0.00 0.34
67 9.17 35.31 0.00 0.30 0.00
68 9.30 40.08 0.00 1.89 1.91
69 9.48 51.10 0.00 0.00 4.23
70 9.61 46.88 0.00 0.11 3.56
71 9.36 54.33 0.00 0.00 4.56
72 9.90 59.40 0.00 0.00 8.88
73 9.78 32.81 0.00 1.01 1.37
74 9.76 53.00 0.00 0.00 4.98
75 9.70 61.24 0.00 0.00 7.26
76 10.07 34.76 0.00 0.00 1.78
77 9.96 41.79 0.00 1.47 3.55
78 10.07 57.42 0.00 0.00 8.16
79 10.23 64.10 0.00 0.17 15.85
80 10.49 45.93 0.00 0.00 2.60
81 10.86 54.50 0.00 0.37 11.03
82 10.58 27.70 0.00 0.79 0.00
83 10.88 39.12 0.00 0.00 4.62
84 10.79 61.74 0.00 0.69 12.77
85 10.74 56.66 0.00 0.00 9.01
86 10.51 42.36 0.00 0.00 3.11
87 10.94 51.55 0.00 0.00 10.73
88 10.82 49.65 0.00 0.00 4.86
89 11.11 66.49 0.00 1.02 19.99
90 11.00 41.43 0.00 0.12 7.26
91 11.48 59.27 0.00 0.00 15.82
92 11.30 31.82 0.00 0.00 8.64
93 11.72 28.88 0.00 0.41 6.35
94 11.72 48.27 0.00 1.68 12.54
95 11.51 52.81 0.00 2.18 15.32
96 11.70 57.11 0.00 0.00 15.44
97 11.80 43.57 0.00 0.00 11.21
98 11.94 50.38 0.00 0.00 12.78
99 11.86 63.83 0.00 0.14 23.01
100 11.71 25.73 0.00 0.27 8.64
101 11.95 45.95 0.00 0.00 10.85
102 12.02 61.51 0.00 0.17 23.45
103 12.15 55.28 0.00 0.00 16.58
104 12.37 33.84 0.00 0.32 11.21
105 12.42 39.16 0.00 0.00 11.60
106 12.28 68.27 0.00 0.92 31.18
107 12.16 53.04 0.00 0.26 15.10
108 12.49 36.48 0.00 0.00 9.25
109 12.36 25.33 0.00 0.00 10.37
110 12.60 41.52 0.00 0.00 14.12
111 12.80 31.12 0.00 0.10 11.13
112 12.81 65.79 0.00 0.45 33.48
113 13.06 57.40 0.00 0.00 24.28
114 13.09 27.48 0.00 0.00 15.67
115 12.99 59.52 0.00 0.00 27.04
116 13.08 44.63 0.00 0.00 19.71
117 13.15 47.80 0.00 0.33 26.24
118 13.09 52.58 0.00 0.00 23.90
119 13.28 50.20 0.00 0.00 23.81
120 13.28 62.72 0.00 0.00 30.08
121 13.25 70.51 0.00 0.49 41.83
122 13.45 55.32 0.00 0.47 29.11
123 13.49 24.82 0.00 0.07 17.51
124 13.65 34.39 0.00 0.38 19.85
125 13.77 42.48 0.00 0.70 27.81
126 13.69 37.23 0.00 0.00 18.00
127 13.88 39.76 0.00 0.00 27.59
128 13.94 67.92 0.00 0.49 45.25
129 13.98 46.22 0.00 0.00 28.29
130 14.07 30.25 0.00 0.35 28.91
131 14.16 60.00 0.00 0.00 40.31
132 14.22 64.82 0.80 0.00 43.83
133 14.24 53.20 0.00 1.33 35.95
134 14.47 32.64 0.00 0.00 32.48
135 14.42 49.56 0.00 0.83 37.80
136 14.63 27.73 0.00 0.24 31.01
137 14.75 62.12 0.00 1.32 49.16
138 14.90 57.93 0.00 0.00 46.57
139 14.77 21.89 0.50 1.43 30.69
140 14.90 44.56 0.00 0.57 50.55
141 14.71 55.47 0.00 0.00 44.65
142 14.79 37.01 0.00 0.00 32.11
143 14.90 24.80 0.00 0.48 30.59
144 14.85 70.39 2.13 0.63 58.37
145 15.12 47.22 0.00 0.00 40.52
146 14.99 35.04 0.00 0.00 36.53
147 15.05 41.85 0.00 0.58 43.94
148 15.22 39.27 0.00 0.00 45.64
149 15.26 51.64 0.00 1.14 52.92
150 15.29 66.77 0.82 0.00 53.41
151 15.39 73.94 0.00 0.72 46.90
152 15.55 31.21 0.00 0.00 43.39
153 15.58 63.85 1.09 0.00 55.43
154 15.69 60.01 0.00 0.00 57.04
155 15.57 34.42 0.00 0.00 40.14
156 15.81 53.75 0.00 0.42 56.59
157 15.82 49.46 0.00 1.10 52.83
158 15.83 56.06 0.00 1.13 63.89
159 16.08 28.81 0.00 0.00 47.78
160 16.04 69.17 5.40 0.96 67.15
161 16.12 25.96 0.00 0.00 48.30
162 16.23 71.59 2.48 1.21 63.13
163 16.10 21.65 0.00 0.56 43.40
164 16.17 37.09 0.00 0.45 56.38
165 16.22 43.03 0.00 0.26 59.54
166 16.36 40.33 0.00 0.07 58.15
167 16.31 45.37 0.00 0.00 63.26
168 16.56 34.23 0.00 0.00 56.93
169 16.74 47.58 0.00 0.00 63.04
170 16.22 61.03 0.00 0.00 61.77
171 16.70 57.47 1.24 1.80 72.54
172 16.77 61.91 0.00 0.00 66.91
173 16.73 64.63 2.66 0.00 67.04
174 16.79 67.18 3.28 0.59 65.98
175 17.08 23.90 0.00 0.00 55.30
176 16.84 73.64 3.49 1.00 65.18
177 16.95 31.86 0.00 0.00 67.56
178 17.06 52.68 0.00 0.63 67.08
179 17.01 50.60 0.00 0.44 67.06
180 17.22 54.91 0.00 0.00 70.72
181 17.24 59.45 1.85 0.00 79.28
182 17.35 27.25 0.00 0.17 62.63
183 17.45 37.39 0.00 0.47 74.23
184 17.46 42.34 0.00 0.00 78.27
185 17.53 69.83 7.11 0.00 74.51
186 17.62 21.02 0.87 0.31 57.10
187 17.75 29.86 0.00 1.17 79.05
188 17.63 45.04 0.00 0.00 69.84
189 17.63 39.95 0.00 0.00 80.15
190 17.51 76.04 4.67 0.45 64.23
191 17.83 34.30 0.00 0.00 72.14
192 17.86 48.70 0.00 0.00 79.48
193 17.93 62.85 4.06 0.35 82.31
194 18.12 65.20 5.40 1.32 84.82
195 17.91 74.59 3.83 1.46 67.06
196 18.10 57.12 1.62 0.00 84.69
197 18.14 67.54 5.69 3.11 80.45
198 18.13 71.96 7.08 0.74 76.70
199 18.26 60.50 4.66 0.00 81.70
200 18.54 18.87 1.92 0.76 63.11
201 18.39 50.73 0.04 0.00 78.85
202 18.60 31.96 0.00 0.00 79.05
203 18.55 52.83 1.90 0.00 82.14
204 18.54 24.37 1.22 0.00 75.73
205 18.17 42.80 0.22 2.15 88.70
206 18.61 46.83 0.46 0.51 88.86
207 18.56 54.98 2.30 1.73 83.66
208 18.63 27.17 2.95 0.00 82.80
209 18.79 36.01 0.00 0.00 89.83
210 18.78 38.55 0.32 0.00 90.30
211 18.80 43.42 0.00 0.25 93.12
212 19.03 40.91 0.52 0.00 93.57
213 18.95 76.00 11.47 2.16 79.88
214 19.08 68.91 6.73 1.04 87.69
215 19.15 73.42 7.04 0.38 82.48
216 19.19 58.08 6.99 1.74 87.95
217 19.26 22.16 1.34 0.02 72.86
218 19.25 29.53 1.13 0.00 93.18
219 19.26 48.86 1.84 0.00 94.49
220 19.31 64.06 9.75 2.03 92.67
221 19.44 61.94 7.56 1.17 92.29
222 19.55 33.91 0.00 0.00 89.25
223 19.51 45.13 2.84 0.00 100.99
224 19.49 59.92 5.75 0.00 92.49
225 19.73 66.13 10.10 0.39 87.40
226 19.63 70.77 10.49 1.05 89.31
227 19.65 16.92 2.32 0.43 66.80
228 19.71 55.90 8.43 1.27 102.32
229 19.83 51.27 5.30 0.04 97.66
230 19.88 26.04 1.05 0.00 88.15
231 19.86 53.51 3.41 0.00 94.99
232 19.98 77.66 11.41 2.69 75.63
233 19.95 37.98 0.02 0.00 111.23
234 20.18 42.59 0.00 0.00 97.25
235 20.17 20.11 3.13 0.72 76.94
236 20.22 31.48 0.00 0.00 101.81
237 20.34 23.41 2.01 0.00 88.48
238 20.32 46.84 2.29 0.54 105.78
239 20.44 28.57 0.21 0.00 101.37
240 20.49 35.77 0.00 0.00 109.25
241 20.33 74.66 14.51 1.51 91.91
242 20.54 40.39 1.50 0.00 101.03
243 20.37 67.89 12.44 0.57 94.93
244 20.54 49.19 4.70 0.13 107.12
245 20.52 58.20 13.32 1.58 107.82
246 20.62 62.98 15.93 2.15 104.95
247 20.70 60.44 7.96 0.00 100.38
248 20.65 72.12 16.72 0.00 99.37
249 20.88 44.55 5.34 0.00 103.33
250 21.01 17.80 5.03 1.35 86.19
251 21.10 33.43 3.19 0.00 118.53
252 20.90 53.96 6.55 0.57 106.01
253 21.04 56.05 13.64 0.43 110.67
254 21.09 64.90 19.15 2.39 111.60
255 21.12 69.64 16.54 0.37 100.85
256 21.10 38.16 3.08 0.00 116.50
257 21.21 78.58 18.36 1.63 76.65
258 21.25 51.15 14.03 0.00 113.45
259 21.35 25.76 5.51 0.00 109.12
260 21.51 47.73 6.54 0.36 115.78
261 21.46 76.06 22.70 0.25 87.27
262 21.60 20.91 2.73 0.00 85.67
263 21.59 30.95 5.32 0.55 138.75
264 21.63 42.59 5.25 0.00 113.75
265 21.64 66.97 18.71 1.59 105.15
266 21.82 23.36 6.71 0.00 104.37
267 21.74 61.47 17.33 1.92 108.07
268 21.76 28.35 5.53 1.88 127.08
269 21.78 57.55 17.75 2.32 114.16
270 21.81 73.49 19.61 0.29 92.42
271 21.84 35.56 4.45 0.00 128.24
272 21.87 45.52 6.60 0.25 115.84
273 21.97 40.31 4.90 0.00 117.40
274 21.92 53.07 12.52 1.24 120.40
275 22.13 59.42 21.23 2.58 122.01
276 22.25 16.44 6.51 0.84 80.56
277 22.12 70.66 25.56 1.52 102.21
278 22.24 63.37 23.66 1.30 112.75
279 22.24 55.13 15.32 1.26 124.74
280 22.26 80.72 25.18 2.18 74.74
281 22.23 38.16 4.67 0.67 126.64
282 22.30 48.96 15.55 0.71 122.95
283 22.50 13.71 4.63 1.29 67.84
284 22.47 19.12 7.24 0.45 93.61
285 22.47 33.27 7.31 0.00 131.15
286 22.51 51.00 15.18 1.56 125.42
287 22.65 65.38 25.03 1.39 111.40
288 22.63 78.05 37.77 1.92 91.71
289 22.80 26.77 8.09 0.00 110.89
290 22.77 68.05 26.43 2.28 109.49
291 22.73 29.83 4.88 0.00 127.63
292 22.74 42.64 9.87 1.64 128.88
293 22.85 75.41 30.82 1.57 91.61
294 22.91 36.35 3.10 0.00 129.59
295 22.95 45.17 13.19 0.17 125.51
296 22.91 57.16 25.35 0.81 121.43
297 23.08 24.28 6.63 0.00 110.86
298 23.20 47.27 14.54 0.00 120.83
299 23.03 72.51 35.27 3.06 110.77
300 23.20 21.74 9.40 0.31 104.89
301 23.07 52.92 24.50 0.70 123.98
302 23.04 61.20 27.54 1.63 118.46
303 23.26 38.98 11.38 0.00 129.52
304 23.41 31.41 5.99 0.00 140.78
305 23.51 40.98 15.47 2.01 144.84
306 23.44 49.54 23.51 0.05 128.25
307 23.47 59.00 33.97 1.47 120.47
308 23.60 15.91 9.99 0.52 84.01
309 23.54 54.80 29.62 2.15 121.94
310 23.57 69.94 40.83 2.53 120.11
311 23.64 63.31 38.65 2.84 119.75
312 23.76 33.38 11.67 1.12 141.72
313 23.73 79.57 47.45 1.50 91.43
314 23.75 18.79 7.88 0.11 97.29
315 23.89 28.73 11.31 0.00 133.95
316 23.81 82.32 32.74 1.62 67.27
317 23.79 65.77 43.51 2.34 123.17
318 23.84 35.55 11.26 0.00 134.86
319 23.85 43.30 18.98 0.00 146.27
320 24.19 13.38 11.77 1.36 76.50
321 24.00 51.53 32.01 0.00 139.72
322 24.05 76.88 51.34 0.97 95.81
323 24.06 26.14 12.94 0.30 122.04
324 24.08 56.43 43.36 0.49 132.11
325 24.14 74.39 51.87 2.62 102.34
326 24.24 67.87 40.03 1.73 115.19
327 24.20 37.90 18.34 0.00 140.21
328 24.26 45.22 23.53 1.77 138.13
329 24.17 60.90 48.55 3.29 126.80
330 24.36 71.97 49.01 1.40 112.05
331 24.49 23.90 13.76 0.00 118.92
332 24.48 47.19 36.80 3.16 150.21
333 24.51 21.41 13.21 0.00 107.50
334 24.56 49.17 40.60 3.24 136.92
335 24.59 53.25 48.23 1.91 133.71
336 24.58 31.06 11.50 1.24 131.96
337 24.68 40.07 21.02 3.08 155.49
338 24.61 58.66 54.55 1.15 126.40
339 24.81 42.15 21.24 0.00 144.86
340 24.85 64.37 51.84 2.47 122.23
341 24.91 83.94 40.76 3.99 64.25
342 24.91 80.65 56.22 2.31 88.14
343 24.92 16.09 13.07 0.03 90.67
344 24.87 36.06 18.25 0.00 145.03
345 24.98 33.46 18.59 0.00 140.84
346 25.04 62.41 69.27 3.69 129.89
347 25.03 69.93 58.51 4.24 127.13
348 25.05 19.02 19.32 0.00 101.33
349 25.12 66.29 61.03 2.27 133.27
350 25.18 26.80 21.14 0.42 140.62
351 25.22 54.75 64.16 4.24 143.86
352 25.09 56.81 65.06 2.15 143.45
