AP,gt,kni,kr,hb,time
4,7.77125,68.0625,13.18,94.60333333333334,1
5,8.967777777777778,70.40888888888888,13.17,106.805,1
6,10.98111111111111,69.81777777777778,13.888571428571428,119.58,1
7,11.724545454545455,70.33272727272727,14.3,119.83375000000001,1
8,11.685833333333333,63.343333333333334,14.811111111111112,133.99,1
9,13.1435,63.589,14.773333333333333,134.58666666666667,1
10,14.14611111111111,58.69777777777778,14.867272727272727,136.84,1
11,15.621764705882352,60.546470588235294,15.156666666666666,149.94444444444446,1
12,16.622777777777777,62.00055555555556,15.122,141.915,1
13,18.239583333333332,58.27333333333333,14.955714285714286,144.51214285714286,1
14,20.5765,58.9495,16.03,158.07363636363635,1
15,23.896,58.577,15.370000000000001,149.03714285714287,1
16,27.646,56.527,15.351333333333333,156.37733333333333,1
17,32.42473684210526,57.858947368421056,15.460909090909091,151.51909090909092,1
18,35.48217391304348,54.735652173913046,15.506470588235294,157.72294117647058,1
19,45.31666666666666,53.27777777777778,15.58,157.8876923076923,1
20,51.32625,49.86083333333333,15.377222222222223,156.33166666666668,1
21,59.9255,50.614,15.394705882352941,156.96823529411765,1
22,61.28076923076923,49.26423076923077,15.20875,159.423125,1
23,64.95272727272727,46.35045454545455,15.42157894736842,163.28263157894736,1
24,70.4555,43.1445,15.226111111111111,162.875,1
25,70.81304347826087,43.86608695652174,14.8225,161.8885,1
26,73.06038461538462,43.77153846153846,15.831666666666667,165.0861111111111,1
27,76.5475,43.75607142857143,15.625,163.59863636363636,1
28,77.12241379310345,40.89689655172414,15.99409090909091,167.025,1
29,76.9026923076923,40.91576923076923,15.5335,164.0975,1
30,80.10714285714286,42.082142857142856,15.798636363636364,159.37318181818182,1
31,77.95222222222222,41.55962962962963,16.035,158.33115384615385,1
32,77.05269230769231,41.04423076923077,15.945769230769232,155.2573076923077,1
33,78.64192307692308,42.36807692307692,16.201052631578946,150.15421052631578,1
34,75.56107142857142,40.99392857142857,16.510416666666668,143.92416666666668,1
35,70.82333333333334,41.13,17.37,146.0348275862069,1
36,69.169,41.694,18.40695652173913,147.79782608695652,1
37,64.65222222222222,40.15518518518518,18.9025,140.7925,1
38,60.84375,42.1325,19.2972,133.0584,1
39,53.06103448275862,39.55689655172414,20.586153846153845,133.23038461538462,1
40,50.76814814814815,40.76814814814815,22.508,130.685,1
41,44.739666666666665,41.08733333333333,23.4808,118.9528,1
42,40.52862068965517,40.288275862068964,26.67076923076923,116.34538461538462,1
43,33.75939393939394,39.72666666666667,28.092173913043478,108.86,1
44,30.910882352941176,41.13205882352941,30.926296296296297,100.16333333333333,1
45,25.634516129032257,39.63322580645161,34.8472,92.7276,1
46,23.26,40.433103448275865,37.996,84.62,1
47,21.32,39.75484848484849,41.661153846153844,78.02461538461539,1
48,18.886363636363637,38.838787878787876,45.465625,58.7225,1
49,18.66794117647059,40.35294117647059,51.06346153846154,54.31730769230769,1
50,17.361142857142855,39.97371428571429,52.71476190476191,44.525238095238095,1
