#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab12 14A 1 even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
139 15.00 67.70 23.34 24.65 151.66
140 15.12 54.13 32.25 31.70 166.22
141 15.08 46.93 25.55 29.72 180.73
142 15.20 29.33 23.19 29.50 207.67
143 15.49 26.48 19.47 24.70 164.03
144 15.45 35.64 26.08 32.56 213.14
145 15.44 32.48 24.48 27.81 175.96
146 15.48 61.71 30.80 31.12 195.19
147 15.84 20.91 16.99 20.05 133.53
148 15.56 57.92 32.40 35.88 202.31
149 15.81 49.67 29.84 35.82 209.02
150 15.87 52.22 25.84 31.17 190.95
151 15.76 72.11 21.29 20.07 136.93
152 15.81 38.33 28.41 33.76 205.30
153 15.84 23.74 22.05 23.92 155.29
154 16.01 65.67 28.77 29.31 167.41
155 15.98 42.18 29.27 31.56 186.30
156 16.17 44.97 30.05 33.01 188.64
157 16.17 68.66 29.63 25.39 117.74
158 16.34 55.87 30.74 35.70 178.16
159 16.38 47.30 28.77 33.88 170.39
160 16.37 29.65 27.77 30.22 198.42
161 16.41 33.36 28.85 31.59 164.46
162 16.54 59.75 29.43 32.34 166.98
163 16.56 63.02 30.65 32.59 158.59
164 16.66 19.30 15.12 16.57 120.54
165 16.88 36.00 30.57 33.35 184.59
166 16.90 39.12 29.46 33.51 182.73
167 16.86 24.99 26.59 27.69 165.50
168 16.80 42.03 30.65 35.45 192.58
169 16.94 73.07 24.59 22.28 116.78
170 16.91 70.54 34.03 24.10 118.59
171 16.93 53.17 34.20 33.28 144.10
172 17.15 49.24 29.84 34.37 184.63
173 17.38 27.97 26.56 31.10 172.27
174 17.29 66.21 34.74 32.47 147.64
175 17.36 31.25 28.32 32.79 179.99
176 17.47 22.23 26.08 26.32 162.01
177 17.44 68.69 34.53 28.93 119.24
178 17.52 57.67 35.65 35.46 138.01
179 17.68 43.91 31.41 37.56 193.35
180 17.65 46.15 30.55 36.51 168.95
181 17.77 60.71 37.86 34.80 137.13
182 17.75 63.50 34.87 36.50 154.05
183 17.90 41.18 33.96 40.11 196.43
184 17.82 76.48 19.01 17.18 95.89
185 17.97 18.83 17.09 19.23 115.64
186 18.08 33.57 31.54 32.68 167.02
187 17.88 53.51 32.31 36.92 171.43
188 18.10 24.91 31.70 31.31 150.25
189 18.04 50.41 32.65 36.63 144.48
190 18.07 36.18 34.87 34.19 157.41
191 18.03 73.91 31.77 23.53 133.57
192 18.42 71.52 35.07 28.61 123.46
193 18.50 38.75 32.70 37.62 169.97
194 18.37 56.37 37.96 39.49 179.01
195 18.44 66.79 44.36 32.28 124.63
196 18.47 47.39 38.60 38.95 158.80
197 18.66 69.06 36.82 32.64 144.77
198 18.69 21.57 26.24 26.36 151.57
199 18.80 27.61 30.25 34.41 156.09
200 18.76 30.45 33.72 33.63 156.62
201 18.82 59.07 37.83 38.41 159.18
202 18.90 64.22 40.24 34.23 144.26
203 18.94 77.62 21.72 15.91 80.52
204 18.88 43.37 36.39 39.32 147.41
205 19.04 51.32 33.81 39.38 160.80
206 19.12 54.50 38.94 39.78 154.20
207 19.19 74.83 31.99 23.09 98.18
208 19.31 61.62 37.24 38.39 148.93
209 19.15 35.52 36.95 37.05 148.17
210 19.45 49.03 36.09 42.45 170.45
211 19.48 24.87 32.17 31.77 149.63
212 19.58 18.67 23.60 22.91 104.64
213 19.58 46.56 34.02 38.34 157.90
214 19.79 31.84 34.90 36.56 152.96
215 19.72 41.81 35.42 39.92 168.99
216 19.62 66.36 45.96 36.66 124.47
217 19.68 72.03 45.67 31.41 93.18
218 19.86 39.14 37.13 38.84 166.59
219 19.87 57.86 39.68 39.90 147.57
220 19.83 69.06 42.51 33.42 131.45
221 19.99 21.37 32.08 29.48 137.95
222 20.05 44.47 42.48 42.88 156.84
