#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ab12 14A 1 even-skipped caudal bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - cad, channel 3 - bcd>
597 36.03 58.36 139.76 67.98 59.84
598 36.04 75.09 134.29 63.57 53.18
599 36.19 26.73 140.31 71.44 61.29
600 36.23 50.67 145.13 73.90 59.34
601 36.21 69.21 133.49 67.12 53.62
602 36.41 90.29 58.85 32.39 33.35
603 36.32 14.55 121.99 59.90 53.26
604 36.44 55.83 136.18 70.04 56.34
605 36.48 60.65 133.43 66.94 54.76
606 36.38 23.66 147.51 70.45 54.59
607 36.43 20.82 129.21 68.03 59.61
608 36.51 36.82 136.08 70.55 57.27
609 36.54 47.40 138.14 73.80 56.99
610 36.58 29.34 135.61 72.56 55.99
611 36.59 63.07 146.49 73.48 64.64
612 36.54 53.43 145.79 76.37 64.42
613 36.79 43.84 134.28 72.92 57.51
614 36.84 32.21 131.40 80.28 57.19
615 36.85 84.12 115.10 57.26 44.47
616 36.82 65.35 127.17 69.63 52.58
617 36.93 12.08 119.26 53.90 50.93
618 36.95 71.04 132.46 71.07 51.24
619 36.87 81.54 117.35 62.35 48.32
620 36.90 86.99 110.41 54.05 46.31
621 36.93 16.85 123.19 67.64 53.16
622 36.93 40.21 129.72 70.30 54.38
623 36.92 76.96 141.22 71.82 56.43
624 37.03 73.96 129.31 68.28 51.61
625 37.12 92.64 34.91 20.34 20.33
626 37.13 9.15 97.00 48.41 49.34
627 37.22 58.12 131.64 70.67 56.59
628 37.33 67.59 129.76 70.79 54.03
629 37.34 79.29 132.16 70.16 54.46
630 37.43 34.63 138.20 78.91 56.82
631 37.44 19.09 122.99 66.16 52.57
632 37.49 24.61 133.36 71.28 55.12
633 37.48 49.27 122.02 68.65 52.88
634 37.50 27.27 135.64 79.45 53.62
635 37.56 51.74 137.60 75.21 53.68
636 37.55 46.01 132.33 73.92 52.64
637 37.61 22.00 124.96 73.76 54.71
638 37.66 38.01 140.02 77.87 57.01
639 37.66 54.14 140.76 78.62 57.66
640 37.72 90.76 61.84 36.07 34.69
641 37.66 61.74 128.10 73.68 51.46
642 37.78 14.57 123.54 63.72 44.76
643 37.76 29.96 135.87 75.19 58.86
644 37.87 64.51 129.77 70.41 50.43
645 37.90 88.53 89.79 44.53 36.72
646 37.94 43.40 133.50 77.99 57.10
647 38.09 56.34 129.03 76.03 52.86
648 38.01 69.79 127.31 73.29 52.08
649 37.98 72.34 133.11 69.76 49.40
650 37.97 83.62 123.98 67.54 52.41
651 38.05 86.08 113.33 60.53 43.13
652 38.09 75.28 133.92 71.15 50.96
653 38.09 81.44 109.09 66.31 42.77
654 38.12 11.44 111.51 58.54 48.11
655 38.18 40.79 140.33 81.87 59.90
656 38.29 59.37 125.90 75.38 51.59
657 38.22 8.12 78.23 42.51 36.06
658 38.36 32.44 132.30 78.25 51.16
659 38.31 77.62 130.51 70.97 46.80
660 38.33 93.86 27.53 16.08 15.67
661 38.42 47.89 127.98 77.79 50.02
662 38.28 17.56 111.36 64.15 39.52
663 38.52 35.78 132.05 77.38 51.27
664 38.50 19.90 119.66 73.36 53.49
665 38.59 67.65 124.55 71.15 45.73
666 38.61 26.16 135.82 78.35 51.92
667 38.67 16.29 114.40 64.89 45.73
668 38.86 22.79 125.18 71.05 47.52
669 38.82 51.52 134.78 76.42 51.16
670 38.92 45.50 131.61 75.99 48.72
671 38.90 79.52 129.53 77.62 54.03
672 38.96 29.20 127.48 75.62 47.88
673 38.96 38.35 121.65 77.32 48.49
674 38.96 54.09 139.61 82.85 53.48
675 38.86 61.93 126.16 77.85 51.96
676 38.95 65.25 140.53 79.66 58.68
677 39.07 91.99 53.08 33.46 28.73
678 38.99 73.31 124.42 76.89 45.15
679 38.99 89.48 90.76 54.55 41.86
680 39.07 13.43 115.99 58.07 36.37
681 39.13 84.30 123.53 67.49 46.36
682 39.20 10.31 101.38 56.82 38.45
683 39.22 42.29 128.03 80.51 47.88
684 39.20 70.52 115.37 76.32 44.09
685 39.21 57.25 129.45 79.29 50.54
686 39.23 87.08 103.50 56.12 38.51
687 39.35 49.26 147.47 89.57 56.66
688 39.28 82.02 120.80 68.90 44.63
689 39.39 6.97 71.98 43.61 32.72
690 39.50 18.38 128.17 76.92 49.32
691 39.55 34.38 148.16 85.85 54.06
692 39.43 76.51 121.64 70.36 42.78
693 39.24 94.03 29.14 19.29 16.05
694 39.64 59.78 128.52 80.96 47.98
695 39.66 31.86 128.85 79.83 53.13
696 39.66 25.68 126.54 80.91 49.42
697 39.79 63.21 111.66 75.51 47.40
698 39.89 15.86 121.38 69.89 43.81
699 39.79 68.10 125.21 71.82 43.30
700 40.02 20.56 118.34 78.95 49.13
701 40.06 39.63 129.80 79.12 47.48
702 39.95 55.21 143.52 93.55 57.15
703 40.03 80.54 115.10 73.93 42.84
704 39.81 93.62 28.42 23.18 16.30
705 40.01 74.19 125.58 79.93 46.63
706 40.25 36.55 126.58 83.67 49.22
707 40.15 46.24 126.94 78.85 45.31
708 40.13 90.40 74.97 46.00 32.58
709 40.14 23.06 124.38 80.26 49.38
710 40.15 51.70 142.30 85.28 52.01
711 40.11 29.45 126.20 80.49 48.03
712 40.30 65.42 119.43 80.59 45.00
713 40.29 78.38 123.80 77.82 42.14
714 40.26 43.36 121.63 78.42 44.93
715 40.30 85.71 115.95 68.08 42.81
716 40.23 13.25 120.44 62.98 34.50
717 40.34 9.93 95.42 55.65 36.60
718 40.38 71.32 115.50 71.50 42.35
719 40.41 88.12 96.95 60.20 34.49
720 40.46 27.37 152.28 83.78 45.54
721 40.41 83.25 125.36 73.72 43.66
722 40.49 48.98 142.57 87.67 50.65
723 40.44 57.89 136.51 85.76 56.11
724 40.61 61.08 120.81 80.21 46.30
725 40.69 6.91 70.71 48.27 32.99
726 40.67 94.68 27.39 18.94 13.58
727 40.96 92.37 54.44 34.78 25.99
728 40.89 53.65 137.96 85.29 51.46
729 40.99 34.20 131.44 88.62 47.69
730 40.89 68.72 121.64 77.95 46.36
731 40.99 76.16 119.58 75.19 41.07
732 41.07 17.06 107.78 76.55 40.83
733 40.98 31.45 122.90 75.97 46.30
734 40.92 24.87 130.50 83.31 39.43
735 41.14 41.39 118.91 76.14 41.53
736 41.13 19.94 112.38 83.68 44.43
737 41.12 56.03 137.18 92.98 49.94
738 41.09 73.72 111.49 81.34 43.88
739 41.16 81.37 118.89 76.17 40.54
740 41.36 38.23 123.40 87.83 45.09
741 41.34 44.74 121.37 81.18 45.70
742 41.39 11.29 97.73 63.78 36.50
743 41.38 14.13 96.10 71.35 36.09
744 41.45 62.81 126.16 86.89 47.06
745 41.40 65.72 116.38 83.60 42.54
746 41.44 22.63 134.88 84.18 43.35
747 41.44 51.50 138.89 92.53 51.58
748 41.58 47.73 124.30 83.61 42.68
749 41.49 84.44 118.39 76.99 42.40
750 41.51 87.10 100.97 61.85 31.99
751 41.59 59.43 120.97 83.92 44.97
752 41.55 27.64 122.40 79.67 45.91
753 41.60 78.26 115.14 80.18 40.95
754 41.75 89.72 85.85 55.44 33.06
755 41.74 71.18 104.06 77.05 39.18
756 41.99 7.81 86.96 59.05 32.19
757 41.88 30.20 147.46 89.83 43.66
758 41.97 35.98 127.07 92.37 47.92
759 42.02 68.14 111.59 81.30 42.96
760 42.10 25.04 115.57 83.10 42.74
761 42.12 54.27 137.75 101.38 55.09
762 42.10 56.87 133.55 99.11 46.80
763 42.24 32.89 126.56 87.75 44.72
764 42.23 49.85 133.25 95.07 48.66
765 42.18 80.01 116.58 78.20 39.72
766 42.17 73.92 119.10 90.00 44.66
767 42.31 18.89 107.90 78.78 39.37
768 42.35 40.35 109.22 80.85 40.97
769 42.32 82.55 114.31 81.64 39.44
770 42.35 92.22 53.78 40.92 26.98
771 42.41 15.97 108.49 80.02 38.69
772 42.55 42.95 119.21 83.30 39.11
773 42.44 45.84 109.18 83.10 40.65
774 42.59 21.71 104.24 81.46 37.98
775 42.58 76.18 111.74 80.74 41.62
776 42.59 10.21 104.39 75.49 38.53
777 42.61 60.94 118.42 89.82 41.71
778 42.72 63.36 115.29 91.08 44.59
779 42.65 65.74 117.58 89.91 44.60
780 42.63 85.78 105.92 71.26 35.79
781 42.72 12.97 103.76 70.35 35.11
782 42.70 28.72 116.43 90.60 42.70
783 42.75 52.40 124.50 93.12 45.21
784 42.87 58.62 131.28 99.87 46.98
785 42.81 88.16 88.44 60.00 30.47
786 42.87 37.75 123.12 93.37 46.83
787 42.85 69.93 111.60 84.54 40.89
788 43.04 72.17 109.23 85.56 39.35
789 43.20 35.11 115.05 91.74 41.11
790 43.22 26.23 122.19 95.41 45.13
791 43.09 55.85 132.32 101.14 49.97
792 43.20 90.61 73.47 51.78 30.22
793 43.20 77.96 123.40 84.50 44.18
794 43.17 80.36 121.20 95.97 44.00
795 43.30 83.95 107.21 75.46 33.80
796 43.41 23.36 112.72 83.42 40.44
797 43.40 47.51 123.53 94.88 41.96
798 43.32 50.02 126.56 100.49 45.47
799 43.45 32.44 119.68 95.25 42.67
800 43.40 67.69 114.16 93.93 41.54
801 43.41 94.01 34.62 31.36 18.85
802 43.57 8.36 90.44 64.02 35.81
803 43.52 19.11 112.19 87.81 40.87
804 43.58 44.66 107.31 90.29 40.76
805 43.58 15.31 99.80 79.28 39.41
806 43.61 39.73 113.90 89.04 41.17
807 43.62 74.12 104.56 86.32 37.28
808 43.74 29.96 124.93 95.66 43.43
809 43.77 54.26 147.81 106.50 46.34
810 43.77 61.39 108.45 86.03 39.71
811 43.94 11.47 98.05 73.64 34.11
812 43.89 64.90 106.50 90.56 38.54
813 43.88 81.82 113.59 80.21 36.92
814 43.94 57.68 130.53 107.63 46.13
815 43.98 86.12 102.74 73.09 33.68
816 44.00 52.12 140.52 112.11 49.71
817 44.01 88.65 86.08 62.76 29.67
818 44.14 42.20 94.36 80.47 34.74
819 44.14 70.58 102.47 87.39 39.00
820 44.24 76.52 107.01 86.23 37.49
821 44.20 5.62 70.93 54.11 32.43
822 44.28 27.48 113.87 97.71 44.74
823 44.25 79.44 111.99 82.96 37.77
824 44.20 91.65 65.28 53.89 33.08
825 44.35 35.73 105.64 90.03 37.22
826 44.56 20.93 100.25 84.93 35.81
827 44.39 24.54 112.80 95.08 41.09
828 44.44 17.51 99.54 85.73 36.95
829 44.46 49.49 127.18 102.01 44.06
830 44.59 46.61 120.51 98.29 40.31
831 44.46 67.71 112.12 101.07 41.49
832 44.65 38.34 112.56 97.46 40.39
833 44.49 55.60 128.74 103.52 42.89
834 44.63 59.73 116.36 106.39 42.28
835 44.50 94.12 30.92 27.66 17.13
836 44.64 83.43 106.38 84.86 34.75
837 44.76 14.30 88.35 80.19 31.49
838 44.74 32.79 105.90 98.29 37.94
839 44.70 62.83 101.43 88.43 39.46
840 44.88 8.33 88.05 72.72 30.82
841 44.77 73.74 107.09 89.09 38.59
842 44.94 30.16 108.12 96.48 40.78
843 45.04 90.21 81.56 61.16 29.13
844 45.07 44.14 114.14 100.44 42.66
845 45.17 53.80 125.94 110.87 44.63
846 45.22 40.73 101.29 92.73 34.46
847 45.20 51.45 127.46 106.09 43.80
848 45.08 65.38 108.11 97.57 42.56
849 45.17 85.43 101.01 82.58 33.83
850 45.34 10.74 73.97 68.56 27.55
851 45.17 57.52 120.40 108.46 44.64
852 45.23 87.82 95.81 78.36 34.71
853 45.30 80.87 106.40 85.13 34.28
854 45.25 78.23 106.29 86.30 37.16
855 45.30 69.34 100.37 95.51 40.29
856 45.41 71.80 90.60 84.05 34.23
857 45.37 23.31 105.96 91.95 37.24
858 45.40 25.91 96.51 89.84 31.74
859 45.54 95.06 26.65 25.66 14.29
860 45.51 5.61 67.67 58.01 26.37
861 45.52 48.86 118.41 103.64 44.55
862 45.57 28.11 95.89 97.09 37.54
863 45.64 34.54 104.49 99.56 37.25
864 45.52 61.03 114.49 107.98 42.31
865 45.61 75.76 105.91 87.84 36.76
866 45.61 17.59 87.30 84.25 32.59
867 45.61 92.35 55.69 47.53 25.43
868 45.73 37.25 95.73 94.95 34.22
869 45.92 13.03 82.55 77.11 29.87
870 45.95 20.74 97.16 93.19 34.44
871 45.92 55.62 110.20 104.35 39.96
872 45.99 66.85 100.26 93.53 34.73
873 45.85 83.04 110.82 88.94 35.31
874 45.98 46.36 103.22 99.57 38.20
875 46.04 63.64 98.60 93.61 36.85
876 46.02 30.88 102.65 102.47 39.58
877 46.08 42.88 111.40 104.25 40.08
878 46.15 86.42 93.38 78.77 32.54
879 46.24 58.62 108.80 109.31 39.07
880 46.18 89.71 81.77 66.96 29.14
881 46.37 73.44 107.72 93.42 34.60
882 46.38 39.98 92.00 93.57 35.75
883 46.32 52.07 107.69 110.71 39.27
884 46.44 7.20 85.72 66.94 29.66
885 46.37 78.64 107.61 92.61 34.49
886 46.57 15.04 84.35 76.42 29.19
887 46.45 70.57 88.05 92.39 32.95
888 46.48 23.67 92.84 92.59 31.79
889 46.54 80.89 104.96 91.79 33.53
890 46.70 9.94 84.33 84.48 31.12
891 46.69 33.09 101.73 107.86 38.35
892 46.66 61.04 106.78 105.65 36.35
893 46.64 84.40 103.46 90.99 35.40
894 46.59 93.56 37.33 40.74 20.88
895 46.66 28.53 100.81 100.89 37.89
896 46.75 49.23 107.12 104.93 37.97
897 46.97 26.08 97.85 100.95 35.39
898 46.82 35.98 92.95 103.52 37.08
899 46.78 76.16 110.14 104.48 38.85
900 46.85 18.32 90.66 93.78 35.19
901 46.88 54.20 119.71 120.95 44.81
902 46.99 68.40 88.13 94.42 31.60
903 47.05 56.75 115.75 118.31 42.60
904 47.01 88.39 95.17 82.61 29.76
905 47.08 91.33 61.79 58.76 26.08
906 47.13 44.11 94.25 104.88 34.40
907 46.95 46.92 104.36 107.28 35.28
908 47.31 4.83 54.33 55.19 22.00
909 47.32 65.79 98.27 97.08 33.81
910 47.33 20.72 84.72 93.45 29.87
911 47.22 38.64 122.76 111.28 34.82
912 47.22 63.32 96.26 101.94 35.68
913 47.29 12.92 86.79 89.94 32.11
914 47.37 30.82 100.05 110.05 36.13
915 47.29 82.55 99.53 90.43 32.88
916 47.48 95.11 24.01 26.33 13.01
917 47.45 51.29 113.51 117.80 39.65
918 47.38 86.19 93.95 86.37 31.34
919 47.50 41.43 102.67 109.74 37.74
920 47.53 71.68 96.02 93.27 32.29
921 47.63 58.95 102.06 110.33 36.18
922 47.56 78.17 93.19 89.64 32.30
923 47.46 46.33 87.57 102.90 34.43
924 47.66 74.25 92.70 90.00 30.50
925 47.70 23.33 91.42 105.21 33.15
926 47.80 15.86 85.35 92.03 32.73
927 47.96 7.20 72.52 72.32 26.68
928 47.81 80.42 98.81 97.42 33.99
929 47.92 28.23 88.24 102.72 32.76
930 47.84 34.06 94.39 112.67 37.02
931 47.88 61.32 97.83 108.14 35.76
932 47.91 10.20 74.67 80.12 28.15
933 47.94 55.33 105.97 119.19 39.86
934 47.97 36.71 91.51 109.92 35.66
935 48.06 48.25 92.06 110.88 37.00
936 48.11 89.89 76.59 67.80 26.47
937 48.12 92.52 49.16 50.15 21.52
938 48.08 84.47 98.71 97.01 34.50
939 48.21 53.12 107.01 122.62 41.35
940 48.08 68.68 93.41 93.16 32.56
941 48.33 18.40 84.90 94.35 30.15
942 48.30 75.99 100.14 95.96 33.55
943 48.32 87.26 89.53 81.47 27.60
944 48.40 25.23 97.23 110.45 33.53
945 48.37 39.22 90.42 107.05 32.96
946 48.41 43.28 90.42 110.97 35.98
947 48.51 63.63 88.52 104.74 33.13
948 48.61 45.78 94.55 106.10 33.57
949 48.60 13.05 71.39 80.40 26.94
950 48.55 31.96 91.57 106.72 33.51
951 48.59 50.62 103.18 114.10 36.57
952 48.56 57.63 104.94 122.74 38.42
953 48.55 82.60 92.63 99.68 32.97
954 48.59 66.29 99.93 98.91 34.02
955 48.63 72.63 92.22 94.20 30.77
956 48.69 21.43 80.59 93.92 29.38
957 48.87 78.21 92.90 96.80 30.81
958 48.87 70.24 98.01 107.62 37.95
959 48.93 60.56 101.12 109.68 33.56
960 49.16 5.73 57.96 65.67 20.67
961 49.03 35.06 86.09 109.89 31.02
962 48.99 80.48 99.49 101.60 35.44
963 49.10 94.09 32.79 39.09 16.78
964 49.07 27.43 88.92 120.02 34.31
965 49.17 41.06 85.17 109.53 30.69
966 49.07 9.97 69.91 80.40 25.26
967 49.13 15.63 77.88 94.59 28.85
968 49.20 29.90 81.76 106.88 31.08
969 49.08 55.48 108.18 131.25 38.69
970 49.25 48.11 101.21 119.86 38.29
971 49.24 84.94 91.13 93.16 30.86
972 49.27 91.73 53.96 56.96 20.62
973 49.25 89.30 86.44 79.68 30.79
974 49.42 37.67 80.20 102.03 31.19
975 49.40 53.11 99.42 122.63 35.71
976 49.44 86.99 94.82 93.90 30.53
977 49.50 67.77 90.32 102.30 31.86
978 49.53 24.40 85.30 105.55 30.49
979 49.52 75.98 96.85 103.51 31.51
980 49.56 18.27 77.21 103.60 30.71
981 49.59 64.17 94.64 102.46 30.50
982 49.62 58.52 107.02 120.11 36.78
983 49.63 73.57 98.65 108.29 34.08
984 49.83 43.32 78.53 112.10 30.80
985 49.75 50.65 106.54 125.94 36.54
986 49.80 32.10 94.36 114.61 27.35
987 49.72 82.78 91.22 95.55 30.83
988 49.82 21.38 82.68 104.88 29.60
989 49.91 12.02 72.74 94.71 28.13
990 49.98 46.10 85.13 115.36 31.01
991 49.97 61.54 93.43 105.88 29.93
992 49.90 70.99 89.27 97.43 31.16
993 50.12 8.87 62.46 76.47 22.93
994 50.15 78.22 90.92 98.02 29.40
995 50.06 80.67 91.19 95.00 28.95
996 50.17 55.72 102.65 135.41 38.43
997 50.31 14.50 77.30 97.00 28.20
998 50.24 26.99 80.49 109.16 29.46
999 50.30 34.28 82.91 113.72 31.02
1000 50.18 94.90 26.42 32.43 14.52
1001 50.30 40.03 79.57 108.07 28.40
1002 50.34 90.24 75.67 81.67 26.34
1003 50.39 88.13 76.84 79.41 25.74
1004 50.48 5.85 55.28 71.43 22.42
1005 50.37 29.44 82.25 112.78 32.00
1006 50.42 65.63 83.10 105.72 32.19
1007 50.45 92.44 46.62 52.63 19.72
1008 50.54 49.01 96.28 128.62 34.34
1009 50.46 53.54 99.06 128.25 36.77
1010 50.56 36.76 70.09 109.38 30.44
1011 50.47 68.77 89.54 104.39 28.84
1012 50.48 84.21 91.13 101.03 33.12
1013 50.67 16.94 72.21 95.52 26.68
1014 50.60 57.84 102.59 133.62 36.97
1015 50.70 86.10 78.77 88.03 28.00
1016 50.68 19.65 73.15 104.18 28.50
1017 50.63 23.62 78.70 105.35 29.40
1018 50.63 74.87 99.89 109.08 34.36
1019 50.78 72.53 86.53 94.90 27.40
1020 50.94 51.54 93.84 127.04 33.77
1021 50.93 60.02 88.24 113.53 31.64
1022 50.96 44.07 78.40 114.88 31.20
1023 51.06 62.38 86.49 111.53 29.84
1024 50.94 81.81 96.88 107.35 34.15
1025 51.15 31.13 82.86 121.13 29.66
1026 51.12 76.95 92.75 110.29 31.59
1027 51.18 12.46 65.60 92.12 23.41
1028 51.22 46.98 85.90 119.03 30.45
1029 51.27 7.72 60.38 78.26 22.52
1030 51.22 94.24 31.44 41.92 16.38
1031 51.28 25.70 83.01 119.19 31.16
1032 51.30 70.19 87.48 106.83 30.37
1033 51.31 79.06 91.38 104.58 31.98
1034 51.41 38.89 70.94 113.87 29.45
1035 51.40 56.06 98.64 132.47 34.33
1036 51.39 67.31 85.64 106.13 28.69
1037 51.44 3.77 35.53 53.27 18.45
1038 51.42 21.45 78.12 107.45 28.26
1039 51.46 41.56 80.95 120.36 31.43
1040 51.47 33.50 77.06 124.86 32.07
1041 51.48 64.62 80.32 108.35 29.47
1042 51.57 28.41 85.67 126.48 29.67
1043 51.46 89.96 68.95 78.17 25.24
1044 51.79 9.98 64.78 90.09 22.07
1045 51.61 53.78 94.28 134.78 34.71
1046 51.54 83.91 86.11 98.87 30.42
1047 51.58 87.70 87.78 99.72 30.07
1048 51.68 36.17 77.01 120.36 29.72
1049 51.75 92.08 50.79 60.47 19.83
1050 51.77 15.72 70.35 98.43 25.65
1051 51.74 74.27 90.00 114.51 32.73
1052 51.87 18.46 75.22 107.18 27.07
1053 51.88 49.26 89.63 131.91 32.77
1054 51.87 58.73 85.67 125.52 31.84
1055 52.20 95.02 29.67 36.44 14.98
1056 51.93 80.87 86.38 103.12 29.81
1057 52.08 5.64 50.56 71.35 19.26
1058 52.16 23.16 74.36 102.57 26.98
1059 52.03 44.46 77.32 122.86 29.24
1060 52.07 51.58 84.97 131.23 33.29
1061 52.01 71.85 92.40 118.50 30.39
1062 52.17 85.49 78.50 93.53 25.45
1063 52.18 76.27 86.23 105.56 29.78
1064 52.28 61.02 87.49 124.09 33.39
1065 52.15 97.20 12.73 18.22 6.02
1066 52.34 13.18 65.30 93.17 25.01
1067 52.33 63.33 83.64 115.86 30.80
1068 52.39 25.88 75.36 114.66 27.54
1069 52.43 31.69 72.60 114.27 28.07
1070 52.37 69.04 79.48 106.61 28.72
1071 52.52 47.14 88.98 128.62 31.01
1072 52.49 66.46 89.95 116.33 31.02
1073 52.49 78.52 85.05 108.33 28.83
1074 52.41 82.75 81.29 99.37 27.04
1075 52.55 56.89 88.89 134.49 32.58
1076 52.62 34.50 70.29 122.03 27.83
1077 52.61 38.21 74.56 115.57 28.34
1078 52.50 41.25 67.06 110.32 25.83
1079 52.56 90.13 65.71 80.49 24.03
1080 52.63 20.32 76.12 114.06 29.22
1081 52.69 8.05 63.23 102.16 23.08
1082 52.72 28.82 75.98 116.32 28.30
1083 52.67 54.57 86.78 130.01 32.14
1084 52.74 87.82 76.09 96.28 24.89
1085 52.77 98.34 9.97 12.33 3.97
1086 52.85 73.73 84.11 116.24 30.62
1087 52.99 92.88 46.50 57.77 19.62
1088 52.93 15.81 69.00 107.07 24.94
1089 53.10 11.09 68.57 105.12 24.73
1090 53.05 71.27 78.18 112.60 28.55
1091 52.99 80.66 87.32 106.17 29.89
1092 53.12 50.00 85.55 135.01 31.22
1093 53.07 44.39 67.54 115.21 28.08
1094 53.10 52.39 87.55 134.30 33.25
1095 53.07 59.38 84.35 130.64 33.11
1096 53.32 97.16 12.06 19.34 6.60
1097 53.18 75.95 85.23 120.14 30.14
1098 53.26 23.90 75.44 117.94 29.00
1099 53.32 64.69 80.86 115.53 27.28
1100 53.39 18.08 71.81 107.47 25.27
1101 53.05 41.50 52.40 104.20 25.10
1102 53.26 83.53 82.13 104.24 27.18
1103 53.31 85.80 80.14 110.37 29.63
1104 53.34 5.76 53.13 80.99 21.00
1105 53.48 62.26 82.17 125.63 31.63
1106 53.43 68.73 76.14 106.19 24.46
1107 53.57 21.49 67.56 109.51 25.60
1108 53.56 26.65 69.40 116.07 26.76
1109 53.61 36.34 73.17 114.62 27.13
1110 53.57 30.95 71.75 121.19 26.28
1111 53.59 47.67 82.70 137.22 31.17
1112 53.66 95.11 22.54 34.11 12.03
1113 53.61 90.73 56.67 77.93 23.86
1114 53.70 13.79 65.35 100.58 23.13
1115 53.69 39.67 71.76 120.31 27.21
1116 53.58 56.80 86.69 137.50 34.01
1117 53.61 78.45 80.07 109.36 27.33
1118 53.76 8.93 62.52 95.79 23.44
1119 53.74 33.56 71.35 129.15 29.35
1120 53.75 54.31 83.14 141.86 32.95
1121 53.84 87.98 67.50 86.76 23.56
1122 53.99 42.63 65.59 119.69 25.78
1123 54.05 66.66 75.81 113.11 27.78
1124 53.97 72.75 80.72 115.37 29.37
1125 53.94 81.07 81.38 110.84 27.65
1126 54.23 28.64 73.96 123.77 26.24
1127 54.06 59.65 82.28 132.71 30.47
1128 54.20 45.32 75.01 132.72 28.02
1129 54.19 52.22 82.96 146.25 31.82
1130 54.16 75.74 80.46 113.12 27.51
1131 54.26 93.16 37.54 62.32 19.14
1132 54.32 83.25 82.82 113.90 26.31
1133 54.49 97.46 11.63 17.69 5.33
1134 54.44 4.58 48.18 78.83 19.81
1135 54.44 11.35 60.67 96.05 21.81
1136 54.37 19.74 68.46 115.76 25.86
1137 54.40 24.98 65.84 113.46 23.10
1138 54.41 49.91 75.99 138.12 30.00
1139 54.39 69.99 78.89 115.87 27.00
1140 54.44 17.01 67.43 111.42 24.36
1141 54.39 85.46 79.09 110.75 28.21
1142 54.54 7.09 54.69 86.27 19.35
1143 54.63 37.97 65.11 120.10 25.31
1144 54.68 22.55 77.01 123.52 24.62
1145 54.59 55.21 84.87 137.96 29.99
1146 54.62 61.73 79.92 136.96 30.11
1147 54.61 77.66 80.50 125.91 28.92
1148 54.55 89.84 61.01 80.79 21.64
1149 54.68 57.70 77.99 131.74 28.04
1150 54.86 63.98 78.86 122.42 27.99
1151 54.75 31.34 68.00 127.11 27.06
1152 54.73 34.30 66.28 130.03 24.36
1153 54.76 14.34 66.77 105.92 23.40
1154 54.78 47.55 69.89 125.40 25.94
1155 54.87 40.91 70.74 119.00 26.76
1156 54.94 79.66 84.14 116.56 26.24
1157 54.88 73.91 77.56 118.27 27.12
1158 54.92 87.48 69.34 108.06 25.22
1159 55.15 9.36 58.30 101.34 19.60
1160 55.22 26.67 67.88 120.26 24.66
1161 55.23 94.53 27.26 44.75 15.64
1162 55.16 66.30 75.77 118.32 25.83
1163 55.26 71.42 80.60 128.29 28.48
1164 55.27 81.76 80.68 111.20 24.26
1165 55.28 44.27 69.42 129.78 25.69
1166 55.23 52.07 77.92 142.83 27.58
1167 55.43 68.55 79.82 123.34 26.46
1168 55.29 92.08 46.30 71.88 19.41
1169 55.38 84.01 71.83 103.48 24.48
1170 55.44 29.14 67.28 133.02 26.56
1171 55.49 60.36 76.59 135.31 28.01
1172 55.47 20.08 64.75 118.75 23.83
1173 55.46 75.92 69.61 112.52 24.75
1174 55.49 17.18 63.62 120.35 23.55
1175 55.69 36.96 59.28 115.38 23.94
1176 55.53 55.03 77.83 143.98 29.85
1177 55.61 96.72 13.69 23.83 7.67
1178 55.70 23.86 65.55 120.10 22.89
1179 55.62 6.67 51.90 93.34 20.86
1180 55.72 12.06 58.76 107.03 22.14
1181 55.67 49.27 74.49 137.07 29.10
1182 55.67 89.52 59.53 88.96 21.44
1183 55.89 46.69 71.62 132.12 27.06
1184 55.81 86.35 66.11 100.29 23.44
1185 55.83 34.43 66.27 132.16 24.72
1186 55.79 58.05 72.74 140.46 27.79
1187 55.91 4.26 37.74 69.10 17.04
1188 55.80 77.99 76.30 131.88 29.22
1189 55.86 14.54 64.42 120.26 22.63
1190 55.84 73.42 74.80 126.95 29.25
1191 56.05 31.78 57.98 116.82 23.20
1192 55.99 39.52 65.82 122.90 24.06
1193 56.00 42.11 69.62 128.17 24.51
1194 56.14 63.04 79.51 132.04 28.39
1195 56.30 65.42 75.08 128.68 26.72
1196 56.30 9.60 52.49 96.16 19.59
1197 56.25 51.45 72.26 139.84 26.35
1198 56.27 80.74 74.56 113.50 25.84
1199 56.41 21.35 59.16 117.68 22.52
1200 56.29 70.58 74.15 121.84 27.81
1201 56.31 93.69 32.31 54.60 15.40
1202 56.41 25.87 62.84 118.68 22.95
1203 56.55 53.75 73.30 145.05 27.19
1204 56.48 18.59 60.03 120.92 21.62
1205 56.51 29.04 59.02 127.85 23.26
1206 56.53 56.28 72.14 145.55 28.33
1207 56.43 84.08 69.18 106.49 22.78
1208 56.58 68.03 71.01 124.73 27.51
1209 56.54 75.98 73.68 126.19 27.42
1210 56.55 91.52 50.10 84.65 20.80
1211 56.62 44.84 68.74 135.69 26.27
1212 56.58 60.60 77.66 131.34 27.81
1213 56.68 97.16 11.58 22.26 6.26
1214 56.71 7.15 44.51 87.15 18.10
1215 56.79 16.15 61.45 118.74 22.52
1216 56.69 89.02 65.58 104.10 23.99
