#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf12 14A 2 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.23 47.80 10.65 15.84 89.86
1 2.93 50.12 10.94 16.46 95.87
2 3.37 44.22 12.22 19.64 98.31
3 3.49 46.94 11.67 17.81 109.60
4 3.93 52.47 10.53 16.35 92.64
5 4.11 39.06 10.49 18.22 111.93
6 4.26 42.11 11.54 20.62 118.09
7 4.31 49.88 12.34 21.53 118.91
8 4.38 55.24 10.05 16.09 94.15
9 4.82 44.72 13.26 19.60 119.62
10 4.86 47.45 12.68 21.18 116.25
11 5.31 40.29 12.43 19.82 125.46
12 5.29 57.43 11.79 16.06 97.04
13 5.38 51.78 13.49 20.79 127.68
14 5.59 54.30 13.44 19.23 113.39
15 5.85 36.80 13.12 19.41 129.62
16 5.94 42.98 14.90 22.80 140.15
17 5.91 49.09 13.75 23.15 141.26
18 6.16 46.14 15.45 23.99 148.81
19 6.43 34.07 10.70 17.62 137.77
20 6.52 39.30 13.62 22.66 149.64
21 6.66 57.23 13.57 18.88 129.17
22 6.81 59.60 12.06 17.51 119.48
23 6.87 51.44 14.53 23.13 131.10
24 6.85 54.78 15.44 21.32 125.06
25 7.27 44.83 15.30 24.15 158.12
26 7.21 48.36 15.92 27.83 164.40
27 7.33 42.05 14.78 22.42 146.53
28 7.43 61.88 11.90 15.11 123.61
29 7.44 36.63 14.71 21.86 166.98
30 7.64 33.53 14.35 20.72 171.08
31 7.79 39.49 16.33 24.06 156.78
32 7.90 53.56 15.90 22.52 152.67
33 7.99 57.47 15.80 21.93 145.15
34 8.33 46.60 17.23 28.00 193.58
35 8.41 51.23 17.32 28.00 158.08
36 8.33 29.69 12.26 18.45 149.52
37 8.41 60.01 15.23 20.92 166.54
38 8.61 43.67 15.80 24.89 171.07
39 8.61 48.96 16.84 26.92 178.64
40 8.76 55.54 16.95 23.69 162.31
41 8.86 32.04 14.46 23.03 175.63
42 8.83 34.87 13.89 20.79 169.59
43 8.77 62.90 14.57 17.96 147.68
44 8.82 37.82 16.11 23.28 173.17
45 8.94 40.98 16.29 28.59 184.16
46 9.54 53.10 17.95 28.88 178.31
47 9.52 58.42 17.48 23.04 159.82
48 9.61 45.64 18.59 28.48 188.47
49 9.65 28.52 13.01 20.03 163.82
50 9.83 60.94 15.75 21.75 159.28
51 9.92 48.15 18.41 28.32 183.71
52 10.08 50.68 18.29 28.20 180.54
53 10.16 43.11 17.48 27.55 181.95
54 10.14 63.72 15.72 18.64 155.84
55 10.17 35.78 16.38 25.72 193.68
56 10.13 38.33 17.50 29.19 188.51
57 10.12 56.49 17.14 24.62 165.69
58 10.31 30.63 14.84 21.76 177.80
59 10.26 33.16 15.76 26.36 194.22
60 10.36 26.20 12.83 19.58 176.45
61 10.26 40.70 16.95 28.21 194.01
62 10.41 68.33 11.65 14.66 139.10
63 10.75 65.70 15.01 16.39 149.57
64 10.70 54.43 18.28 23.78 177.45
65 10.91 45.25 17.04 29.05 190.98
66 11.07 61.42 17.05 22.41 174.94
67 11.16 58.45 17.46 24.83 167.54
68 11.21 47.69 18.31 31.46 205.89
69 11.34 28.64 16.73 24.64 199.23
70 11.34 52.39 18.59 27.20 188.80
71 11.45 34.92 19.51 29.03 202.21
72 11.56 50.03 17.83 29.38 186.07
73 11.43 37.70 18.17 28.22 201.85
74 11.45 40.89 18.36 27.93 195.82
75 11.66 31.92 16.95 24.78 200.15
76 11.90 43.65 20.70 31.59 207.09
77 11.83 55.84 19.15 26.85 182.01
78 11.87 25.97 13.98 19.25 168.97
79 11.88 68.67 15.37 16.79 165.08
80 12.10 63.58 17.39 21.22 170.92
81 11.95 66.14 15.79 20.35 171.87
82 12.32 23.79 12.41 16.88 149.95
83 12.26 46.07 19.63 31.41 208.91
84 12.29 60.65 18.00 25.27 180.40
85 12.50 39.38 18.46 29.44 203.44
86 12.53 53.44 20.49 29.48 192.10
87 12.53 58.05 20.19 26.60 182.01
88 12.67 28.56 17.20 25.09 197.42
89 12.75 33.97 18.62 29.62 198.44
90 12.77 36.83 18.29 29.62 206.01
91 12.78 41.89 19.27 31.94 210.76
92 12.81 48.40 19.61 27.64 190.86
93 12.85 50.92 20.91 29.41 197.33
94 12.97 70.09 15.39 15.48 154.13
95 12.92 31.00 18.27 26.71 198.39
96 13.21 66.14 18.71 22.48 173.97
97 13.35 55.20 19.59 26.71 185.07
98 13.38 26.40 16.38 20.82 178.86
99 13.36 62.69 20.46 26.11 189.00
100 13.52 43.83 21.63 33.68 218.93
101 13.52 46.06 20.24 31.59 223.54
102 13.58 60.24 21.22 27.68 198.72
103 13.81 23.76 14.99 19.48 163.96
104 13.67 57.53 20.37 28.04 189.87
105 13.79 38.75 19.80 31.03 211.52
106 13.90 35.01 21.51 29.11 208.30
107 14.07 52.71 21.09 30.39 194.92
108 14.09 41.23 21.33 30.54 213.99
109 14.12 67.72 19.60 22.30 171.02
110 14.18 50.32 23.91 34.13 218.95
111 14.19 32.00 17.46 27.48 200.95
112 14.19 48.07 22.90 32.56 217.50
113 14.23 71.48 17.72 15.87 158.53
114 14.24 29.14 19.15 25.03 199.45
115 14.35 64.33 19.75 24.15 181.94
116 14.51 21.38 14.70 18.01 169.54
117 14.69 36.92 21.98 33.01 224.38
118 14.70 54.80 21.18 29.49 197.89
119 14.82 26.12 18.85 23.46 186.55
120 14.74 43.69 24.10 34.08 232.89
121 14.84 57.19 23.54 28.85 197.40
122 14.78 59.71 23.06 29.37 201.36
123 15.01 46.11 23.00 32.86 219.16
124 15.16 61.93 23.22 26.84 188.24
125 15.21 73.68 15.45 14.51 156.67
126 15.14 69.42 19.46 20.71 176.18
127 15.16 34.28 21.01 30.55 216.43
128 15.31 39.03 23.88 30.47 221.17
129 15.38 41.45 21.88 31.01 215.63
130 15.42 66.67 21.60 24.99 180.66
131 15.50 23.36 17.25 21.89 181.54
132 15.50 51.13 25.48 33.10 205.24
133 15.49 48.59 25.76 35.48 231.21
134 15.65 31.67 22.35 30.83 216.24
135 15.57 28.72 20.04 26.83 208.48
136 15.70 64.13 24.09 25.29 188.78
137 15.83 20.50 15.84 17.17 170.42
138 15.82 53.43 24.48 30.60 211.13
139 15.97 44.29 25.94 36.37 236.61
140 15.97 56.05 24.70 31.34 202.91
141 15.95 58.79 23.85 30.43 197.48
142 16.07 71.26 20.34 18.50 182.00
143 15.99 36.76 23.46 32.16 227.94
144 16.14 75.93 17.53 13.83 150.54
145 16.43 25.32 20.06 25.12 186.16
146 16.43 46.67 27.32 34.02 226.50
147 16.50 34.47 22.57 30.53 223.43
148 16.55 68.30 22.92 22.06 184.79
149 16.56 39.44 26.20 35.50 228.27
150 16.53 42.16 24.91 33.42 225.24
151 16.78 60.38 24.04 27.96 197.47
152 16.82 18.89 16.92 18.09 171.11
153 16.75 27.94 21.39 27.11 210.42
154 16.74 49.18 27.86 35.61 228.86
155 16.87 62.88 26.01 26.81 194.12
156 16.84 65.73 25.63 24.48 187.97
157 16.86 51.81 28.28 32.88 219.36
158 17.05 30.29 21.73 28.84 207.36
159 16.98 73.12 22.22 18.21 171.81
160 17.10 21.95 19.08 23.51 191.49
161 17.05 54.45 27.35 32.39 212.38
162 17.20 32.67 23.16 31.66 220.21
163 17.06 57.42 26.52 31.70 211.33
164 17.17 77.98 17.92 12.72 140.85
165 17.25 36.63 24.74 31.11 225.36
