#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf2 14A 7 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.36 46.54 14.28 13.56 39.59
1 2.54 49.90 14.93 11.98 44.23
2 2.76 41.78 15.10 16.08 41.15
3 2.90 43.28 15.86 17.72 39.70
4 3.72 45.03 16.81 16.72 48.10
5 3.69 47.91 16.07 15.23 55.32
6 3.76 51.25 17.17 16.08 63.00
7 3.85 54.39 15.04 13.56 52.09
8 3.89 39.78 15.71 16.76 43.33
9 4.07 41.87 17.47 19.53 50.90
10 4.13 43.04 16.82 20.21 47.12
11 4.60 35.76 16.74 18.60 43.85
12 4.94 48.91 18.80 19.64 68.89
13 5.12 46.20 16.58 21.67 61.73
14 5.11 51.81 18.17 19.26 73.68
15 5.29 38.11 17.81 20.30 50.53
16 5.33 43.66 18.60 21.53 56.02
17 5.34 40.81 19.37 20.06 54.74
18 5.28 54.57 16.96 15.16 67.33
19 5.52 56.84 17.33 13.08 68.85
20 5.96 35.42 18.80 25.28 56.67
21 5.92 57.95 17.43 13.64 72.04
22 6.23 49.88 20.30 22.15 80.49
23 6.47 47.19 17.07 23.82 75.95
24 6.53 52.53 19.07 18.89 79.07
25 6.63 39.83 19.57 27.68 63.73
26 6.62 42.53 20.83 28.19 72.79
27 6.81 55.83 17.61 16.96 88.17
28 7.03 44.82 19.44 24.10 75.51
29 7.08 58.87 18.49 15.42 93.39
30 6.96 37.20 19.93 24.72 65.12
31 6.98 61.97 15.64 12.06 79.25
32 7.40 34.08 15.61 18.07 46.64
33 7.70 49.05 19.06 23.90 92.22
34 7.76 53.62 18.26 19.98 102.28
35 7.99 41.75 19.18 28.75 72.53
36 7.99 39.03 21.85 30.72 78.05
37 8.12 46.84 20.32 28.01 95.88
38 8.23 51.10 20.44 23.75 104.28
39 7.85 35.78 18.13 22.04 70.43
40 8.46 55.95 20.99 20.04 114.79
41 8.40 61.20 18.61 14.92 100.91
42 8.45 64.25 17.65 12.62 83.32
43 8.35 36.60 19.64 25.16 71.57
44 8.60 44.20 19.22 23.68 83.47
45 8.69 58.52 19.05 19.01 109.70
46 8.71 32.24 17.14 21.59 57.55
47 9.18 34.71 19.75 27.15 81.35
48 9.22 40.07 20.13 26.65 83.10
49 9.21 53.29 22.51 23.92 112.96
50 9.46 37.50 20.24 27.53 81.30
51 9.44 47.19 18.76 25.13 91.53
52 9.71 50.48 20.41 26.28 113.01
53 9.90 42.15 20.31 26.14 90.39
54 9.81 62.50 18.16 16.73 111.41
55 9.79 30.72 17.49 19.88 50.61
56 10.00 65.70 16.45 12.72 94.35
57 9.95 56.23 22.11 27.81 117.00
58 10.07 44.68 21.42 25.33 98.58
59 10.23 59.56 19.74 21.14 129.61
60 10.35 33.34 18.25 23.11 79.96
61 10.61 28.25 14.68 16.48 48.69
62 10.66 48.77 22.68 25.15 119.01
63 10.61 36.27 20.79 27.47 91.35
64 10.63 39.31 20.68 27.10 95.89
65 10.58 53.27 22.07 25.80 122.60
66 11.18 68.37 14.47 11.44 98.69
67 11.18 46.56 24.81 34.55 153.55
68 11.15 31.32 18.43 19.36 62.07
69 11.31 56.98 21.17 25.60 131.40
70 11.34 62.08 20.58 21.07 127.11
71 11.45 43.76 22.91 28.16 113.61
72 11.60 51.22 22.67 29.50 130.43
73 11.56 41.26 23.42 29.58 114.09
74 11.42 65.15 17.65 15.04 122.61
75 11.77 34.80 20.26 22.89 94.24
76 11.96 54.31 24.40 29.66 133.52
77 11.86 59.41 23.50 25.70 166.02
78 11.99 37.74 21.06 23.77 97.15
79 12.22 29.55 18.72 21.16 78.93
80 12.37 48.91 23.39 30.83 132.25
81 12.07 27.10 15.08 14.86 43.39
82 12.43 32.37 20.32 22.97 95.76
83 12.46 45.92 23.45 30.69 131.48
84 12.81 63.33 18.96 16.11 133.92
85 12.78 66.43 17.86 12.51 117.48
86 12.64 26.16 13.70 14.67 43.21
87 12.84 40.34 22.24 26.23 114.39
88 12.91 57.29 24.46 27.28 163.63
89 13.06 43.34 23.96 32.96 132.45
90 13.17 60.67 22.69 22.37 128.06
91 13.24 51.88 22.48 29.52 148.65
92 13.25 34.61 22.06 23.28 108.76
93 13.47 68.98 18.61 11.16 104.22
94 13.46 28.53 19.11 21.15 86.60
95 13.44 37.26 20.63 23.08 118.20
96 13.37 54.78 22.86 26.30 146.29
97 13.84 31.73 18.60 20.32 97.21
98 13.93 71.67 15.61 9.51 62.96
99 13.77 46.21 22.53 27.41 135.76
100 13.76 49.13 24.56 33.29 137.56
101 14.21 26.08 16.62 17.91 72.74
102 14.15 39.79 23.18 31.48 136.12
103 14.28 58.91 23.26 19.73 143.50
104 14.24 64.42 21.51 16.27 127.00
105 14.45 42.33 23.22 26.00 127.74
106 14.63 66.72 20.17 11.61 117.00
107 14.68 56.41 23.04 22.30 130.19
108 14.65 53.72 22.84 25.59 140.14
109 14.72 61.75 21.34 17.70 132.65
110 14.73 35.13 20.84 23.06 113.48
111 14.89 51.01 24.22 25.46 143.43
112 15.00 45.05 23.21 25.96 144.26
113 14.88 29.31 18.38 19.11 93.14
114 14.95 37.79 21.64 28.03 134.83
115 15.12 69.30 20.53 10.55 96.15
116 15.14 48.06 24.01 25.30 150.39
117 15.28 32.61 19.81 23.65 120.71
118 15.37 72.36 16.51 9.24 69.19
119 15.74 40.24 23.80 28.51 144.56
120 15.77 27.03 17.32 20.68 97.83
121 15.67 59.14 21.32 16.64 135.28
122 15.80 63.67 21.01 13.97 121.47
123 16.02 42.97 24.10 27.05 152.29
124 16.07 53.07 23.27 19.85 125.53
125 16.15 66.39 20.12 12.03 117.38
126 16.33 50.23 23.72 23.61 150.37
127 16.20 56.29 22.97 19.03 135.74
128 16.28 30.34 18.27 20.19 114.86
129 16.37 34.73 21.67 27.47 124.80
130 16.28 37.26 21.27 24.39 131.64
131 16.45 45.49 24.28 22.72 138.79
132 16.74 61.56 20.36 14.82 124.95
133 16.63 47.88 24.50 25.61 145.94
134 16.55 69.57 19.07 10.96 91.65
135 16.65 72.87 16.99 9.96 84.31
136 16.74 24.85 18.54 19.78 91.34
137 16.98 75.57 15.63 8.99 55.77
138 17.16 32.69 21.27 23.10 132.99
139 17.17 41.28 24.34 27.48 158.99
140 17.11 58.80 21.85 14.96 139.30
141 17.35 22.34 13.99 15.87 57.25
142 17.35 38.93 23.37 25.86 147.17
143 17.21 27.85 18.76 18.84 113.61
144 17.29 54.71 23.60 20.58 142.83
145 17.47 64.51 22.48 13.48 122.58
146 17.60 43.69 23.36 22.06 155.21
147 17.50 67.35 19.92 11.66 95.46
148 17.56 52.01 24.33 21.51 154.95
149 17.80 35.93 23.26 25.98 131.44
150 17.89 49.41 24.73 19.02 145.52
151 17.97 30.62 20.06 23.70 134.93
152 17.88 70.56 20.21 11.58 91.31
153 17.95 46.57 26.12 23.34 143.28
154 18.25 56.81 23.10 16.08 134.89
155 18.09 73.39 21.36 10.52 78.57
156 18.18 25.21 16.09 19.16 94.98
157 18.25 62.15 24.34 15.60 136.48
158 18.34 76.17 18.35 9.35 52.06
159 18.50 59.44 24.24 15.15 141.88
160 18.64 33.41 21.42 22.77 137.17
161 18.67 41.10 23.86 21.46 149.69
162 18.67 28.25 18.31 18.64 112.64
163 18.73 38.41 23.70 23.81 143.68
164 18.66 54.05 24.02 18.46 144.91
165 18.78 65.99 22.80 13.39 106.89
