#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn4 14A 5 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
139 17.62 26.20 17.37 16.10 158.73
140 17.44 72.70 15.59 11.87 100.72
141 17.75 41.04 21.94 26.59 199.42
142 18.02 62.92 21.02 17.19 176.07
143 17.98 58.35 22.69 21.13 205.55
144 18.02 33.65 19.64 23.03 183.63
145 18.12 28.43 17.67 16.70 171.89
146 18.02 47.46 21.96 23.84 213.01
147 18.26 30.89 18.48 19.28 170.45
148 18.35 43.18 23.48 22.94 212.54
149 18.29 67.44 21.67 13.62 151.18
150 18.30 50.08 22.40 21.61 209.13
151 18.22 70.67 19.16 13.56 142.82
152 18.56 21.09 11.28 11.59 107.08
153 18.54 24.20 15.79 13.38 154.42
154 18.50 53.00 23.06 21.27 208.68
155 18.73 56.42 22.60 20.71 206.89
156 18.65 39.09 22.44 22.32 186.28
157 18.64 60.44 22.64 19.01 194.18
158 18.94 36.52 21.00 20.24 181.16
159 18.88 75.17 15.99 11.66 98.99
160 18.94 72.77 18.48 13.26 131.24
161 19.18 44.88 21.98 22.15 203.25
162 19.12 64.37 21.74 17.68 173.79
163 19.29 69.19 22.24 15.27 153.64
164 19.45 27.55 18.35 16.67 167.54
165 19.46 41.41 22.19 22.08 191.60
166 19.38 33.92 20.23 20.52 186.27
167 19.49 47.46 22.39 22.08 207.73
168 19.55 30.93 18.80 19.07 171.48
169 19.65 54.86 23.53 20.95 204.02
170 19.67 58.38 24.73 20.94 185.73
171 19.78 49.90 23.21 20.43 208.62
172 19.77 61.59 22.67 18.61 185.33
173 19.86 52.29 23.09 21.05 208.44
174 19.81 66.56 21.42 16.15 162.83
175 19.92 24.72 16.76 16.21 177.06
176 19.96 21.96 15.59 13.49 135.30
177 19.99 38.77 19.37 21.25 197.07
178 20.13 71.23 21.28 14.37 148.55
179 20.17 76.51 17.56 11.09 99.99
180 20.35 74.06 20.89 12.35 131.38
181 20.54 43.25 22.40 22.19 197.76
182 20.53 45.72 23.89 21.56 201.57
183 20.80 36.46 21.10 20.20 188.23
184 20.77 63.68 24.12 17.77 177.72
185 20.78 30.53 18.71 18.18 177.26
186 20.69 33.85 19.89 19.56 183.26
187 20.86 56.47 22.54 21.02 192.38
188 20.83 26.70 17.17 16.74 163.30
189 20.87 59.11 24.98 19.84 192.77
190 20.83 68.67 23.25 15.90 162.12
191 21.04 41.14 21.84 21.00 190.13
192 20.97 48.33 22.58 22.19 207.97
193 21.05 54.04 23.81 21.28 193.65
194 21.14 19.82 13.35 12.59 129.68
195 21.12 65.91 23.16 17.01 170.26
196 21.19 51.52 25.18 21.60 204.65
197 21.18 23.55 16.19 15.45 158.68
198 21.38 61.09 24.79 18.68 184.33
199 21.41 38.96 22.90 21.55 196.70
200 21.40 72.24 21.46 13.84 150.01
201 21.63 29.10 19.13 17.82 178.20
202 21.50 77.99 16.70 11.72 107.78
203 21.79 75.17 20.75 13.07 136.61
204 21.80 32.65 20.50 19.80 191.42
205 21.77 44.80 23.30 20.64 191.56
206 21.98 70.04 24.21 15.46 160.51
207 22.21 21.90 15.03 16.06 170.08
208 22.27 35.23 20.08 20.19 196.03
209 22.17 47.08 24.81 23.05 213.84
210 22.22 49.66 24.81 22.11 212.01
211 22.08 56.76 25.75 20.75 190.10
212 22.33 42.73 23.53 21.64 182.97
213 22.06 58.09 26.43 21.00 194.06
214 22.36 67.54 23.85 16.20 154.02
215 22.36 26.96 18.88 18.18 185.11
216 22.36 64.75 24.17 19.12 163.97
217 22.37 54.36 25.85 21.25 174.94
218 22.49 62.18 24.58 19.33 177.02
219 22.57 24.51 18.82 18.04 185.72
220 22.42 80.47 16.25 9.89 82.46
221 22.61 37.89 23.83 20.69 200.40
222 22.62 51.76 24.47 23.12 200.42
223 22.77 40.55 23.08 21.90 199.06
224 22.85 19.41 15.26 13.74 158.55
225 22.83 59.45 25.45 19.01 181.26
226 22.85 72.83 25.16 14.94 151.37
227 22.89 77.55 20.56 12.44 115.83
228 23.02 31.96 23.30 20.62 205.84
229 23.11 29.52 19.96 18.41 182.62
230 23.23 44.68 24.02 22.04 199.90
231 23.27 56.16 25.91 21.10 191.14
232 23.22 70.18 25.33 16.46 165.27
233 23.38 75.23 24.54 14.39 151.00
234 23.33 47.87 26.37 22.41 210.44
235 23.59 34.42 23.13 19.64 202.13
236 23.56 66.50 25.80 17.88 171.60
237 23.76 21.29 17.03 15.57 176.88
238 23.65 63.76 25.99 19.04 169.66
239 23.73 52.49 26.44 21.44 209.42
240 23.83 36.83 23.24 21.39 202.28
241 23.76 79.88 22.53 11.69 120.23
242 23.87 26.77 18.46 17.48 183.59
243 23.91 23.89 18.55 17.81 196.40
244 24.09 50.03 26.85 22.37 196.18
245 24.04 41.73 24.02 22.01 199.44
246 24.00 61.26 24.58 20.80 184.57
247 24.17 39.21 23.62 21.86 211.72
248 24.00 58.58 26.35 22.18 189.72
249 24.24 17.78 14.00 12.45 122.46
250 24.26 68.82 28.50 16.43 161.60
