#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf7 14A 6 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.68 46.27 8.68 14.23 53.32
1 2.52 51.26 8.62 15.46 54.55
2 2.37 48.70 9.29 13.37 49.39
3 3.19 48.54 9.40 15.12 56.37
4 3.73 52.58 9.92 16.03 69.22
5 3.85 42.07 9.26 16.98 62.27
6 4.22 45.06 9.33 15.69 63.06
7 4.18 49.96 9.59 15.32 68.38
8 4.26 55.31 8.61 15.56 70.39
9 4.54 47.51 9.60 16.22 62.09
10 4.90 39.80 9.06 17.75 61.55
11 5.17 52.52 9.66 17.92 80.73
12 5.15 42.93 9.69 17.28 66.25
13 5.73 49.93 8.50 17.50 73.80
14 6.02 46.78 9.25 18.08 66.27
15 5.86 54.87 8.77 18.02 90.98
16 5.92 58.09 8.79 18.78 87.96
17 6.38 41.64 11.14 21.50 71.77
18 6.36 39.27 11.13 21.46 70.70
19 6.43 44.28 10.17 19.52 78.33
20 6.55 60.85 8.79 18.33 82.73
21 6.90 52.57 9.69 18.33 90.52
22 7.12 37.18 9.59 20.84 79.44
23 7.03 49.28 9.70 19.74 85.17
24 7.05 56.37 10.30 20.66 108.94
25 7.70 45.51 10.24 17.88 74.75
26 7.77 59.30 8.74 19.12 108.76
27 7.76 42.73 11.03 21.75 84.31
28 7.74 62.79 8.21 16.21 74.86
29 7.91 40.14 10.90 23.48 82.25
30 8.15 55.23 9.48 20.64 116.58
31 8.15 34.97 9.08 21.94 78.18
32 8.32 47.52 11.20 21.92 104.27
33 8.31 50.32 10.87 20.28 96.23
34 8.59 52.75 10.27 20.98 109.67
35 8.57 37.77 10.43 22.98 89.34
36 9.10 57.64 10.13 21.46 133.15
37 9.02 61.12 9.66 18.39 131.26
38 9.13 43.37 10.76 20.84 91.29
39 9.39 64.31 8.72 18.41 118.74
40 9.39 40.23 11.43 24.03 95.75
41 9.51 34.04 9.99 22.29 85.93
42 9.64 46.18 11.21 23.37 108.69
43 9.70 49.40 11.44 23.46 113.22
44 9.78 55.17 11.34 23.32 130.92
45 9.88 37.01 10.57 21.89 98.60
46 10.13 52.44 11.87 21.20 128.25
47 10.24 59.26 11.18 21.73 145.92
48 10.16 62.18 10.67 20.43 158.52
49 10.54 42.20 10.59 22.74 114.13
50 10.74 32.32 9.32 22.98 90.13
51 10.76 39.40 11.38 23.95 109.91
52 10.92 44.94 11.62 23.10 122.41
53 11.03 65.32 8.98 16.49 141.87
54 11.17 29.47 9.07 21.03 72.48
55 11.07 35.07 10.40 21.42 102.56
56 10.76 47.82 12.14 19.57 128.77
57 10.81 62.31 10.78 23.78 146.16
58 11.09 68.53 8.75 14.92 100.19
59 11.21 50.70 11.40 23.12 144.24
60 11.41 58.26 10.63 25.21 151.56
61 11.27 54.80 11.80 25.48 148.10
62 11.73 37.51 11.78 24.20 115.67
63 11.47 47.75 11.72 20.83 129.52
64 11.96 61.68 11.19 23.31 172.43
65 12.14 40.47 11.72 21.97 121.87
66 12.09 43.15 11.83 24.45 125.29
67 12.40 70.72 8.56 12.82 92.04
68 12.21 31.92 10.04 23.41 109.24
69 12.45 52.55 12.93 22.22 152.34
70 12.38 46.17 11.89 22.58 142.36
71 12.50 49.22 12.26 20.21 154.51
72 12.54 56.50 12.65 23.32 162.75
73 12.63 67.54 9.99 14.07 144.92
74 12.59 64.62 9.88 15.75 170.22
75 12.64 34.77 10.49 20.33 109.48
76 13.02 29.36 9.79 18.34 102.58
77 13.09 59.67 11.38 20.35 170.31
78 13.07 38.20 10.27 20.79 120.17
79 13.48 41.78 12.25 20.16 128.42
80 13.65 54.08 13.11 21.64 162.89
81 13.66 44.62 11.69 23.40 142.38
82 13.72 62.34 12.75 17.10 178.43
83 13.70 50.43 12.41 21.70 168.79
84 13.83 32.43 10.03 21.33 120.03
85 13.96 47.35 12.69 23.82 168.02
86 13.97 69.09 11.18 13.27 140.52
87 14.05 72.12 8.62 12.84 101.20
88 13.96 57.27 12.87 21.40 169.06
89 13.98 35.98 11.80 23.34 123.56
90 14.21 64.99 10.98 14.69 164.74
91 14.29 25.82 8.50 17.09 82.89
92 14.55 39.55 12.91 22.19 132.46
93 14.43 28.99 10.12 18.67 124.34
94 14.85 60.15 11.97 17.34 178.96
95 14.97 51.87 12.63 20.45 179.42
96 14.95 42.40 13.00 22.08 155.37
97 15.12 67.49 10.40 12.84 164.30
98 15.13 34.30 10.99 22.66 135.75
99 15.13 48.95 12.25 22.35 168.85
100 15.23 54.77 12.57 18.51 172.68
101 15.20 45.23 13.11 24.90 168.80
102 15.41 31.37 10.90 19.62 131.68
103 15.33 37.26 12.05 22.64 137.17
104 15.35 57.34 12.88 19.19 189.47
105 15.78 62.40 11.81 17.68 176.86
106 15.54 24.31 7.91 15.45 86.35
107 15.56 71.07 10.65 12.01 131.03
108 15.55 27.38 10.35 15.65 105.46
109 15.88 65.06 10.97 16.08 174.83
110 15.98 28.91 10.72 17.58 117.04
111 16.23 40.76 12.37 20.16 152.42
112 16.30 47.01 12.76 25.02 176.23
113 16.40 53.11 12.78 21.11 191.72
114 16.28 75.67 8.55 10.25 64.46
115 16.57 43.66 12.83 20.15 153.33
116 16.48 50.33 12.79 23.59 176.15
117 16.41 58.88 12.04 16.46 179.48
118 16.62 34.90 11.63 20.06 136.41
119 16.62 37.95 11.77 18.50 149.53
120 16.74 67.54 11.31 13.95 167.58
121 16.67 25.85 10.02 16.78 121.47
122 16.87 32.08 11.40 18.35 142.34
123 17.05 73.05 10.34 11.64 119.79
124 17.02 55.63 13.34 20.33 180.40
125 16.98 70.29 11.95 12.94 151.82
126 17.33 61.17 12.99 15.47 174.67
127 17.43 22.51 8.39 15.21 96.28
128 17.04 29.64 11.80 17.31 132.16
129 17.30 64.39 12.59 15.41 170.75
130 17.40 28.38 10.66 15.61 127.25
131 17.65 45.95 14.27 20.41 178.46
132 17.63 48.88 13.55 25.16 177.99
133 17.76 41.98 12.68 19.94 169.21
134 17.85 39.31 13.04 20.04 155.54
135 17.79 75.91 8.97 10.49 87.76
136 17.80 57.97 12.77 16.05 182.43
137 17.80 52.19 13.05 18.70 181.08
138 18.13 36.62 13.67 18.36 152.28
139 18.09 25.31 11.00 16.27 129.01
140 18.25 33.76 11.75 16.78 149.67
141 18.17 68.96 11.73 14.06 154.67
142 18.44 30.95 10.82 16.86 137.86
143 18.50 66.38 12.74 15.11 158.43
144 18.69 54.24 13.02 18.08 172.11
145 18.71 43.95 13.11 19.02 166.14
146 18.64 63.13 12.99 14.79 172.21
147 18.65 71.68 12.87 12.57 151.27
148 18.72 28.17 11.25 15.09 134.31
149 18.82 60.12 13.62 15.68 171.15
150 18.92 47.38 13.05 18.45 179.12
151 19.04 50.28 13.68 18.64 184.67
152 19.13 56.94 13.10 15.13 167.49
153 19.03 76.94 9.18 10.46 73.86
154 19.06 22.56 9.55 13.97 117.52
155 19.21 40.61 14.21 18.53 158.01
156 19.27 74.08 11.23 12.12 117.74
157 19.54 35.06 12.37 17.01 158.28
158 19.70 38.14 13.80 17.76 155.46
159 19.70 25.88 10.61 13.83 128.18
160 19.67 68.54 12.10 13.11 144.12
161 19.79 32.02 12.04 15.19 150.09
162 19.79 65.09 14.10 15.15 171.15
163 19.96 51.95 14.08 17.68 181.55
164 19.97 20.03 8.27 13.64 96.28
165 20.06 42.63 13.11 16.94 172.14
