#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf4 14A 3 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
139 16.44 74.12 17.84 12.93 118.62
140 16.70 44.29 18.95 22.30 181.71
141 16.54 70.66 21.91 15.80 147.77
142 16.88 50.57 21.40 21.71 190.61
143 16.77 46.88 20.97 23.86 181.85
144 16.77 37.44 18.45 20.81 168.53
145 16.94 57.56 22.70 21.62 184.54
146 16.95 55.10 22.89 22.33 189.45
147 17.17 68.12 22.56 18.86 154.10
148 17.40 23.80 14.36 16.38 133.92
149 17.16 61.54 23.33 20.19 178.01
150 17.18 76.48 18.34 13.00 111.62
151 17.31 32.04 17.42 20.89 155.25
152 17.42 26.25 15.99 18.69 147.43
153 17.33 40.44 19.58 22.73 178.02
154 17.43 72.24 22.69 14.98 139.64
155 17.38 65.13 22.75 18.62 167.22
156 17.72 59.29 23.08 20.75 175.33
157 17.67 48.44 21.79 22.02 189.57
158 17.67 28.96 17.40 20.16 157.71
159 17.79 36.30 18.74 19.67 164.67
160 17.84 52.60 22.55 21.50 180.32
161 17.91 42.82 20.42 22.42 193.62
162 17.98 45.58 21.05 21.71 193.16
163 17.84 74.26 23.61 15.41 141.94
164 18.18 33.93 18.78 20.35 162.14
165 18.13 69.86 24.88 18.11 158.72
166 18.29 38.90 20.66 22.85 177.38
167 18.07 55.41 23.06 22.03 187.12
168 18.34 62.05 24.32 20.99 180.17
169 18.39 76.96 21.52 14.07 127.76
170 18.49 50.08 23.11 22.32 194.49
171 18.49 67.03 26.03 19.14 164.71
172 18.61 57.44 25.98 21.56 188.42
173 18.57 64.40 24.90 18.21 174.35
174 18.66 31.05 17.90 18.44 157.82
175 18.53 74.49 24.98 16.47 146.83
176 18.83 25.12 16.34 17.63 149.48
177 18.99 28.29 16.88 19.40 147.58
178 18.93 71.82 28.50 17.48 152.70
179 19.14 41.44 22.30 22.07 191.74
180 19.02 47.16 21.73 22.44 193.23
181 19.04 59.88 24.55 20.37 176.91
182 19.05 43.79 23.94 22.09 197.19
183 19.01 53.51 23.74 21.60 191.86
184 19.22 36.19 20.02 19.88 173.01
185 19.32 22.31 15.59 17.13 137.63
186 19.49 33.32 19.61 19.91 167.05
187 19.50 77.70 24.22 13.38 124.95
188 19.48 39.07 21.44 21.43 194.83
189 19.54 51.26 25.17 21.99 193.43
190 19.56 55.70 24.86 22.73 196.02
191 19.49 68.67 27.76 18.22 155.92
192 19.73 62.61 25.53 20.89 171.62
193 19.63 74.14 26.33 15.12 142.35
194 19.70 65.41 26.88 19.55 170.29
195 19.94 48.95 23.26 22.51 192.35
196 19.97 44.80 25.22 22.36 196.23
197 20.02 58.10 27.14 21.27 188.50
198 19.97 30.49 19.41 19.31 169.55
199 20.15 24.98 18.16 18.36 145.37
200 20.19 71.13 28.91 17.57 151.90
201 20.31 53.66 27.11 23.32 196.62
202 20.40 27.83 18.52 18.76 157.62
203 20.37 60.47 28.81 21.90 186.53
204 20.39 79.43 26.21 13.43 123.06
205 20.41 37.47 22.04 21.39 187.27
206 20.44 40.58 22.62 21.98 194.14
207 20.47 20.64 15.28 15.27 133.56
208 20.64 75.76 31.47 15.99 152.60
209 20.67 46.87 23.50 22.33 197.79
210 20.61 34.45 20.84 19.39 175.25
211 20.76 67.37 30.24 20.56 174.33
212 20.80 51.27 26.52 23.51 191.55
213 20.92 56.13 29.18 22.25 191.06
214 20.80 64.82 31.26 20.20 183.94
215 21.19 42.33 25.09 22.64 187.28
216 21.19 23.27 19.17 17.70 143.87
217 21.14 31.55 19.70 19.37 162.39
218 21.22 72.58 32.26 17.60 152.48
219 21.24 69.51 31.12 20.83 172.45
220 21.26 62.10 30.39 20.86 184.19
221 21.28 44.75 25.70 22.67 200.34
222 21.39 48.90 27.45 22.62 188.42
223 21.54 77.78 32.48 14.90 142.26
224 21.41 59.06 29.07 21.93 182.72
225 21.58 26.32 19.46 17.94 157.52
226 21.56 36.65 24.22 21.11 178.58
227 21.58 39.26 23.85 21.63 189.16
228 21.58 53.60 29.49 23.38 197.03
229 21.67 80.50 27.41 13.59 114.38
230 21.68 29.10 20.21 18.77 157.20
231 21.76 19.31 15.87 15.01 121.36
232 21.89 33.78 21.49 20.04 164.01
233 21.94 64.60 33.89 20.54 180.67
234 22.08 74.55 35.64 16.97 144.71
235 22.20 46.71 27.98 24.34 199.48
236 22.11 51.11 27.54 23.65 195.96
237 22.18 67.54 33.21 20.04 166.62
238 22.10 56.17 32.95 23.34 196.34
239 22.30 70.86 34.90 19.10 157.25
240 22.03 21.32 19.16 16.24 128.92
241 22.49 41.36 26.05 21.98 191.50
242 22.48 44.01 28.19 24.18 197.95
243 22.50 22.38 19.58 17.71 136.80
244 22.61 62.46 33.67 23.40 186.33
245 22.65 31.13 22.51 19.05 164.97
246 22.61 58.26 30.83 23.32 196.43
247 22.72 60.32 32.63 23.34 192.52
248 22.78 24.82 20.72 17.91 149.88
249 22.78 48.69 28.23 23.30 190.99
250 22.78 36.22 23.33 20.75 177.83
251 22.82 38.95 25.70 21.98 186.39
252 22.80 53.94 30.22 24.06 196.80
253 22.82 27.83 22.57 18.69 155.76
254 22.90 77.12 37.12 17.77 139.96
255 23.06 79.11 37.22 16.40 137.22
256 23.05 65.46 38.06 20.91 179.22
257 22.98 75.65 37.77 16.28 146.98
258 23.16 33.72 24.42 20.38 176.97
259 23.31 19.76 17.69 16.94 138.91
260 23.35 51.72 30.20 23.76 191.73
261 23.20 72.79 37.27 19.81 151.53
262 23.38 81.67 33.46 13.63 121.71
263 23.43 56.34 33.70 22.13 190.12
264 23.47 45.80 29.97 23.60 193.64
265 23.60 42.64 27.72 24.66 197.56
266 23.53 70.10 39.04 19.35 160.53
267 23.65 67.89 37.92 19.89 166.70
268 23.75 49.61 30.43 22.61 195.40
269 23.90 30.14 24.44 20.23 166.72
270 23.85 63.52 36.87 22.13 187.99
271 23.96 22.35 20.68 16.94 136.63
272 23.86 37.39 26.97 22.18 184.64
273 24.00 40.26 28.98 22.50 192.13
274 23.93 58.61 36.10 22.84 199.10
275 23.90 61.14 39.43 23.96 194.07
276 23.99 54.04 35.27 22.91 200.73
277 24.06 74.87 46.03 19.06 153.81
278 24.05 27.68 22.32 18.72 155.61
279 24.18 25.15 22.59 18.24 149.16
280 24.27 32.52 24.38 20.19 171.41
281 24.41 35.03 27.26 20.69 183.84
282 24.29 17.86 19.05 16.58 126.42
283 24.37 47.77 34.32 24.15 202.55
284 24.34 77.48 48.11 17.22 143.83
285 24.46 65.58 41.92 22.39 187.40
286 24.40 71.81 47.03 19.36 163.42
287 24.49 43.59 29.47 23.75 190.60
288 24.74 79.94 45.78 16.13 140.75
289 24.69 82.33 44.03 15.92 135.94
290 24.64 55.86 37.47 24.35 199.45
291 24.77 52.33 35.34 23.27 194.76
292 24.88 45.74 34.01 23.11 190.56
293 25.00 50.06 37.79 24.47 198.64
294 24.97 38.27 27.13 21.05 181.01
295 24.94 62.25 45.54 21.72 191.12
296 25.01 59.79 41.01 22.64 191.04
297 25.06 69.35 48.61 19.74 164.85
298 25.22 15.62 20.23 14.75 120.82
299 25.36 21.28 21.76 17.03 144.52
300 25.19 40.99 29.67 21.95 189.95
301 25.20 30.47 23.72 19.91 157.30
302 25.28 57.50 41.69 24.02 205.22
303 25.33 23.98 24.54 18.02 148.60
304 25.33 66.92 51.53 21.75 184.09
305 25.33 73.17 54.19 20.10 163.42
306 25.32 27.17 25.59 18.16 158.09
307 25.60 18.97 21.75 15.70 139.76
308 25.59 36.06 29.15 22.13 176.94
309 25.51 64.08 49.34 23.93 200.00
310 25.70 33.22 29.62 21.63 174.21
311 25.67 54.54 41.00 23.52 203.74
312 25.75 77.95 60.03 18.61 149.00
313 25.65 43.18 32.65 23.94 192.88
314 25.67 48.07 38.01 23.99 197.88
315 25.83 83.53 53.42 14.01 114.30
316 25.91 52.25 40.82 23.64 200.47
317 26.09 39.03 33.00 22.61 192.99
318 26.05 45.52 34.83 23.75 187.79
319 26.10 61.66 51.62 22.94 189.45
320 26.21 70.97 65.15 19.80 171.54
321 26.15 59.23 47.98 23.22 202.45
322 26.22 80.43 66.86 17.64 137.08
323 26.29 28.76 28.25 19.45 167.80
324 26.31 68.08 67.97 21.60 182.49
325 26.34 56.35 44.68 25.85 200.74
326 26.45 25.85 27.03 18.49 154.19
327 26.39 65.24 61.86 24.06 192.74
328 26.55 41.17 34.01 23.48 191.40
329 26.60 31.05 29.56 20.54 170.92
330 26.59 50.96 42.42 24.59 197.21
331 26.72 17.20 22.46 15.23 126.94
332 26.78 23.13 26.73 18.34 145.27
333 26.61 73.81 73.55 20.78 159.04
334 26.68 35.00 31.05 23.02 178.62
335 26.84 20.07 25.27 16.34 139.68
336 26.89 37.31 33.65 22.95 194.02
337 26.76 48.75 39.05 24.53 197.05
338 26.98 43.66 36.72 23.56 182.73
339 27.04 53.57 45.62 24.22 191.19
