#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca3 14A 7 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.01 44.62 14.33 19.16 17.51
1 1.97 48.07 13.58 22.19 10.19
2 3.11 47.43 14.98 21.38 28.30
3 3.13 54.18 13.17 24.64 7.43
4 3.75 44.67 16.18 24.69 45.95
5 3.69 53.17 13.27 24.80 9.49
6 3.97 41.40 15.70 22.49 47.07
7 4.55 38.05 15.45 24.27 44.75
8 4.45 56.12 14.67 25.03 7.56
9 4.50 49.71 15.36 27.67 31.71
10 4.83 46.62 16.08 23.64 45.70
11 4.72 53.04 15.75 28.03 11.86
12 5.42 43.53 16.48 26.86 53.00
13 5.11 58.82 13.83 24.86 6.86
14 5.20 40.52 16.99 27.68 43.09
15 5.94 48.80 16.68 30.89 36.64
16 5.67 51.46 20.43 35.50 18.82
17 5.87 36.17 17.50 33.28 26.88
18 5.69 60.06 11.39 21.51 7.90
19 6.19 57.35 14.23 29.86 7.71
20 6.27 33.48 15.03 27.96 16.73
21 6.30 52.16 15.96 31.72 16.25
22 6.44 38.33 16.12 34.22 22.22
23 6.59 40.93 17.35 32.71 24.93
24 6.46 61.96 12.78 20.59 7.49
25 6.51 46.12 16.04 34.65 36.41
26 6.39 54.06 17.43 31.54 11.41
27 6.99 59.91 14.20 24.97 7.55
28 6.75 43.23 18.35 33.54 40.19
29 7.61 36.43 16.45 34.99 11.57
30 7.21 54.22 17.57 32.31 10.98
31 7.49 50.41 17.34 33.35 21.54
32 7.59 31.38 14.72 29.54 8.41
33 7.37 43.55 18.30 37.83 29.57
34 7.64 34.08 15.28 30.95 11.35
35 7.84 39.34 16.57 38.88 13.44
36 7.67 52.86 19.57 35.11 13.51
37 7.79 57.44 16.85 28.48 8.82
38 7.93 45.14 17.51 35.73 19.76
39 7.77 48.04 18.68 41.84 21.69
40 7.96 63.29 12.72 23.30 7.86
41 7.88 54.90 17.41 28.97 11.69
42 8.28 41.90 16.01 39.69 13.21
43 8.01 60.95 16.62 25.54 8.58
44 8.42 29.18 13.32 24.29 6.87
45 8.55 52.47 18.38 39.61 12.02
46 8.46 47.33 16.00 37.98 17.68
47 8.84 60.05 16.75 29.34 8.76
48 9.08 34.93 16.52 32.32 9.64
49 9.00 49.93 17.79 40.81 15.21
50 9.03 37.88 16.60 39.57 9.84
51 9.03 55.19 17.21 38.02 9.83
52 9.14 44.00 18.74 43.72 11.29
53 9.17 64.60 14.74 21.70 8.98
54 9.26 32.23 16.50 35.84 9.17
55 9.62 40.38 19.45 44.40 10.56
56 9.59 47.06 18.32 47.42 11.88
57 9.97 57.74 17.79 33.70 11.47
58 9.84 52.78 18.85 50.65 11.84
59 9.81 61.87 18.48 27.99 11.85
60 10.01 29.61 15.47 31.71 8.65
61 9.67 43.59 18.08 44.58 11.25
62 9.90 67.71 13.03 15.53 18.88
63 10.41 37.24 17.74 40.35 10.07
64 10.68 42.45 18.05 44.04 11.30
65 10.53 49.73 18.61 53.26 13.56
66 10.71 45.21 20.05 50.01 12.89
67 10.62 55.35 16.97 42.82 12.22
68 10.83 34.59 17.47 41.95 10.03
69 10.53 32.36 16.84 36.46 9.59
70 10.45 60.92 15.96 31.08 12.21
71 10.86 65.46 14.36 22.39 12.96
72 10.66 26.69 12.54 30.14 6.96
73 11.02 59.95 18.28 31.06 12.17
74 11.29 39.79 18.50 44.21 12.14
75 11.08 27.52 13.81 29.92 8.67
76 11.49 47.69 18.80 50.68 14.35
77 11.36 52.50 18.05 51.84 15.73
78 11.67 29.61 16.75 35.27 10.37
79 11.07 31.34 15.75 31.95 8.20
80 11.14 63.78 16.03 27.66 12.60
81 11.64 67.32 15.25 18.41 23.41
82 11.76 57.97 19.82 40.18 14.50
83 11.63 62.37 16.81 30.27 12.33
84 11.97 37.27 19.11 45.61 12.77
85 12.10 32.41 17.80 42.58 10.92
86 12.03 55.10 19.72 45.62 16.31
87 12.34 50.03 19.99 51.43 20.88
88 12.23 45.04 20.16 52.12 17.08
89 12.23 26.17 15.78 31.70 11.24
90 12.54 34.79 19.31 49.64 14.26
91 12.41 42.06 17.63 43.81 14.20
92 12.47 64.04 18.08 25.06 16.82
93 12.78 60.95 18.37 38.32 14.84
94 12.86 27.07 15.12 34.71 11.96
95 13.09 47.57 20.08 52.11 27.10
96 13.07 52.59 19.50 51.79 25.06
97 13.10 39.38 19.34 50.16 18.64
98 12.93 68.70 16.87 17.70 24.29
99 13.24 71.84 14.22 16.28 29.52
100 13.17 56.55 19.07 44.40 20.25
101 13.18 30.71 17.72 41.09 16.11
102 13.08 23.94 13.36 29.21 13.27
103 13.74 36.52 18.77 49.73 21.12
104 13.43 65.70 17.03 23.39 16.10
105 13.65 24.77 14.59 28.43 12.57
106 13.65 44.58 20.66 53.09 31.25
107 13.91 59.01 19.47 41.34 22.69
108 13.63 28.57 15.61 37.89 15.34
109 13.88 33.48 17.04 43.67 19.25
110 13.96 49.57 20.76 52.05 54.51
111 13.97 41.81 19.86 51.38 31.62
112 14.03 63.56 19.30 26.34 18.96
113 13.93 21.88 12.46 27.38 12.62
114 14.07 27.58 14.65 33.15 17.02
115 14.14 54.40 20.12 54.00 37.75
116 14.07 67.36 17.23 20.43 19.89
117 14.72 61.31 19.34 28.94 24.30
118 14.60 46.88 22.08 58.43 82.78
119 14.47 38.86 20.54 50.23 38.87
120 14.39 71.09 14.22 17.65 23.57
121 14.69 23.40 13.75 32.56 29.67
122 14.66 25.73 17.88 31.79 28.43
123 14.75 51.69 20.85 42.55 82.01
124 14.88 56.64 20.90 43.57 42.94
125 14.86 69.90 16.12 17.97 21.75
126 14.52 66.34 22.88 19.62 17.38
127 14.94 30.31 16.94 42.04 32.28
128 14.64 68.18 15.31 20.06 16.81
129 15.07 44.10 20.52 44.49 84.11
130 14.82 72.52 16.88 15.56 20.88
131 15.02 32.93 19.42 46.04 42.15
132 15.35 65.37 20.32 22.42 22.98
133 15.05 22.17 13.98 27.42 28.65
134 15.34 35.42 19.95 40.22 55.26
135 15.40 41.10 21.02 41.92 92.72
136 15.47 59.02 22.19 38.50 36.97
137 15.42 73.18 13.91 15.73 23.20
138 15.46 27.56 18.52 29.40 53.39
139 15.56 53.96 21.15 36.12 86.79
140 15.58 49.19 20.70 38.52 136.24
141 15.62 38.01 21.15 34.62 80.00
142 15.86 67.81 19.17 19.07 20.63
143 15.96 62.91 20.36 25.85 27.87
144 15.79 24.81 16.39 25.15 74.73
145 16.15 46.48 20.98 30.77 133.42
146 15.77 70.88 18.79 16.09 19.06
147 16.40 21.08 14.07 21.56 66.65
148 16.51 29.68 16.92 24.75 97.76
149 16.16 32.78 20.60 37.06 93.79
150 16.43 51.42 22.54 29.95 128.06
151 16.32 56.73 20.66 30.51 66.14
152 16.34 70.45 17.30 17.83 22.15
153 16.54 43.65 21.43 29.14 158.67
154 16.38 60.59 21.30 24.89 41.20
155 16.88 26.70 16.79 21.52 102.77
156 16.90 40.68 21.48 29.97 137.83
157 17.04 34.82 19.24 24.70 135.27
158 16.98 37.77 21.81 32.53 141.69
159 17.01 65.51 22.23 20.74 24.82
160 17.05 54.05 22.02 29.88 121.69
161 17.20 48.93 21.16 27.33 160.98
162 16.97 59.70 18.81 27.03 40.83
163 17.14 73.13 18.48 16.45 22.82
164 17.30 23.48 17.27 20.14 123.34
165 17.14 67.98 18.84 17.11 24.07
