#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca2 14A 5 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.99 46.56 11.63 7.85 3.83
1 2.65 45.32 11.85 9.71 3.47
2 2.84 47.96 12.93 9.49 3.54
3 4.10 46.28 14.69 10.66 4.63
4 3.80 54.34 13.15 10.68 4.39
5 3.99 52.89 13.23 11.44 4.23
6 4.31 42.15 15.12 10.14 5.10
7 4.48 39.37 13.10 14.51 4.34
8 4.47 48.43 14.99 11.66 4.32
9 4.92 53.79 15.58 11.68 4.81
10 5.09 54.93 18.14 12.43 5.14
11 5.30 39.32 16.16 11.69 5.62
12 5.62 46.79 16.73 12.67 5.71
13 5.44 48.95 16.59 11.16 6.25
14 5.49 57.04 16.61 11.56 4.54
15 6.31 40.44 17.27 14.31 6.24
16 5.72 54.39 18.05 12.00 5.61
17 5.86 49.96 18.12 13.53 5.41
18 6.08 52.78 17.51 12.10 5.86
19 6.23 36.62 15.74 12.93 6.10
20 6.17 38.39 16.43 14.59 4.73
21 6.06 39.64 17.50 14.70 5.10
22 6.32 55.17 16.46 11.39 5.21
23 6.55 56.64 16.39 10.95 5.06
24 6.67 45.26 17.85 13.48 7.07
25 6.57 50.20 19.82 13.02 6.50
26 6.64 48.70 19.34 14.47 7.22
27 6.95 35.33 15.59 15.25 5.47
28 6.77 51.85 20.00 10.81 7.31
29 6.95 33.78 16.30 14.48 5.00
30 6.99 42.89 18.88 13.43 6.41
31 6.79 46.78 18.11 11.11 8.05
32 7.06 53.56 18.06 12.92 6.98
33 7.01 57.57 15.92 9.25 5.83
34 7.42 47.90 20.94 13.76 6.38
35 7.41 41.69 19.19 13.71 6.62
36 7.57 58.47 17.14 10.76 5.76
37 8.04 55.66 19.13 12.34 6.13
38 8.16 37.15 19.95 14.14 7.06
39 7.57 51.69 20.29 13.88 6.59
40 7.69 32.70 14.33 15.62 5.81
41 7.84 45.98 21.90 14.90 7.37
42 8.24 43.86 20.46 15.06 6.89
43 8.10 52.99 19.59 12.47 7.18
44 8.38 60.12 17.68 10.03 5.89
45 9.02 42.36 21.52 15.33 7.81
46 9.02 32.86 18.57 13.88 6.76
47 8.92 46.32 21.42 16.48 7.30
48 9.17 57.29 19.79 12.78 7.21
49 9.06 48.36 23.27 14.76 7.82
50 9.14 38.76 22.32 14.90 8.70
51 9.41 53.09 21.71 13.63 7.62
52 9.24 60.54 19.12 8.31 6.62
53 9.40 30.97 17.68 12.29 6.49
54 9.38 54.74 22.10 14.60 7.60
55 10.03 36.92 21.47 16.61 8.79
56 9.60 48.49 22.42 17.17 8.33
57 9.93 50.12 21.90 14.38 7.81
58 9.79 42.90 20.90 16.76 7.48
59 9.88 45.62 21.83 15.12 8.42
60 10.08 59.56 22.07 13.21 7.48
61 10.43 41.32 22.76 16.12 9.26
62 10.22 47.99 22.56 16.93 8.89
63 10.04 55.44 21.56 11.04 9.31
64 10.20 43.91 20.85 16.41 9.46
65 10.30 34.15 19.00 14.64 8.34
66 10.46 29.15 16.23 13.72 7.85
67 10.39 31.92 19.49 15.90 8.10
68 10.19 57.09 17.73 13.20 8.67
69 10.80 51.94 23.43 14.38 10.01
70 10.73 53.90 23.05 13.59 9.10
71 11.34 38.61 24.06 16.47 10.56
72 10.72 56.51 21.64 13.50 9.04
73 10.83 64.92 17.48 9.44 8.00
74 10.64 44.59 19.50 14.38 8.88
75 10.94 30.79 19.58 12.48 8.35
76 10.87 59.41 19.68 13.00 8.74
77 11.18 63.31 19.81 9.81 8.44
78 11.45 43.26 24.56 16.63 10.57
79 11.05 48.04 23.29 17.03 10.84
80 11.46 49.76 24.67 16.78 10.37
81 11.39 57.30 22.20 12.43 9.87
82 11.42 61.35 21.44 11.69 8.95
83 11.54 66.23 16.57 10.43 9.95
84 11.72 36.15 22.98 15.72 10.96
85 11.50 54.71 24.20 13.92 10.24
86 11.71 27.80 19.26 11.98 9.18
87 11.97 31.24 21.35 13.29 10.65
88 12.07 58.72 23.01 14.52 11.24
89 11.63 64.63 17.82 9.55 9.00
90 12.00 47.47 24.12 16.95 11.41
91 12.11 52.64 25.63 16.41 11.67
92 12.07 45.43 25.66 18.98 11.71
93 11.83 55.89 26.57 13.71 12.29
94 12.50 63.16 22.41 11.23 10.97
95 12.36 40.44 25.57 16.27 11.57
96 12.12 26.71 18.41 10.82 9.35
97 12.34 51.20 25.60 18.96 13.16
98 13.05 54.18 25.50 17.31 15.04
99 12.75 48.57 25.76 16.90 13.57
100 12.42 37.77 22.86 15.43 11.21
101 12.72 56.57 24.40 14.42 12.69
102 12.43 61.08 21.44 12.53 11.47
103 13.01 34.42 24.94 15.20 13.16
104 12.60 50.07 26.17 17.17 13.78
105 12.69 36.54 20.60 11.87 12.20
106 12.97 38.53 24.76 16.27 12.37
107 12.96 45.66 24.51 16.97 13.61
108 12.88 27.42 17.45 11.21 13.55
109 13.07 60.25 23.81 13.17 11.31
110 13.21 29.71 21.41 13.64 13.32
111 13.14 42.60 24.89 16.53 14.52
112 13.29 61.94 23.13 11.13 12.90
113 13.49 26.87 19.12 11.75 13.47
114 13.45 67.00 21.03 10.68 10.52
115 13.58 52.09 25.11 18.45 21.68
116 13.77 49.66 26.17 18.19 21.27
117 13.43 37.31 25.56 16.89 16.28
118 13.61 46.81 27.19 17.93 16.95
119 13.70 39.58 26.69 16.62 18.15
120 13.77 57.75 25.38 14.48 15.47
121 13.76 32.63 25.29 14.39 14.16
122 13.76 64.08 21.29 11.85 12.85
123 13.78 43.87 26.47 18.81 17.11
124 13.93 25.38 18.68 9.71 10.79
125 14.17 55.63 26.75 15.27 22.57
126 14.19 59.68 25.54 14.19 20.52
127 14.12 36.95 26.27 18.54 19.18
128 14.31 41.55 26.15 19.19 22.62
129 14.00 65.43 21.50 9.65 14.45
130 14.23 28.58 19.91 12.07 19.22
131 14.15 61.40 22.68 12.87 15.45
132 14.40 47.80 26.00 18.38 28.84
133 14.45 38.99 25.91 16.96 26.58
134 14.76 34.33 24.62 16.96 24.91
135 14.56 45.59 28.02 20.97 27.22
136 14.56 53.62 24.73 17.70 31.24
137 14.42 66.86 21.64 10.29 15.69
138 14.33 44.21 30.33 16.44 16.78
139 14.90 51.35 26.31 17.85 41.54
140 14.91 26.82 19.04 12.63 24.68
141 14.79 70.87 17.57 9.43 13.62
142 14.65 31.52 21.66 14.31 23.73
143 15.02 24.42 17.00 10.60 25.76
144 14.99 43.17 24.84 18.65 32.35
145 14.77 65.31 22.31 11.42 14.81
146 14.76 29.59 21.58 14.50 21.38
147 15.10 57.73 24.99 14.05 30.42
148 15.35 49.27 27.16 18.31 48.34
149 15.26 36.84 25.46 16.82 34.54
150 15.02 59.82 25.24 13.00 19.67
151 15.09 63.77 22.71 12.84 19.03
152 15.53 67.54 22.02 10.36 17.20
153 15.23 32.09 26.73 14.35 25.96
154 15.50 39.89 26.04 17.65 44.56
155 15.56 55.67 25.87 17.36 40.92
156 15.55 61.55 25.26 13.58 26.05
157 15.67 46.93 27.14 20.43 51.27
158 15.89 29.89 22.02 14.28 37.06
159 15.54 69.29 20.69 9.45 11.60
160 15.91 44.69 26.96 18.79 52.16
161 15.71 53.37 24.99 17.13 52.83
162 16.24 42.00 27.14 18.80 60.53
163 16.19 59.23 25.87 14.92 32.95
164 16.17 32.74 24.73 15.70 44.05
165 16.25 65.58 24.55 11.34 22.30
