#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca6 14A 6 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.05 45.77 18.87 14.00 8.70
1 2.45 43.31 19.08 17.10 8.64
2 2.58 48.70 19.95 18.12 9.53
3 3.17 46.40 19.86 17.23 8.64
4 2.94 44.90 19.80 12.60 13.00
5 3.24 44.02 21.95 18.71 10.81
6 3.48 50.82 20.14 18.98 8.40
7 3.77 41.80 21.35 20.67 9.25
8 4.12 53.88 19.28 16.99 7.18
9 4.22 44.70 21.85 21.99 9.42
10 4.04 48.48 21.95 17.45 9.43
11 4.65 56.36 18.98 17.98 8.25
12 4.94 39.70 22.31 22.31 9.06
13 4.56 47.63 21.55 20.81 10.23
14 4.67 50.57 21.45 22.13 8.90
15 4.77 42.21 21.42 24.23 9.64
16 5.26 52.92 22.56 20.77 8.97
17 5.37 46.12 21.61 16.58 11.11
18 5.54 48.55 22.34 21.95 10.26
19 5.42 44.36 21.98 22.98 9.47
20 5.77 55.33 21.08 19.67 9.03
21 5.56 42.40 23.74 21.67 9.02
22 5.86 36.38 21.92 21.25 8.83
23 6.29 50.74 21.15 24.77 10.04
24 5.84 57.06 19.65 15.59 7.24
25 6.48 41.19 21.73 22.61 9.88
26 6.49 46.89 23.33 22.04 10.26
27 6.53 57.93 18.54 16.62 9.12
28 6.77 44.06 22.71 25.22 10.79
29 6.79 53.39 20.59 21.05 10.28
30 7.49 48.38 22.09 23.14 10.61
31 7.40 61.66 17.68 16.08 9.45
32 7.31 57.12 22.18 15.36 9.91
33 7.76 59.16 19.98 16.90 10.63
34 7.69 37.06 24.06 22.12 10.37
35 7.70 33.11 23.40 20.62 10.18
36 7.71 39.44 23.34 20.76 12.07
37 7.91 51.89 23.91 23.14 12.52
38 7.76 55.84 21.64 18.59 10.62
39 7.97 42.39 23.51 24.27 12.07
40 7.87 45.77 22.50 23.15 12.17
41 8.17 30.57 20.10 20.93 9.47
42 8.27 38.55 22.78 21.70 11.37
43 8.44 53.84 20.63 22.85 13.13
44 8.66 34.80 24.15 23.76 11.48
45 8.73 49.93 23.92 24.30 14.07
46 8.61 57.27 21.89 18.70 13.05
47 9.04 47.32 24.32 25.89 14.55
48 8.74 62.15 18.71 16.61 12.39
49 9.28 41.84 25.38 23.31 13.32
50 9.49 37.43 26.96 21.70 13.68
51 9.19 59.68 20.92 18.36 14.54
52 9.27 32.46 23.57 22.01 11.97
53 9.44 44.60 25.59 25.52 14.53
54 9.37 29.50 23.13 18.40 11.90
55 9.52 39.48 25.66 24.61 15.54
56 9.66 52.54 23.19 23.10 15.51
57 9.98 55.57 22.90 22.86 17.06
58 10.05 61.52 20.38 18.11 16.48
59 10.06 49.42 23.90 25.72 17.21
60 10.03 34.00 24.08 25.00 13.59
61 9.99 26.87 20.22 18.37 11.25
62 10.41 31.59 25.01 21.72 14.76
63 10.21 40.03 26.04 21.39 15.48
64 10.65 43.11 24.60 24.43 19.74
65 10.55 58.48 21.59 20.52 18.59
66 10.70 45.85 23.65 24.10 22.05
67 10.61 64.06 19.61 16.39 18.14
68 10.74 35.29 24.16 23.97 15.38
69 11.03 53.96 24.16 22.54 24.51
70 10.99 29.37 22.81 21.84 16.22
71 10.71 27.49 22.27 18.35 12.65
72 11.08 37.63 26.93 23.37 19.62
73 11.07 40.42 28.34 23.68 22.44
74 11.10 25.43 19.57 16.13 13.67
75 11.09 48.01 25.88 24.54 28.08
76 10.71 24.54 17.00 19.00 14.75
77 11.16 51.21 23.84 22.23 23.23
78 11.20 66.11 16.92 13.87 18.79
79 11.22 62.79 20.25 17.45 18.79
80 11.59 56.81 21.36 22.69 22.50
81 11.23 32.77 25.24 18.36 13.24
82 11.36 33.98 24.92 20.31 17.46
83 11.72 59.60 21.63 18.81 23.17
84 11.80 35.29 25.48 21.57 22.41
85 12.06 44.19 24.13 25.84 40.70
86 12.24 27.96 22.90 17.41 22.92
87 12.19 41.39 25.76 24.99 42.56
88 12.26 47.03 25.98 23.38 47.88
89 12.17 32.25 25.36 19.66 24.43
90 12.28 49.85 24.49 24.21 47.21
91 12.13 64.36 18.03 15.99 22.88
92 12.45 61.91 19.68 16.86 24.86
93 12.50 25.42 22.03 16.63 23.76
94 12.47 54.66 22.72 21.45 33.10
95 12.46 38.37 25.85 24.09 36.92
96 12.38 70.06 16.23 13.44 19.09
97 12.67 52.22 23.88 22.47 47.50
98 12.83 66.83 19.11 15.47 21.87
99 13.06 35.85 24.37 21.29 38.32
100 13.29 30.18 23.85 18.85 36.80
101 13.20 57.07 22.05 18.74 33.12
102 13.27 59.89 22.11 17.91 28.53
103 12.94 69.11 19.90 12.50 19.85
104 13.38 33.05 25.00 19.64 39.29
105 13.40 42.91 26.10 20.95 85.21
106 13.51 46.09 25.31 22.98 90.10
107 13.63 40.17 27.52 21.94 77.08
108 13.54 48.97 25.11 22.32 87.10
109 13.72 27.39 22.50 16.78 42.32
110 13.80 71.14 16.19 12.98 18.03
111 13.86 24.40 19.91 16.33 38.74
112 13.84 54.29 23.65 21.36 55.83
113 13.88 65.00 19.88 15.73 27.36
114 14.16 37.66 26.15 22.35 75.80
115 14.04 68.01 19.89 15.66 22.56
116 14.06 62.37 20.93 16.99 29.72
117 14.16 51.51 24.73 21.88 87.06
118 14.56 34.94 25.51 21.27 73.17
119 14.46 58.66 21.62 18.41 39.69
120 14.54 44.53 24.67 22.71 134.69
121 14.56 21.70 20.72 14.83 60.40
122 14.75 32.23 24.66 18.65 73.11
123 14.95 56.31 23.90 19.27 53.59
124 14.87 41.85 27.08 21.57 122.03
125 15.04 29.64 24.04 18.06 76.52
126 14.88 49.15 24.96 19.99 121.57
127 15.16 46.74 26.10 20.88 132.54
128 15.08 26.64 23.03 16.59 80.12
129 15.19 53.71 23.61 20.76 86.31
130 15.20 61.10 21.84 17.83 38.69
131 15.18 66.15 20.89 16.13 29.74
132 15.33 39.33 26.70 19.86 115.04
133 15.24 71.85 16.60 13.34 23.72
134 15.44 69.08 18.83 15.28 26.48
135 15.51 23.78 20.79 14.65 83.21
136 15.54 63.65 23.62 17.82 33.21
137 15.78 36.81 26.73 19.94 118.21
138 15.74 51.30 25.74 20.66 119.84
139 15.84 44.00 26.69 21.60 141.94
140 15.89 58.59 24.49 19.01 49.17
141 16.00 34.12 26.12 21.63 108.69
142 16.47 31.39 26.28 18.58 122.68
143 16.33 48.62 25.49 20.56 133.62
144 16.43 41.37 26.65 20.54 147.67
145 16.42 28.42 24.57 17.43 115.23
146 16.53 56.23 23.84 20.86 64.02
147 16.55 53.46 25.82 20.90 94.84
148 16.54 66.45 20.03 17.82 33.80
149 16.65 25.46 23.53 15.48 114.69
150 16.38 72.74 18.32 13.88 21.16
151 16.71 46.08 28.49 21.10 151.80
152 16.56 61.27 22.37 18.96 47.56
153 16.60 71.37 20.85 15.57 27.26
154 16.93 38.99 27.66 21.24 145.44
155 16.89 22.28 21.26 14.09 106.84
156 16.95 63.76 22.90 17.63 41.05
157 16.87 68.96 19.93 16.84 29.69
158 17.10 18.90 19.73 12.68 89.54
159 17.15 50.58 26.28 20.56 129.56
160 17.24 43.44 27.83 20.13 155.59
161 17.31 33.80 26.34 19.29 143.36
162 17.33 36.57 28.09 20.76 154.30
163 17.27 58.85 24.15 19.23 53.34
164 17.43 73.74 18.68 14.74 27.89
165 17.65 54.68 26.10 20.84 82.94
