#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf1 14A 6 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
139 17.47 55.24 22.82 24.43 182.62
140 17.52 68.36 20.87 16.41 140.94
141 17.37 36.32 21.98 21.08 140.98
142 17.62 61.35 21.62 20.53 173.27
143 17.67 29.42 20.47 19.09 151.16
144 17.70 74.16 19.08 15.12 129.49
145 17.65 51.65 22.85 23.89 181.46
146 17.95 38.39 22.49 22.93 160.71
147 18.06 26.92 17.68 15.57 137.88
148 18.24 23.90 15.92 14.24 127.39
149 18.24 47.93 22.46 22.61 174.67
150 18.11 32.00 18.76 19.62 161.86
151 18.22 40.83 22.13 22.19 178.28
152 18.31 34.70 21.75 20.28 162.86
153 18.52 53.66 23.12 23.88 193.58
154 18.47 62.96 22.97 19.92 179.36
155 18.62 56.90 22.52 20.62 171.20
156 18.49 66.33 21.36 19.03 170.08
157 18.80 49.99 23.21 24.05 190.25
158 18.77 69.65 21.76 17.42 145.28
159 18.91 77.70 18.09 12.47 100.47
160 19.10 37.09 22.67 22.28 178.37
161 18.88 45.06 23.56 23.14 176.91
162 19.02 75.05 19.80 13.95 119.35
163 19.12 72.29 19.70 15.38 126.80
164 19.07 60.31 20.78 20.24 166.42
165 19.25 42.42 24.76 22.21 173.06
166 19.26 29.44 18.70 16.93 150.24
167 19.25 21.42 17.70 13.97 124.17
168 19.40 25.66 18.18 15.51 151.08
169 19.46 64.52 22.63 20.19 162.08
170 19.28 79.82 15.24 11.69 75.31
171 19.57 39.56 22.31 21.95 181.46
172 19.57 32.48 20.66 20.02 161.26
173 19.73 51.78 23.48 22.17 176.52
174 19.68 67.33 22.96 18.11 151.50
175 19.84 35.09 21.31 20.21 169.75
176 19.87 58.14 22.39 21.53 182.10
177 19.70 27.09 19.59 16.96 146.02
178 19.98 54.10 23.55 22.98 183.13
179 19.85 46.82 24.04 23.08 183.94
180 20.22 23.24 19.44 15.45 142.08
181 20.23 62.41 22.61 19.74 167.23
182 20.28 49.34 24.22 23.12 183.83
183 20.36 75.96 20.67 13.80 111.45
184 20.55 56.08 22.40 22.25 184.34
185 20.19 70.00 22.97 18.14 140.58
186 20.38 43.47 24.76 23.29 190.84
187 20.40 78.86 18.00 12.90 109.43
188 20.38 81.26 16.40 12.72 90.24
189 20.46 20.30 15.00 12.61 115.14
190 20.59 72.87 21.48 14.76 118.88
191 20.68 31.10 20.37 18.55 165.65
192 20.89 28.09 19.90 17.04 158.85
193 20.87 37.70 23.24 20.95 183.86
194 20.77 59.92 23.49 21.49 181.39
195 20.84 40.33 23.01 22.09 180.07
196 20.80 64.88 25.18 19.62 159.35
197 21.04 25.37 20.17 17.00 157.06
198 21.21 45.41 25.60 24.16 188.43
199 21.05 67.57 23.12 18.12 147.76
200 21.15 34.71 22.10 19.52 168.84
201 21.26 47.59 25.13 24.52 205.81
202 21.36 17.86 17.35 13.54 116.22
203 21.38 51.37 24.82 22.87 191.17
204 21.16 20.34 16.34 14.37 124.95
205 21.59 53.44 26.63 23.77 193.66
206 21.62 70.02 26.42 18.75 147.61
207 21.67 42.68 25.99 23.09 187.53
208 21.75 57.86 24.69 21.50 191.56
209 21.77 77.56 22.40 14.05 111.08
210 21.76 61.40 25.20 21.35 173.68
211 21.68 74.66 23.10 15.11 127.10
212 21.74 80.18 20.70 12.56 106.88
213 21.87 32.68 24.01 20.84 173.26
214 22.02 49.26 26.61 25.35 199.79
215 22.18 22.82 18.32 15.26 127.36
216 22.06 30.01 21.07 19.65 169.33
217 22.06 63.60 23.45 21.67 168.84
218 22.10 55.54 25.95 22.63 192.74
219 22.17 36.65 22.54 21.78 197.82
220 22.21 65.80 26.02 20.00 157.72
221 22.03 72.30 25.75 17.36 139.27
222 22.29 40.26 23.86 23.03 198.07
223 22.56 19.51 18.32 13.99 127.73
224 22.40 25.44 20.33 16.61 155.58
225 22.49 67.78 25.87 19.13 146.10
226 22.64 59.60 24.73 22.46 187.52
227 22.81 28.10 22.04 17.21 158.30
228 22.91 16.43 17.41 13.11 118.08
229 22.68 45.04 26.61 23.42 193.42
230 22.84 47.49 26.72 23.30 196.23
231 22.75 81.71 30.66 13.12 110.70
232 22.90 34.76 23.64 21.05 184.69
233 23.00 38.36 25.95 23.54 196.19
234 23.00 50.56 25.71 23.74 190.15
235 22.96 74.20 28.35 16.10 129.56
236 23.03 42.74 26.40 23.43 199.09
237 23.15 53.07 26.32 23.72 188.40
238 23.14 69.69 26.50 17.76 145.27
239 23.15 32.27 24.86 20.71 173.92
240 23.19 76.57 32.18 15.67 129.45
241 23.31 78.99 36.73 14.08 118.18
242 23.40 57.61 26.66 22.91 185.13
243 23.15 62.29 23.96 21.51 169.08
244 23.31 71.94 30.15 17.58 144.52
245 23.59 21.49 21.60 14.48 147.88
246 23.45 55.30 28.24 24.45 200.31
247 23.53 65.13 25.60 21.27 162.92
248 23.82 30.35 25.26 18.82 172.90
249 23.72 26.06 24.33 18.99 167.76
250 23.70 40.77 25.30 24.36 196.62
251 23.68 83.70 43.51 11.63 85.81
252 24.20 24.01 24.61 17.05 156.87
