#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca5 14A 3 even-skipped Kruppel giant

#Data without background
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.18 44.06 0.70 1.83 0.00
1 2.60 46.58 0.00 0.38 0.00
2 2.54 42.87 0.93 0.25 0.00
3 3.04 51.61 0.00 1.42 0.00
4 3.15 47.83 0.00 2.78 0.00
5 3.24 49.36 0.98 0.55 0.00
6 3.23 43.74 1.07 0.00 0.35
7 3.73 42.39 1.84 1.44 0.48
8 3.59 44.96 0.85 2.06 0.00
9 3.46 38.90 1.42 2.69 0.00
10 3.69 37.93 2.29 1.97 0.00
11 3.98 52.32 0.00 0.00 0.00
12 3.97 40.13 0.19 2.41 0.00
13 3.88 46.81 2.30 0.00 0.00
14 4.35 47.21 1.34 0.22 0.00
15 4.18 49.14 0.00 0.00 0.00
16 4.37 38.70 3.47 2.16 0.00
17 4.50 43.61 3.76 0.42 0.84
18 4.69 36.00 2.06 2.53 0.00
19 4.95 41.38 1.39 3.95 0.23
20 4.93 44.75 0.00 1.85 0.00
21 4.80 55.56 0.00 0.44 0.00
22 5.08 51.31 0.45 1.17 0.00
23 5.19 50.01 1.38 0.37 0.00
24 5.05 47.39 1.83 3.20 0.00
25 5.52 48.64 1.65 1.90 0.00
26 5.35 36.93 3.78 0.83 0.00
27 5.45 46.07 1.65 0.00 0.10
28 5.76 43.48 2.74 1.19 0.18
29 6.13 55.86 0.00 0.00 0.00
30 6.03 40.37 1.52 4.26 0.00
31 5.92 36.55 1.43 3.26 0.00
32 6.21 50.46 1.34 0.00 0.10
33 6.21 46.12 0.70 0.00 0.00
34 6.23 57.55 0.00 0.00 0.00
35 6.42 53.38 0.00 0.80 0.74
36 6.56 42.67 2.07 2.42 0.00
37 6.40 41.40 0.37 5.07 0.76
38 6.93 35.73 2.68 3.88 0.00
39 7.33 48.17 0.00 1.11 0.00
40 7.08 44.30 1.46 1.33 0.00
41 7.16 38.60 0.74 5.15 0.00
42 7.21 46.34 1.22 1.64 0.00
43 7.14 52.95 0.85 0.00 0.25
44 7.28 40.60 1.72 3.17 1.11
45 7.33 33.41 0.61 2.01 0.00
46 7.61 50.87 0.11 0.60 0.00
47 7.79 59.93 0.00 0.00 0.37
48 7.67 45.49 0.00 4.16 0.12
49 7.97 34.95 1.17 1.00 0.00
50 8.18 56.96 0.00 0.00 0.28
51 7.93 44.40 1.32 1.09 0.00
52 7.93 46.62 0.00 1.72 0.20
53 8.36 32.40 2.04 0.68 0.00
54 8.28 55.23 0.00 0.00 0.00
55 8.58 33.82 0.85 2.14 0.00
56 8.77 46.92 0.00 2.47 0.55
57 8.90 58.28 0.00 0.00 2.68
58 8.75 41.82 1.50 2.18 0.00
59 8.60 59.71 0.00 0.00 2.78
60 8.94 44.17 0.71 2.95 0.16
61 8.92 51.25 0.00 0.35 0.83
62 9.18 29.59 0.00 0.00 0.00
63 8.99 31.78 0.00 0.39 0.00
64 9.35 47.95 1.25 0.76 0.76
65 9.21 50.03 0.64 0.00 0.43
66 9.25 62.13 0.00 0.00 0.40
67 9.40 54.72 0.53 0.00 1.80
68 9.40 34.83 2.68 0.72 0.36
69 9.56 39.72 0.00 2.92 0.27
70 9.37 32.99 0.00 0.00 0.00
71 9.46 42.04 1.84 0.93 0.00
72 9.91 52.81 0.00 0.00 2.88
73 9.74 32.09 0.00 0.60 0.00
74 9.66 51.48 0.00 0.70 0.80
75 9.85 58.21 0.00 0.00 4.42
76 9.81 28.53 0.00 0.44 0.00
77 10.14 63.41 0.00 0.00 5.21
78 10.07 47.86 0.00 0.00 1.49
79 9.98 26.71 0.00 0.00 0.00
80 10.15 60.51 0.00 0.00 4.85
81 10.30 36.46 0.27 1.27 1.14
82 10.19 30.54 1.60 0.64 0.51
83 10.38 50.69 0.00 0.64 2.24
84 10.77 54.85 0.80 0.00 4.02
85 10.35 56.73 0.00 0.00 4.56
86 10.59 37.67 0.00 3.75 1.11
87 10.58 27.63 0.00 0.00 0.00
88 10.62 31.78 0.00 0.00 0.79
89 10.79 40.19 0.00 3.01 1.17
90 10.57 61.74 0.55 0.00 6.52
91 10.66 33.50 0.00 0.57 0.59
92 10.84 43.63 0.71 1.44 1.76
93 10.67 58.62 0.59 0.00 4.98
94 10.78 29.83 1.71 0.00 0.36
95 10.96 45.26 0.82 0.28 1.76
96 11.09 48.10 0.00 0.72 2.93
97 11.38 52.65 0.00 0.81 4.51
98 11.13 50.29 0.39 0.00 4.05
99 11.39 57.23 0.00 0.00 7.00
100 11.32 60.40 0.86 0.00 9.14
101 11.13 34.50 0.56 0.00 1.50
102 11.22 42.23 0.31 1.72 2.51
103 11.45 66.14 0.00 0.00 9.33
104 11.34 62.92 0.00 0.00 7.99
105 11.48 25.51 0.00 0.00 0.00
106 11.49 37.19 0.00 1.73 2.35
107 11.55 59.02 0.00 0.00 10.87
108 11.34 32.69 0.37 0.47 0.00
109 11.93 45.93 0.00 1.39 3.15
110 11.80 34.86 0.00 0.72 0.42
111 12.06 42.67 0.19 0.00 3.83
112 12.02 56.27 0.00 0.00 8.49
113 12.01 33.37 0.00 0.00 2.00
114 12.04 49.90 0.00 0.00 5.66
115 12.19 54.22 0.00 0.08 9.21
116 12.31 26.98 0.00 0.00 2.62
117 12.26 61.74 0.08 0.00 11.39
118 12.14 38.51 0.00 1.54 2.72
119 12.62 64.37 0.23 0.00 18.38
120 12.52 39.47 0.00 2.97 3.31
121 12.85 36.62 0.00 1.44 3.45
122 12.69 58.82 0.00 0.00 15.66
123 12.56 41.17 0.46 1.15 2.74
124 12.63 47.73 0.00 0.82 7.24
125 12.77 67.79 0.00 0.00 18.61
126 12.78 32.57 0.85 0.00 3.05
127 12.73 38.07 0.00 0.00 1.75
128 12.99 51.55 0.00 0.79 10.03
129 13.12 56.10 0.00 0.00 15.31
130 13.09 30.68 0.00 0.00 2.36
131 12.93 26.40 0.00 0.00 4.51
132 13.45 46.49 0.00 0.78 10.90
133 13.45 25.13 0.00 0.00 4.32
134 13.18 44.21 0.35 0.00 5.54
135 13.70 28.41 0.00 0.00 6.91
136 13.62 60.66 0.00 0.00 23.44
137 13.35 40.53 0.14 0.00 5.46
138 13.86 35.77 0.00 0.14 6.37
139 13.62 49.23 0.00 0.86 12.54
140 13.72 53.89 0.00 0.00 18.10
141 13.62 22.14 0.00 0.00 3.25
142 13.78 63.63 0.00 0.00 27.18
143 13.92 69.39 0.00 0.00 23.65
144 13.98 33.01 0.00 0.47 7.66
145 14.11 57.61 0.00 0.00 22.27
146 14.19 66.57 0.00 0.00 26.57
147 14.03 44.78 0.00 0.36 13.02
148 14.16 30.65 0.00 0.40 10.23
149 14.43 51.63 0.09 0.00 22.89
150 14.33 26.51 0.00 0.00 11.06
151 14.23 38.80 0.00 2.03 7.90
152 14.39 41.05 0.00 0.05 12.47
153 14.93 55.10 0.00 0.00 31.95
154 14.90 21.72 0.00 0.00 12.66
155 14.53 44.11 0.00 0.71 14.78
156 15.07 46.06 0.00 0.47 21.93
157 14.87 62.13 0.00 0.00 35.77
158 14.86 48.82 0.00 0.00 24.86
159 15.09 36.94 0.00 0.79 14.81
160 15.16 43.18 0.00 0.00 20.48
161 15.21 58.62 0.00 0.00 36.43
162 15.01 24.29 0.00 0.00 15.90
163 15.21 39.28 0.00 0.00 16.42
164 15.26 34.60 0.00 0.00 13.96
165 15.31 69.64 0.64 0.00 29.64
166 15.42 65.00 0.70 0.00 40.11
167 15.40 30.68 0.00 0.32 17.57
168 15.67 28.32 0.00 0.00 20.59
169 15.56 52.56 0.00 0.51 36.17
170 15.56 25.10 0.00 0.00 14.95
171 15.90 32.78 0.00 0.00 19.96
172 15.98 41.24 0.00 0.08 26.29
173 15.92 60.98 1.34 0.00 45.83
174 15.98 50.18 0.00 0.00 37.36
175 16.11 72.67 0.23 0.00 33.17
176 16.20 67.34 1.46 0.00 41.90
177 16.19 47.64 0.00 0.47 39.23
178 16.16 56.46 0.00 0.00 44.80
179 16.37 44.21 0.00 0.06 35.46
180 16.33 37.89 0.00 0.00 25.57
181 16.56 21.10 0.00 0.00 28.89
182 16.51 26.53 0.00 0.00 29.76
183 16.64 63.29 1.29 0.00 51.30
184 16.58 53.61 0.00 0.00 50.10
185 16.75 23.74 0.00 0.00 32.75
186 16.65 35.01 0.00 0.30 30.76
187 16.78 59.31 0.25 0.00 56.99
188 16.78 69.82 2.40 0.00 39.74
189 17.14 31.89 0.00 0.00 39.30
190 17.18 29.09 0.00 0.00 38.16
191 17.19 51.20 0.00 0.90 60.40
192 17.25 65.68 2.18 0.00 53.34
193 17.32 45.98 0.00 0.00 57.15
194 17.19 41.09 0.00 0.00 45.37
195 17.37 55.47 0.58 0.00 66.18
196 17.39 48.59 0.00 0.00 60.30
197 17.54 38.89 0.00 0.00 48.25
198 17.70 36.65 0.00 0.15 51.78
199 17.76 57.91 0.62 0.00 66.27
200 17.70 43.21 0.00 0.00 61.73
201 17.67 72.72 2.85 0.00 41.33
202 17.93 60.86 0.00 0.00 64.84
203 17.81 25.28 0.00 0.00 44.03
204 17.78 19.50 0.00 0.00 38.11
205 17.99 34.27 0.00 0.00 54.55
206 17.89 26.74 0.00 0.00 43.60
207 18.18 53.38 0.47 0.00 67.81
208 18.16 63.45 2.30 0.00 67.18
209 18.12 69.93 3.85 0.00 51.05
210 18.31 67.22 3.01 0.00 57.68
211 18.28 22.31 0.00 0.00 47.45
212 18.39 30.07 0.00 0.00 59.42
213 18.37 50.27 0.39 0.00 75.11
214 18.53 75.72 6.53 0.00 41.20
215 18.62 40.40 0.00 0.00 69.97
216 18.64 45.04 0.00 0.94 81.07
217 18.58 47.82 0.00 0.00 79.94
218 18.75 56.29 0.00 0.00 76.63
219 18.80 32.59 0.33 0.00 67.23
220 18.97 27.57 0.00 0.00 65.23
221 19.04 42.77 0.00 0.00 82.83
222 18.99 36.88 0.00 0.00 70.90
223 19.17 19.01 0.00 0.00 54.19
224 19.22 24.47 0.00 0.00 63.79
225 19.14 59.05 0.00 0.00 79.12
226 19.25 65.16 4.87 0.00 74.19
227 19.29 52.08 1.59 0.00 81.35
228 19.25 72.45 5.97 0.00 47.19
229 19.34 62.24 1.66 0.00 78.27
230 19.45 69.18 6.51 0.00 59.73
231 19.65 34.73 0.00 0.00 80.47
232 19.68 38.96 0.00 0.00 84.67
233 19.57 46.59 2.36 0.89 94.85
234 19.65 54.74 0.00 0.00 82.21
235 19.68 30.76 0.00 0.00 80.55
236 19.73 49.69 0.28 0.00 88.10
237 19.94 21.33 0.00 0.00 63.09
238 19.83 77.94 12.46 0.00 41.50
239 19.94 75.05 14.05 0.00 52.00
240 20.15 41.64 1.48 0.00 98.68
241 20.20 44.54 1.92 0.00 90.34
242 20.27 57.39 1.74 0.00 86.22
243 20.32 26.41 0.86 0.00 83.96
244 20.26 60.46 3.32 0.00 84.75
245 20.25 66.65 8.48 0.00 73.20
246 20.36 28.78 1.00 0.09 88.17
247 20.46 18.43 0.00 0.30 55.67
248 20.53 32.66 0.00 0.14 94.26
249 20.56 37.13 0.00 0.00 96.68
250 20.52 63.82 6.49 0.00 77.99
251 20.53 53.13 2.13 0.00 92.72
252 20.61 71.26 10.73 0.00 60.80
253 20.68 48.04 0.00 0.00 93.15
254 20.80 23.90 0.14 0.00 77.35
255 20.95 68.79 13.03 0.00 72.25
256 20.92 50.47 0.42 0.30 98.54
257 21.10 34.82 0.70 0.03 98.59
258 21.02 39.81 0.00 0.00 99.53
259 21.23 55.48 2.36 0.87 91.28
260 21.10 73.85 15.48 0.00 62.47
261 21.16 77.08 15.86 0.00 47.11
262 21.30 15.60 0.00 0.35 57.24
263 21.37 46.51 2.91 0.00 95.78
264 21.41 21.52 0.42 0.00 74.94
265 21.44 30.79 0.23 0.00 97.67
266 21.39 61.89 6.56 0.00 85.02
267 21.43 42.17 2.77 0.85 104.71
268 21.35 59.22 4.24 0.00 90.68
269 21.60 44.52 0.82 0.00 97.56
270 21.56 66.09 9.12 0.00 80.22
271 21.71 28.40 3.43 0.00 98.55
272 21.80 26.09 1.73 0.00 93.46
273 21.63 52.58 2.75 0.00 94.46
274 21.78 18.92 0.37 0.00 67.42
275 21.99 36.47 1.19 0.00 102.53
276 22.05 57.36 6.94 0.00 93.96
277 22.18 33.10 2.17 1.00 103.15
278 22.11 38.71 1.98 0.00 104.69
279 22.03 71.63 19.28 0.00 75.77
280 22.15 50.07 4.25 0.00 98.99
281 22.17 63.90 11.84 0.00 85.81
282 22.36 48.08 3.34 0.00 97.50
283 22.26 69.11 17.42 0.00 84.04
284 22.35 74.62 26.17 0.00 66.75
285 22.50 23.63 0.94 0.00 84.01
286 22.47 77.66 40.20 0.00 62.29
287 22.57 40.98 2.42 0.00 102.82
288 22.51 54.94 3.43 0.00 101.97
289 22.44 60.80 6.41 0.00 93.21
290 22.57 17.11 2.87 0.04 68.86
291 22.62 43.51 3.47 0.18 102.08
292 22.78 30.53 4.30 0.36 96.98
293 22.73 52.31 5.29 0.65 102.02
294 22.93 46.13 2.33 0.00 93.40
295 22.85 66.71 16.56 0.00 83.15
296 22.91 80.63 49.52 0.00 57.64
297 23.05 20.96 3.08 0.00 79.29
298 22.99 35.21 4.30 0.00 103.04
299 23.26 28.28 5.98 0.00 99.27
300 23.17 58.62 9.00 0.00 99.96
301 23.19 25.89 4.53 0.00 94.61
302 23.37 15.17 3.81 0.42 74.64
303 23.38 37.79 6.10 0.00 103.61
304 23.36 72.15 37.41 0.00 82.17
305 23.54 56.28 10.93 0.00 103.59
306 23.31 63.82 18.78 0.07 99.98
307 23.54 32.34 5.11 0.00 106.15
308 23.61 48.61 6.37 0.00 106.52
309 23.56 69.17 34.34 0.00 89.15
310 23.68 50.92 7.95 0.00 106.88
311 23.60 61.05 11.88 0.00 95.24
312 23.78 18.36 4.31 0.43 79.94
313 23.69 40.42 5.23 0.00 110.11
314 23.71 53.71 10.75 0.00 105.20
315 23.66 75.08 55.39 0.00 83.11
316 23.65 43.24 3.43 0.79 111.43
317 23.84 78.37 71.11 0.00 73.36
318 23.93 23.29 5.17 0.00 83.21
319 24.07 45.75 7.48 0.91 109.49
320 24.23 13.40 6.26 0.55 66.27
321 24.10 34.78 10.53 1.37 106.55
322 24.05 65.79 31.40 0.00 94.75
323 24.42 81.81 78.48 0.00 58.47
324 24.29 29.93 7.83 0.00 97.44
325 24.35 26.27 8.18 0.00 98.71
326 24.60 58.20 18.57 0.00 108.84
327 24.65 20.46 9.13 0.00 85.04
328 24.47 62.96 28.17 0.00 95.02
329 24.60 39.04 7.39 0.46 117.36
330 24.61 70.84 63.23 0.00 97.04
331 24.75 36.85 8.12 0.35 105.76
332 24.70 67.90 48.05 0.00 102.59
333 24.64 42.20 9.92 0.00 116.18
334 24.83 16.23 8.77 0.00 81.61
335 24.79 32.75 12.70 0.00 106.52
336 24.79 50.04 13.57 0.13 113.15
337 24.83 52.72 16.94 0.00 104.48
338 24.82 60.40 21.15 0.00 105.29
339 24.86 47.62 13.15 0.00 120.06
340 24.72 55.86 19.02 0.00 110.91
341 24.81 76.32 86.83 0.00 84.89
342 25.04 73.55 78.84 0.00 92.06
343 25.01 44.70 13.33 0.00 123.54
344 25.25 28.24 16.42 0.00 103.46
345 25.23 23.04 14.29 0.00 100.42
346 25.31 79.12 96.22 0.00 72.30
347 25.43 66.02 57.11 0.00 100.91
348 25.50 63.67 48.70 0.00 101.68
349 25.50 25.56 17.93 0.00 102.44
350 25.56 31.09 19.97 0.00 104.47
351 25.62 35.29 12.11 0.00 110.44
352 25.60 40.58 15.05 0.00 127.87
353 25.72 18.43 15.03 0.00 89.67
354 25.52 13.16 15.06 0.09 65.61
355 25.65 54.43 35.96 0.37 125.70
356 25.78 51.44 26.33 0.29 117.60
357 25.92 56.76 36.26 0.00 120.81
358 25.95 68.74 85.00 0.00 106.50
359 25.97 38.17 20.02 0.32 126.81
360 25.94 71.32 99.31 0.00 103.49
361 25.80 81.90 95.30 0.00 68.46
362 25.92 43.23 17.94 0.56 122.55
363 25.99 46.14 24.14 0.00 129.87
364 25.98 61.14 41.77 0.00 110.90
