#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
fa2 14A 6 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
139 15.91 26.24 16.90 16.76 138.69
140 15.95 68.57 22.44 70.75 122.73
141 15.99 71.29 21.05 68.89 118.20
142 16.14 48.85 23.75 45.91 167.56
143 16.20 54.28 25.09 97.58 171.10
144 16.20 51.70 24.63 74.32 183.13
145 16.28 29.11 17.85 17.66 142.85
146 16.28 56.98 25.31 104.11 177.38
147 16.39 59.82 25.86 104.12 163.17
148 16.41 36.59 19.12 19.03 167.76
149 16.59 41.39 22.85 23.08 167.36
150 16.32 73.93 20.26 63.81 100.41
151 16.39 46.17 23.36 30.90 176.69
152 16.54 24.16 15.40 15.51 130.91
153 16.66 64.16 23.84 89.16 143.83
154 16.88 34.37 20.50 18.49 168.00
155 17.03 43.64 22.58 26.36 171.41
156 17.15 31.90 18.23 17.89 141.78
157 17.07 38.94 21.93 22.05 173.10
158 17.25 66.67 23.85 77.95 125.53
159 16.98 79.60 14.27 63.52 61.70
160 17.28 78.37 17.26 62.37 79.49
161 17.45 61.68 25.36 103.74 159.71
162 17.45 69.65 22.61 68.95 113.23
163 17.47 52.95 26.67 76.47 169.80
164 17.64 50.54 24.01 51.46 178.21
165 17.43 75.98 19.32 65.33 95.98
166 17.59 58.04 25.63 103.59 171.98
167 17.66 72.63 20.17 66.92 104.82
168 17.45 22.07 14.91 14.95 122.35
169 17.63 48.06 24.35 34.05 176.80
170 17.63 26.98 19.07 17.64 136.30
171 17.71 55.47 26.09 89.67 166.76
172 17.75 29.01 18.02 17.72 158.64
173 17.90 45.52 22.27 27.82 170.69
174 18.00 24.44 17.10 16.06 152.33
175 18.15 37.34 20.56 20.42 170.61
176 18.20 80.93 13.94 61.07 56.79
177 18.25 40.28 21.42 22.31 167.92
178 18.30 64.26 25.13 97.67 144.43
179 18.37 34.68 20.08 19.55 157.30
180 18.40 42.87 23.97 23.91 173.24
181 18.59 59.42 26.55 106.67 158.08
182 18.63 20.76 14.70 14.22 131.16
183 18.63 78.14 19.06 71.35 93.98
184 18.77 74.74 21.10 65.61 105.28
185 18.87 31.96 18.74 18.66 165.11
186 18.81 66.73 24.78 81.46 129.06
187 18.75 53.79 24.69 67.83 172.66
188 18.85 61.69 27.17 112.48 152.28
189 18.84 69.34 23.25 78.11 128.25
190 19.01 48.89 24.06 33.49 179.82
191 19.16 46.49 25.38 27.04 181.82
192 19.16 51.38 24.37 44.13 178.55
193 19.01 56.79 26.83 96.03 170.92
194 19.21 26.63 18.79 17.75 144.40
195 19.21 71.72 22.83 74.05 115.89
196 19.28 29.40 19.71 19.27 155.99
197 19.52 23.78 16.67 17.70 141.68
198 19.65 40.87 23.75 22.41 177.29
199 19.58 43.70 24.63 24.06 169.79
200 19.54 37.54 22.89 20.66 172.19
201 19.58 81.61 15.50 62.06 76.61
202 19.78 18.64 13.31 13.48 115.18
203 19.79 34.30 20.87 20.10 163.20
204 19.85 62.92 24.94 101.58 140.50
