#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
dm4 14A 3 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
139 15.01 36.14 18.97 22.73 228.68
140 15.14 42.50 17.48 29.01 221.05
141 15.32 56.76 19.15 96.01 207.48
142 15.25 75.75 11.21 71.63 120.29
143 15.11 38.71 16.12 23.52 221.83
144 15.15 61.79 16.53 91.04 195.18
145 15.29 33.37 15.96 20.08 206.85
146 15.28 70.11 15.82 78.86 175.60
147 15.36 54.33 18.70 90.27 221.19
148 15.53 52.19 19.85 84.59 214.94
149 15.50 59.18 17.68 96.15 204.71
150 15.90 44.88 17.95 33.90 210.52
151 15.70 49.62 19.22 63.48 221.55
152 15.92 65.61 16.36 81.06 183.12
153 15.98 72.24 15.51 73.72 180.48
154 15.96 40.51 18.01 26.36 220.87
155 15.99 26.98 14.57 17.90 186.09
156 16.13 68.08 18.24 81.39 186.12
157 16.31 31.94 17.85 18.67 202.48
158 16.16 47.26 20.31 45.59 223.95
159 16.22 37.25 18.47 22.59 223.60
160 16.27 63.27 17.24 81.46 195.90
161 16.34 24.11 14.39 15.75 190.25
162 16.51 34.64 17.00 20.72 208.40
163 16.40 60.93 19.61 90.46 211.78
164 16.53 74.58 14.52 74.15 159.34
165 16.57 20.35 11.94 13.32 139.13
166 16.57 29.67 15.22 17.88 197.64
167 16.49 42.61 17.94 27.82 220.62
168 16.53 54.85 20.18 89.73 210.97
169 16.70 58.62 19.06 90.20 204.41
170 16.75 77.14 12.78 70.13 122.98
171 16.85 51.93 19.87 74.03 216.54
172 16.93 70.22 17.50 76.75 180.11
173 17.04 38.96 17.83 22.63 222.54
174 16.94 49.56 19.64 50.46 222.07
175 17.35 22.54 13.98 14.25 180.60
176 17.36 56.94 21.40 98.32 216.86
177 17.38 44.03 19.00 29.15 222.98
178 17.36 46.36 19.07 32.61 209.64
179 17.37 64.66 20.23 84.93 191.31
180 17.57 41.03 17.98 24.24 218.89
181 17.44 67.56 18.08 80.81 183.77
182 17.63 25.88 15.41 17.37 178.42
183 17.52 36.45 16.77 22.01 222.66
184 17.54 61.97 19.06 84.86 195.04
185 17.70 28.71 16.18 18.79 187.37
186 17.75 73.20 17.36 69.12 181.72
187 17.81 31.72 16.24 18.70 197.72
188 17.69 54.81 21.92 82.93 221.61
189 18.07 34.17 18.46 19.00 209.71
190 17.89 48.56 17.59 37.54 227.77
191 17.97 75.93 16.04 64.87 164.84
192 18.00 59.40 20.14 86.44 203.02
193 18.13 53.04 20.11 68.41 216.24
194 18.21 70.69 18.85 70.69 182.36
195 18.60 50.21 21.01 42.17 210.25
196 18.32 38.72 17.44 22.43 216.83
197 18.40 78.73 11.42 55.28 108.47
198 18.54 21.25 14.96 16.65 173.58
199 18.36 42.65 19.80 25.94 215.96
200 18.54 66.07 18.94 78.48 196.50
201 18.65 45.10 20.18 28.12 214.40
202 18.81 23.88 16.63 16.61 184.26
203 18.67 56.54 21.68 85.26 215.04
204 18.79 63.69 20.92 79.60 201.85
205 18.85 68.39 19.32 76.83 187.99
206 18.81 61.35 20.57 83.17 204.23
207 19.11 19.35 14.30 14.27 151.96
208 18.84 36.41 18.21 21.86 222.62
209 18.97 47.54 20.48 31.68 209.69
210 18.93 27.88 16.78 18.30 200.27
211 19.08 40.55 19.33 21.06 224.08
212 18.99 52.08 21.56 51.36 223.82
213 19.20 30.39 17.68 19.40 201.53
214 19.29 32.69 18.62 18.74 208.46
215 19.26 73.36 17.87 63.65 176.38
216 19.32 58.94 21.16 79.24 201.41
217 19.51 54.28 23.01 59.50 214.74
218 19.39 75.96 18.81 58.59 174.04
219 19.74 25.97 18.45 18.18 194.85
220 19.58 42.97 20.14 24.61 221.73
221 19.67 80.01 15.24 49.64 136.45
222 19.77 17.14 11.23 12.94 113.65
223 19.73 34.76 19.59 21.18 220.95
224 19.65 70.76 21.21 68.34 181.48
225 19.72 38.24 19.01 20.97 226.44
226 19.88 65.67 20.36 80.44 199.14
227 19.93 45.58 20.77 28.17 212.99
228 19.92 56.49 22.35 68.62 213.90
229 20.02 49.45 21.82 31.45 215.15
230 20.08 77.76 18.38 55.96 172.07
231 20.18 60.97 22.41 75.94 210.13
232 20.26 21.76 16.05 15.98 173.68
233 20.14 63.22 21.67 78.38 202.26
234 20.19 68.23 21.16 71.64 178.71
235 20.34 28.58 18.29 18.28 185.35
236 20.31 40.87 21.45 23.05 222.15
237 20.28 51.82 21.03 38.58 219.35
238 20.59 31.21 18.54 18.78 200.88
239 20.61 47.55 23.44 28.16 220.69
240 20.69 19.48 15.28 15.02 156.81
241 20.72 24.17 17.67 16.70 183.67
242 20.67 36.34 19.25 19.56 215.87
243 20.62 58.56 22.84 69.99 217.73
244 20.73 72.94 21.83 60.76 176.80
245 20.83 43.67 22.43 24.44 222.01
246 20.97 33.57 19.60 19.71 219.06
247 20.58 75.91 22.71 51.19 172.43
248 20.98 53.68 22.31 49.68 216.81
249 21.00 38.91 20.37 20.63 212.34
250 21.12 70.28 23.91 59.81 183.49
251 21.17 74.94 20.03 58.10 168.36
252 21.23 55.95 25.72 56.22 214.22
253 21.15 65.24 23.32 72.97 199.21
254 21.38 26.74 18.66 17.42 189.26
255 21.28 78.33 20.84 50.44 172.42
256 21.26 50.51 22.76 29.92 217.03
257 21.47 17.54 13.70 14.12 142.21
258 21.49 45.61 22.83 23.91 213.46
259 21.34 62.50 23.50 73.89 210.65
260 21.39 41.56 21.99 23.54 220.80
261 21.50 67.51 23.37 65.21 191.79
262 21.52 60.28 23.43 66.01 207.22
263 21.79 29.41 18.53 18.91 209.20
264 21.85 80.99 18.48 40.31 142.90
265 21.93 22.11 18.42 15.93 182.76
266 21.85 47.91 24.85 28.26 221.08
267 21.85 37.53 21.74 21.08 223.28
268 21.90 58.00 25.83 58.04 214.30
269 21.98 35.31 20.56 19.27 218.88
270 22.08 31.83 20.12 18.47 212.48
271 22.20 43.50 23.71 24.49 220.69
272 22.21 52.28 24.81 36.06 220.73
273 22.19 72.93 23.24 53.85 175.69
274 22.37 19.81 16.21 15.47 170.83
275 22.20 54.64 24.72 45.65 222.46
276 22.36 24.71 18.85 17.25 187.37
277 22.24 64.11 24.63 73.10 202.87
278 22.28 76.28 23.88 49.75 181.17
279 22.49 40.96 23.05 22.91 223.62
280 22.36 69.41 22.29 56.51 189.97
281 22.36 49.83 24.69 28.51 219.01
282 22.71 38.96 21.23 22.97 217.84
283 22.65 61.88 27.31 60.97 208.50
284 22.76 66.42 25.47 64.82 190.81
285 22.80 33.76 21.57 20.12 217.23
286 22.76 79.14 23.69 43.94 167.55
287 22.85 27.39 18.21 16.85 197.28
288 22.81 59.69 26.96 52.40 216.13
289 22.84 46.05 23.55 22.62 216.96
290 22.94 17.32 16.63 14.33 156.11
291 23.02 57.12 28.49 50.31 223.82
292 23.11 36.71 22.97 21.60 219.24
293 23.22 70.96 28.21 54.95 198.19
294 23.28 74.88 26.66 44.21 182.03
295 23.27 29.77 20.11 18.11 203.64
296 23.30 48.27 28.02 26.08 221.30
297 23.28 82.98 21.96 32.31 114.82
298 23.48 50.59 26.11 26.22 226.40
299 23.25 54.71 25.63 40.22 222.62
300 23.54 22.68 18.94 16.30 189.68
301 23.41 44.02 25.01 23.72 228.96
302 23.49 63.92 28.76 60.36 209.68
303 23.70 52.53 27.94 32.29 221.65
304 23.69 32.03 19.99 19.45 213.86
305 23.60 41.78 25.40 23.44 221.08
306 23.82 80.62 28.82 34.17 163.14
307 23.67 68.49 27.38 53.99 196.35
308 23.87 14.84 14.60 13.46 128.51
309 23.86 20.35 18.83 16.98 181.50
310 23.79 25.29 20.79 17.00 197.83
311 23.86 77.50 28.77 39.17 173.36
312 23.92 39.57 26.44 21.64 221.01
313 24.01 34.96 23.20 21.95 212.57
314 24.02 72.72 27.94 44.52 178.95
315 23.96 61.55 29.03 50.17 208.63
316 24.03 59.05 30.92 46.14 221.84
317 24.09 65.82 29.92 53.93 206.81
318 24.19 46.77 27.16 25.08 223.22
319 24.41 27.70 22.13 17.60 198.28
320 24.28 17.88 18.62 14.87 170.96
321 24.33 37.39 25.22 21.62 219.98
322 24.24 56.44 30.76 35.33 223.21
323 24.44 54.22 31.08 30.61 223.87
324 24.51 44.65 29.25 24.02 221.49
325 24.67 42.67 27.81 25.43 221.72
326 24.54 49.40 28.18 25.40 224.45
327 24.56 84.23 28.10 23.47 93.69
328 24.70 70.25 34.17 41.66 199.22
329 24.70 30.23 22.48 17.86 208.60
330 24.73 75.37 33.73 36.61 176.62
331 24.85 33.18 23.70 19.07 218.56
332 24.95 64.04 34.33 46.61 206.41
333 24.85 67.41 31.68 46.63 209.33
334 24.92 40.32 26.99 22.78 214.87
335 25.04 22.35 22.37 16.26 185.25
336 25.04 81.75 39.35 27.12 155.40
337 24.94 52.01 32.41 27.62 223.59
338 25.15 57.59 37.14 37.95 228.41
339 25.21 78.15 35.37 29.78 164.25
340 25.18 25.25 21.67 17.05 190.22
341 25.15 61.98 36.55 40.12 216.80
342 25.24 15.97 19.13 14.44 151.78
343 25.30 59.87 36.45 40.45 216.87
344 25.35 35.53 27.06 21.37 216.42
345 25.11 79.74 41.43 28.00 176.53
346 25.40 19.58 20.76 16.11 171.30
347 25.39 72.76 40.27 37.06 187.92
348 25.41 47.74 31.99 26.67 222.89
349 25.56 38.06 27.74 21.90 217.10
350 25.52 45.38 30.90 22.10 222.06
351 25.52 54.99 37.28 29.63 219.96
352 25.65 50.22 36.06 24.76 230.51
353 25.77 29.02 24.24 17.47 205.02
354 25.80 65.84 39.96 39.00 207.29
355 25.82 31.84 25.00 18.53 206.83
356 25.74 42.09 31.17 23.00 224.22
357 25.80 68.52 41.63 36.73 205.76
358 26.00 75.11 37.59 29.12 176.46
359 26.00 83.70 48.07 20.64 134.24
360 26.01 52.80 42.12 24.99 221.71
361 26.38 14.03 20.23 13.51 134.85
362 26.26 26.90 23.83 17.52 199.82
363 26.15 40.09 31.52 23.21 226.02
364 26.22 70.91 47.70 33.48 190.84
365 26.27 34.31 29.04 18.56 211.98
366 26.18 58.28 49.09 33.13 215.53
367 26.47 80.38 51.72 25.90 172.32
368 26.32 23.66 25.04 15.10 194.59
369 26.38 43.80 39.32 24.09 232.26
370 26.22 61.87 46.83 36.19 219.20
371 26.52 64.03 49.37 33.78 210.56
372 26.54 16.50 25.15 15.20 159.36
373 26.52 55.92 51.33 28.27 221.93
374 26.61 77.81 49.49 25.10 172.22
375 26.72 21.19 26.09 15.70 185.75
376 26.63 36.53 32.16 22.78 219.26
377 26.53 46.24 36.98 22.98 223.17
378 26.51 48.73 41.62 24.65 229.90
379 26.60 18.76 24.82 15.79 183.25
380 26.84 51.27 50.32 27.39 220.65
381 26.94 73.50 49.67 26.44 182.40
382 26.87 30.17 29.28 19.16 206.00
383 26.99 59.97 55.72 30.74 214.97
384 27.02 38.75 36.98 21.81 221.67
385 27.04 66.32 57.99 30.17 208.18
386 27.03 68.92 61.10 29.99 199.56
387 26.99 32.67 30.04 17.84 212.01
388 27.07 53.79 59.29 25.02 224.77
389 27.13 82.69 63.44 21.83 169.63
390 27.12 41.66 46.41 21.35 221.96
391 27.39 85.38 59.06 18.51 119.19
392 27.37 25.51 28.75 16.87 191.68
393 27.26 57.66 68.22 28.91 224.34
394 27.37 62.13 66.71 27.59 215.97
395 27.58 28.00 30.63 18.16 199.66
396 27.41 44.29 53.19 22.67 223.04
397 27.52 47.13 56.85 23.96 224.43
398 27.56 71.28 61.65 27.74 199.37
399 27.60 75.85 56.40 22.95 175.48
400 27.70 34.96 35.89 20.50 214.34
401 27.52 49.34 60.49 22.43 220.69
402 27.74 22.96 32.73 15.72 185.28
403 27.87 55.47 80.89 25.16 213.42
404 27.84 64.28 75.62 27.04 212.47
405 28.02 13.69 33.99 13.01 132.85
406 27.92 16.39 35.33 15.55 172.33
407 27.89 19.08 37.05 14.96 184.77
408 27.99 37.23 42.33 20.54 220.87
409 28.14 78.58 62.94 23.02 172.55
410 28.00 52.43 80.01 24.05 213.87
411 28.16 39.62 55.57 22.65 216.24
412 28.09 30.12 36.76 18.92 204.79
413 28.09 67.94 82.97 27.71 206.02
414 28.12 81.09 69.81 20.98 174.40
415 28.10 32.62 36.88 19.82 211.36
416 28.26 60.07 92.51 26.41 215.79
417 28.43 41.59 68.25 22.54 220.28
418 28.38 45.62 77.63 22.71 222.63
419 28.41 73.05 66.11 23.47 182.28
420 28.29 57.77 97.14 26.20 221.99
421 28.45 50.35 89.51 24.75 219.57
422 28.54 43.56 73.03 24.23 226.57
423 28.62 66.05 104.09 25.19 211.32
424 28.69 21.17 44.64 17.76 189.70
425 28.57 62.37 104.74 25.91 216.70
426 28.71 83.29 70.20 19.83 159.27
427 28.69 26.48 44.23 18.48 201.02
428 28.66 47.75 92.98 23.76 228.76
429 28.67 70.06 88.19 25.64 202.29
430 28.82 85.90 71.38 19.62 137.52
431 29.03 24.10 52.34 16.99 193.89
432 28.94 53.90 122.50 25.07 218.94
433 28.89 75.65 75.39 21.94 174.05
434 29.02 34.01 48.63 20.90 218.30
435 29.12 36.11 57.02 21.45 218.70
436 29.07 56.21 117.76 27.00 219.60
437 29.08 11.03 42.22 12.82 99.12
438 29.23 28.73 49.21 17.61 200.82
439 29.12 31.31 51.23 19.92 210.83
440 29.30 15.98 62.95 15.81 173.18
441 29.33 18.91 63.04 17.71 180.14
442 29.20 38.29 73.70 22.54 214.63
443 29.33 64.55 118.20 23.30 207.85
444 29.42 51.67 124.25 25.39 209.35
445 29.37 58.45 128.48 25.51 217.77
446 29.46 80.37 68.91 22.52 167.62
447 29.52 13.39 61.21 14.10 147.75
448 29.50 67.91 107.44 25.85 208.13
449 29.62 40.41 88.63 22.76 211.06
450 29.58 60.67 138.38 25.15 218.17
451 29.63 44.74 108.10 26.32 222.60
452 29.54 49.30 123.74 25.07 216.96
453 29.71 42.60 103.45 23.72 224.68
454 29.57 77.91 74.80 22.52 166.43
455 29.68 73.18 91.11 22.81 185.75
456 29.82 70.50 105.83 22.95 194.90
457 29.81 46.85 114.76 23.49 218.92
458 29.87 62.73 131.67 24.61 222.44
459 29.86 22.24 70.55 16.28 199.93
460 30.06 83.86 68.32 18.82 160.36
461 30.04 26.06 79.24 17.62 202.46
462 30.11 55.16 145.56 26.38 218.98
463 30.02 33.11 67.92 21.24 213.85
464 30.33 86.63 66.45 18.91 131.80
465 30.23 75.61 84.27 23.08 180.51
466 30.16 30.69 81.52 21.04 224.27
467 30.30 53.12 152.25 26.05 209.90
468 30.36 35.35 81.65 22.04 213.99
469 30.37 37.70 104.53 23.34 211.63
470 30.47 11.22 72.16 13.05 114.37
471 30.48 17.50 99.12 14.86 180.26
472 30.50 57.21 143.59 26.00 220.08
473 30.26 78.36 71.85 22.28 155.15
474 30.52 28.13 85.13 19.62 210.16
475 30.65 20.49 86.34 15.84 180.82
476 30.56 59.42 146.17 25.42 223.79
477 30.59 64.76 129.43 24.65 209.47
478 30.57 67.16 119.75 25.02 206.50
479 30.77 14.63 97.24 15.31 162.50
480 30.71 24.22 96.53 18.32 202.03
481 30.62 48.76 144.56 24.33 211.64
482 30.82 50.91 139.82 25.26 209.76
483 30.78 81.12 72.03 22.04 162.01
484 30.91 39.71 117.37 24.72 210.46
485 30.86 42.19 125.28 22.44 214.11
486 30.77 44.80 142.87 24.54 224.31
487 30.84 72.21 100.87 21.99 194.94
488 30.91 61.90 154.98 26.16 219.61
489 31.03 69.45 107.50 23.21 197.33
490 31.20 46.82 152.75 25.87 216.15
491 31.04 32.72 102.38 21.30 202.14
492 31.22 30.10 109.67 19.85 206.26
493 31.30 78.07 75.99 21.27 163.64
494 31.50 9.23 71.46 12.04 88.84
495 31.35 54.95 151.74 23.85 211.11
496 31.38 74.67 88.85 21.42 184.70
497 31.63 22.85 124.21 17.06 195.25
498 31.50 36.61 123.69 19.29 212.08
499 31.57 52.63 157.46 25.36 216.33
500 31.60 83.63 67.16 19.42 160.87
501 31.74 34.53 119.10 21.71 206.06
502 31.78 18.12 114.24 16.71 182.13
503 31.78 25.49 123.47 16.78 201.70
504 31.77 12.50 97.42 13.97 150.17
505 31.79 27.87 119.55 17.99 197.23
506 31.73 57.47 156.10 25.34 212.22
507 31.71 60.05 152.15 24.84 215.26
508 31.70 66.91 115.50 23.82 202.70
509 31.76 86.78 61.07 18.93 144.84
510 31.77 43.90 144.22 25.63 219.34
511 31.81 64.66 124.27 24.65 206.71
512 31.98 89.65 44.32 15.46 104.12
513 31.88 48.88 153.79 23.70 200.98
514 31.98 20.56 135.75 16.99 193.32
515 31.99 62.49 146.84 24.67 209.88
516 31.90 41.08 140.39 23.86 216.98
517 32.07 38.46 143.90 24.07 206.56
518 32.16 15.52 117.22 16.22 175.18
519 32.01 71.49 97.07 22.24 190.00
520 32.11 80.56 73.92 21.98 176.68
521 32.05 32.22 126.66 19.73 208.36
522 32.28 46.24 162.18 24.97 216.95
523 32.31 69.14 101.75 23.31 197.80
524 32.33 76.16 82.52 24.84 183.06
525 32.46 50.94 154.07 25.53 211.79
526 32.51 30.26 143.96 19.77 190.25
527 32.51 55.65 144.07 24.93 211.05
528 32.68 73.51 85.84 22.54 182.47
529 32.70 53.38 138.91 25.63 209.40
530 32.77 10.67 87.27 13.78 124.97
531 32.87 78.45 72.25 23.72 167.10
532 32.74 35.81 135.26 20.86 203.82
533 32.74 58.89 137.92 25.42 212.19
534 32.74 42.78 137.14 24.84 209.86
535 32.82 84.89 62.18 19.54 163.27
536 32.93 23.43 138.05 17.62 188.40
537 32.99 26.18 147.35 18.05 201.22
538 33.01 61.08 139.20 25.62 211.00
539 32.95 65.28 119.96 23.52 210.38
540 33.07 67.32 101.15 23.53 200.39
541 32.93 40.19 139.90 20.56 213.98
542 33.11 13.75 103.58 13.98 166.79
