#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
dm14 14A 8 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
0 2.29 46.46 9.11 191.72 30.34
1 3.06 48.76 12.74 194.98 42.18
2 3.12 42.65 9.77 186.96 33.81
3 3.75 51.16 9.92 171.03 32.36
4 3.74 45.90 11.18 178.55 40.74
5 4.53 53.74 10.73 180.20 46.33
6 4.81 43.54 11.10 162.98 35.80
7 4.92 38.72 11.86 182.93 41.17
8 4.87 48.54 10.57 169.67 44.69
9 5.46 56.06 10.15 174.73 53.03
10 5.41 46.35 11.43 162.95 50.35
11 5.53 50.58 10.48 166.08 52.08
12 5.65 41.37 10.66 145.30 47.75
13 5.43 40.00 11.67 163.67 51.33
14 6.02 59.67 8.50 116.10 24.56
15 6.17 44.16 11.57 149.20 51.58
16 5.99 54.04 9.68 178.35 54.08
17 6.28 52.62 12.50 180.16 71.85
18 6.22 34.82 10.11 112.16 44.53
19 6.67 57.82 11.10 173.87 59.25
20 6.49 38.70 10.19 113.01 41.17
21 6.78 47.44 11.72 160.56 57.94
22 6.68 32.57 10.56 102.68 52.79
23 6.93 36.19 11.41 105.93 56.97
24 6.84 41.64 10.52 134.83 50.49
25 7.08 55.43 12.56 195.09 77.96
26 7.14 50.78 12.25 167.08 64.88
27 7.50 44.15 11.59 134.10 56.01
28 7.40 33.05 9.19 84.43 34.40
29 7.66 59.93 11.41 159.94 67.70
30 7.59 37.33 10.53 88.60 41.49
31 7.78 62.33 7.92 107.82 29.60
32 7.82 39.61 10.81 111.65 55.24
33 7.63 34.60 10.72 66.16 56.36
34 8.48 32.25 9.73 60.94 58.06
35 8.34 48.69 11.90 152.70 75.88
36 8.17 46.24 11.54 147.49 65.68
37 8.30 41.96 12.19 99.27 61.06
38 8.42 57.16 12.41 178.27 88.67
39 8.32 34.87 10.72 67.57 49.04
40 8.48 53.20 12.31 180.87 75.74
41 8.80 50.88 13.55 171.43 89.18
42 8.60 37.12 11.89 78.11 68.67
43 9.12 63.53 9.61 124.66 49.36
44 9.09 43.98 11.96 104.84 70.99
45 8.92 29.25 10.08 45.35 50.44
46 9.08 60.61 12.88 160.04 79.41
47 9.37 39.93 11.29 78.73 78.78
48 9.43 35.62 10.27 51.66 74.51
49 9.49 46.50 12.64 122.92 88.19
50 9.67 54.84 13.96 186.81 103.19
51 9.82 33.24 11.79 39.25 70.14
52 9.67 41.86 13.36 72.91 89.07
53 9.89 66.16 7.91 96.23 33.69
54 9.56 30.96 11.48 37.79 64.10
55 9.87 49.16 14.12 146.70 100.48
56 9.67 58.64 13.20 187.24 114.10
57 10.07 52.15 14.03 178.53 105.81
58 10.16 38.05 10.96 50.97 85.95
59 10.11 57.39 13.33 187.47 105.71
60 10.12 30.13 10.08 31.10 63.82
61 10.47 43.59 12.39 76.61 93.89
62 10.52 60.97 12.30 172.43 101.88
63 10.82 63.87 12.21 129.42 78.02
64 10.73 35.33 12.08 37.52 82.54
65 10.74 46.70 13.66 110.02 108.62
66 11.04 31.92 10.41 29.00 70.10
67 11.07 40.51 12.27 49.17 92.36
68 11.11 55.46 14.46 182.28 109.51
69 11.18 49.36 15.29 128.47 126.83
70 11.42 26.20 10.08 22.95 54.40
71 11.34 29.12 10.46 23.75 65.21
72 11.55 58.61 13.64 187.40 121.88
73 11.31 52.19 14.66 169.98 123.60
74 11.69 44.89 12.84 65.86 117.40
75 11.75 66.33 11.27 105.12 73.66
76 11.68 37.69 13.38 38.78 98.68
77 11.86 33.94 12.70 29.73 87.90
78 12.03 42.59 12.47 45.80 109.29
79 12.12 61.52 14.99 161.46 113.58
80 12.22 47.45 13.62 82.06 126.72
81 12.35 53.60 15.82 173.75 127.74
82 12.42 30.62 10.83 23.76 78.96
83 12.45 50.15 15.72 125.22 150.42
84 12.42 24.74 9.17 17.41 35.98
85 12.57 40.12 12.98 33.11 110.75
86 12.66 64.26 14.40 132.72 112.30
87 12.77 70.45 8.31 70.24 36.54
88 12.63 56.85 15.42 188.79 134.14
89 12.71 27.92 11.13 20.26 64.37
90 12.79 35.58 12.37 25.80 96.33
91 12.99 67.50 12.19 96.64 79.61
92 13.18 45.51 13.28 50.68 126.66
93 13.20 59.59 14.92 179.70 117.33
94 13.28 32.78 11.87 22.03 80.02
95 13.40 37.85 12.09 27.25 106.78
96 13.47 25.83 11.55 17.74 69.78
97 13.57 42.94 13.05 34.76 122.18
98 13.47 54.72 14.80 177.99 145.74
99 13.63 51.67 14.80 121.77 151.78
100 13.72 62.54 15.61 167.83 126.68
101 13.73 48.45 14.22 72.99 138.72
102 13.53 68.71 10.14 79.45 51.60
103 13.85 29.93 11.82 19.23 91.55
104 14.18 65.52 12.43 126.05 118.72
105 13.95 71.96 8.83 73.17 38.67
106 14.13 40.31 13.03 29.36 119.07
107 14.25 57.28 16.34 174.41 148.43
108 14.16 35.25 13.09 25.09 96.53
109 14.52 27.51 11.90 18.11 87.47
110 14.54 69.92 11.77 90.59 79.97
111 14.64 60.41 16.04 181.73 142.26
112 14.67 45.77 13.69 38.38 140.20
113 14.70 32.34 12.80 21.91 93.08
114 14.61 72.99 8.77 66.71 27.78
115 14.78 24.92 12.23 18.32 83.32
116 14.72 54.19 15.08 130.91 154.09
117 14.98 37.71 13.17 25.27 108.78
118 14.98 51.12 16.29 90.70 160.70
119 15.13 67.66 13.57 105.19 104.90
120 15.11 42.77 13.03 29.38 134.34
121 15.31 48.43 14.83 58.07 153.38
122 15.09 29.32 11.56 19.27 97.15
123 15.38 63.27 14.85 163.24 132.96
124 15.54 22.51 10.52 15.80 79.20
125 15.59 35.06 12.82 20.47 98.45
126 15.27 73.90 8.12 68.38 28.06
127 15.71 40.11 14.82 24.09 122.20
128 15.86 56.16 17.65 145.42 160.17
129 15.73 58.67 18.17 166.21 166.12
130 15.87 71.64 11.44 99.40 85.99
131 15.78 29.72 11.17 17.88 89.35
132 15.94 65.63 14.88 139.58 127.40
133 15.92 74.58 9.21 71.79 27.18
134 16.07 25.74 11.86 17.28 86.67
135 16.15 44.95 15.16 29.37 151.61
136 16.14 53.39 15.02 78.67 170.48
137 16.21 32.42 12.20 19.93 103.12
138 16.41 60.98 16.86 172.68 158.43
139 16.55 68.74 14.90 122.86 109.28
140 16.50 50.54 15.30 45.15 157.52
141 16.65 37.69 13.60 21.13 116.60
142 16.73 42.29 13.58 24.50 131.18
143 16.74 47.59 15.65 34.22 166.07
144 17.04 27.46 11.75 17.95 93.73
145 17.07 63.47 16.93 172.54 127.02
146 16.92 22.85 10.87 14.83 87.77
147 17.04 73.04 11.53 96.07 54.57
148 17.22 29.97 13.50 19.49 96.31
149 17.15 35.04 13.53 19.58 102.15
150 17.21 58.30 15.71 122.79 165.92
151 17.37 55.62 15.99 85.16 178.90
152 17.65 40.07 13.93 22.33 133.11
153 17.69 45.49 14.76 28.23 132.80
154 17.78 32.29 14.20 17.91 108.43
155 17.72 52.56 15.87 46.26 160.90
156 17.86 66.42 15.47 156.08 123.31
157 18.00 69.53 14.87 141.01 105.87
158 17.93 25.18 12.10 16.37 99.43
159 17.99 49.54 16.00 34.42 161.89
160 18.08 19.88 10.15 13.69 79.60
161 18.08 60.89 16.24 167.30 153.93
162 17.88 75.17 11.43 109.07 57.07
163 18.25 43.08 14.28 24.24 116.79
164 18.38 37.53 14.59 20.37 109.20
165 18.32 71.83 13.98 119.37 83.59
