#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
dm10 14A 5 even-skipped knirps hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - hb>
0 1.89 44.66 13.39 151.19 58.75
1 3.06 43.56 14.76 151.28 68.85
2 3.21 46.60 14.94 148.85 71.72
3 3.89 41.59 16.36 150.82 73.03
4 3.96 48.99 14.05 151.88 67.88
5 4.03 52.40 12.82 147.41 54.53
6 4.40 44.66 16.60 153.84 75.17
7 4.69 37.74 16.69 141.89 77.63
8 4.80 39.95 17.04 149.25 77.52
9 4.52 36.37 12.79 152.18 73.67
10 4.94 55.13 12.28 135.45 54.29
11 5.22 47.78 17.34 154.38 88.84
12 5.43 50.27 16.81 142.02 78.43
13 5.40 53.01 15.61 157.15 81.43
14 5.72 41.88 18.54 144.29 86.70
15 5.66 45.22 18.25 152.61 87.20
16 6.06 37.45 17.79 131.70 80.05
17 6.28 56.26 13.65 143.76 70.19
18 6.72 43.75 18.95 152.36 95.56
19 6.65 53.91 14.88 154.86 99.12
20 6.76 47.37 17.26 149.16 98.72
21 6.72 51.59 17.43 147.62 99.33
22 6.44 33.60 15.37 130.30 88.96
23 6.87 39.90 18.44 148.17 97.18
24 6.87 34.80 17.87 121.74 86.05
25 7.37 58.28 13.78 140.54 85.93
26 7.15 50.14 19.96 145.67 98.79
27 7.57 55.35 16.58 139.48 97.32
28 7.44 36.90 18.73 124.92 99.18
29 7.59 49.32 18.25 148.66 88.57
30 7.97 42.33 19.57 140.99 102.65
31 7.91 45.22 19.60 144.24 110.70
32 8.06 33.79 19.08 104.73 95.45
33 7.98 39.58 20.56 126.03 104.31
34 8.35 47.71 18.90 144.42 108.69
35 8.24 53.19 18.91 148.91 111.48
36 8.66 50.75 19.75 154.64 125.98
37 8.21 36.91 19.75 126.77 110.34
38 8.61 56.83 17.02 150.49 133.14
39 8.76 59.14 15.71 147.30 122.36
40 8.70 31.88 16.94 80.78 116.29
41 8.74 39.53 19.51 129.63 117.83
42 9.10 36.27 20.32 114.05 119.11
43 9.22 54.81 19.31 154.74 143.11
44 8.76 60.95 14.46 137.38 108.62
45 9.14 44.78 18.56 135.73 118.21
46 9.47 41.77 20.76 124.69 112.94
47 9.39 61.43 15.56 134.27 114.58
48 9.64 34.12 18.52 83.98 120.97
49 9.36 31.69 16.31 74.28 112.69
50 9.88 30.08 15.91 50.89 117.49
51 9.64 39.01 20.73 119.92 115.31
52 9.54 47.42 19.62 145.51 137.61
53 9.98 52.50 19.84 150.20 142.63
54 10.06 57.48 17.73 147.54 155.13
55 10.20 59.83 18.55 146.36 154.68
56 10.40 50.16 20.21 147.84 151.24
57 10.47 32.45 18.19 56.42 115.78
58 10.56 43.38 20.88 131.48 137.32
59 10.38 63.77 14.37 131.93 130.21
60 10.39 37.44 19.89 99.61 138.00
61 10.66 46.11 20.70 134.66 144.54
62 10.80 55.23 19.62 147.33 162.96
63 10.88 40.57 20.60 110.38 134.16
64 10.82 35.21 19.48 75.26 134.83
65 11.11 61.70 16.62 145.12 168.68
66 11.17 66.45 13.82 124.51 116.23
67 11.40 48.05 19.66 147.96 165.94
68 11.57 30.24 17.87 34.02 124.15
69 11.52 52.99 19.51 148.02 164.40
70 11.34 27.66 14.80 27.61 136.39
71 11.62 59.04 19.03 141.07 167.12
72 11.68 50.49 19.46 146.04 165.37
73 11.69 32.47 18.56 45.79 143.74
74 11.80 44.62 21.30 127.50 169.95
75 11.80 64.15 15.32 130.10 159.64
76 11.78 37.81 19.50 82.51 147.26
77 11.99 56.50 20.27 139.89 177.60
78 12.08 42.07 21.12 104.40 165.14
79 12.09 69.13 12.14 106.62 94.88
80 12.03 28.18 15.00 26.02 143.56
81 12.33 35.18 19.10 48.97 142.64
82 12.39 26.35 14.89 20.52 115.70
83 12.55 39.86 19.77 82.58 161.28
84 12.56 66.34 15.73 128.12 166.68
85 12.58 46.66 20.82 129.65 178.99
86 12.55 62.00 18.35 139.08 183.18
87 12.93 54.47 20.24 148.34 186.14
88 12.85 49.47 18.88 136.28 176.26
89 12.93 52.10 20.50 148.57 190.21
90 13.08 59.52 19.02 135.28 179.01
91 13.08 29.66 17.51 24.94 144.64
92 13.08 37.51 20.73 52.73 158.99
93 13.19 43.59 19.56 99.03 172.16
94 13.29 57.11 20.32 149.86 198.04
95 13.28 33.03 18.75 32.15 146.11
96 13.34 68.45 16.11 117.76 146.82
97 13.58 64.05 19.03 125.18 180.62
98 13.69 71.12 12.57 105.14 102.57
99 13.46 41.09 20.31 69.43 181.79
100 13.84 35.43 19.19 36.24 172.33
101 13.62 27.36 16.06 19.12 140.40
102 13.85 45.49 21.60 107.48 200.22
103 13.97 47.94 22.74 130.66 198.71
104 14.08 61.23 20.13 142.50 207.02
105 14.11 66.20 18.16 134.99 182.90
106 14.21 38.57 19.60 47.63 176.39
107 14.15 50.49 20.79 141.58 219.79
108 14.23 31.83 18.37 24.43 153.84
109 14.44 52.98 21.67 140.14 206.84
110 14.43 55.52 21.24 144.67 208.29
111 14.10 41.30 19.42 71.61 194.28
112 14.61 29.42 18.47 21.21 153.50
113 14.65 58.26 21.17 142.68 204.98
114 14.68 25.78 15.49 16.82 139.48
115 14.64 69.38 16.65 120.58 156.21
116 14.80 43.27 20.63 68.68 185.91
117 14.84 34.37 18.64 27.69 159.64
118 15.04 63.00 19.61 130.75 179.86
119 14.93 40.67 19.61 52.44 178.49
120 15.09 36.90 19.67 36.55 182.31
121 15.10 45.91 21.11 98.76 202.86
122 15.05 73.96 12.28 97.58 88.94
123 15.35 71.75 15.53 120.66 146.05
124 15.13 23.09 13.57 12.79 130.58
125 15.30 48.47 20.87 120.59 205.86
126 15.43 50.83 22.36 128.81 217.74
127 15.36 60.47 19.55 144.39 193.01
128 15.58 65.09 18.78 130.65 180.72
129 15.51 32.46 18.17 23.83 167.03
130 15.73 67.73 18.70 125.15 174.57
131 15.74 54.41 20.42 140.12 219.02
132 15.96 27.33 16.22 17.98 161.37
133 15.98 38.33 20.98 32.05 185.64
134 15.97 56.63 21.99 147.23 214.08
135 15.97 29.73 17.91 19.97 160.78
136 15.90 25.01 16.08 16.31 139.64
137 15.96 41.25 20.79 40.41 193.29
138 16.10 44.40 21.81 64.73 213.59
139 16.22 35.47 20.25 25.43 184.69
140 16.31 52.23 21.25 132.29 227.84
141 16.37 58.91 21.32 143.38 211.00
142 16.35 22.52 14.62 12.58 119.60
143 16.41 47.12 23.35 91.14 221.13
144 16.59 69.87 18.44 122.40 185.08
145 16.63 61.52 20.45 136.86 199.12
146 16.76 49.79 23.34 105.64 223.37
147 16.77 63.87 22.05 128.96 197.84
148 16.70 32.34 18.40 20.37 165.93
149 16.73 72.88 16.63 105.02 130.46
150 16.58 25.40 15.39 17.45 137.27
151 16.98 42.53 21.13 42.87 210.11
152 17.00 39.58 21.99 28.64 199.90
153 17.02 66.71 20.24 128.33 186.88
154 17.21 53.60 24.34 123.12 215.31
155 17.29 29.97 18.15 18.65 165.76
156 17.26 56.89 21.28 131.60 213.35
157 17.42 44.97 23.24 50.66 217.41
158 17.40 21.08 13.88 13.13 113.30
159 17.45 34.67 20.71 23.32 179.00
160 17.42 37.06 20.51 26.07 206.84
161 17.44 24.34 16.81 14.78 144.12
162 17.54 27.27 17.14 16.58 161.86
163 17.67 71.30 21.24 119.35 167.10
164 17.61 47.73 23.77 66.16 223.14
165 17.78 59.55 23.08 143.25 214.10
