#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf6 14A 6 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
139 14.23 27.94 17.00 24.92 13.50
140 14.51 56.24 22.00 96.49 16.63
141 14.32 35.96 17.12 28.53 16.12
142 14.57 22.79 10.60 18.89 9.27
143 14.62 62.55 19.73 79.27 15.16
144 14.75 68.86 18.36 76.08 14.69
145 15.05 23.84 13.21 19.05 15.39
146 14.81 45.22 20.64 35.18 29.72
147 14.67 36.77 19.58 31.08 19.00
148 15.06 52.15 23.40 79.25 23.05
149 15.10 66.33 20.96 79.86 18.42
150 15.09 60.75 24.04 100.63 18.35
151 15.17 35.04 19.50 26.66 24.97
152 15.10 40.13 19.61 30.28 22.14
153 15.19 48.39 22.01 45.12 41.29
154 15.19 37.59 19.20 26.73 20.49
155 15.18 72.75 14.66 71.23 14.32
156 15.64 54.25 22.53 88.07 26.11
157 15.73 26.51 14.24 20.23 27.29
158 15.47 29.45 15.71 22.03 25.09
159 15.56 64.21 23.15 88.44 19.93
160 15.52 71.33 17.88 75.33 14.21
161 15.74 22.18 10.87 18.95 17.16
162 15.92 56.60 23.42 99.21 21.88
163 15.85 44.32 21.55 30.82 52.52
164 15.99 50.55 22.01 59.80 51.69
165 15.65 38.66 19.75 30.00 19.25
166 15.92 68.37 20.76 77.24 17.76
167 15.92 46.98 21.70 35.37 66.40
168 16.04 62.23 22.27 94.77 20.50
169 15.80 74.92 12.18 77.68 10.68
170 16.23 70.26 17.64 72.96 16.27
171 16.36 41.79 20.70 29.71 59.31
172 16.07 73.68 13.35 81.08 10.92
173 16.22 31.65 18.70 23.23 38.36
174 16.61 24.63 15.18 19.68 36.09
175 16.36 36.93 17.81 25.98 46.40
176 16.38 39.43 19.23 26.78 44.12
177 16.66 34.31 18.34 26.15 45.72
178 16.60 65.96 22.80 82.92 18.69
179 16.56 29.13 18.50 22.37 43.50
180 16.66 60.82 24.86 104.76 25.23
181 16.39 75.68 12.17 79.67 8.67
182 16.58 46.89 21.41 34.39 77.76
183 16.78 52.73 22.45 71.14 41.82
184 16.51 74.79 14.19 83.08 11.81
185 16.86 22.03 12.83 17.58 40.92
186 17.02 49.35 21.94 40.41 83.47
187 17.04 55.63 24.10 93.03 31.80
188 17.14 58.26 24.53 102.39 28.56
189 17.10 44.44 20.59 31.02 98.31
190 17.02 73.30 15.37 81.15 15.46
191 17.36 26.84 14.68 22.07 58.71
192 17.38 62.89 24.36 97.22 23.16
193 17.74 38.12 19.77 26.09 102.69
194 17.60 31.92 19.26 23.85 72.82
195 17.77 40.42 22.91 26.77 107.02
196 17.42 68.07 22.28 78.80 19.52
197 17.50 72.20 17.15 75.67 14.75
198 17.65 46.50 23.17 30.58 125.80
199 17.82 35.88 19.20 25.19 99.49
200 18.05 20.00 11.37 15.34 54.72
201 17.95 42.77 21.93 29.69 137.02
202 17.95 51.66 24.68 47.61 88.79
203 17.70 66.52 25.60 84.76 21.05
204 17.89 54.01 23.14 72.38 57.99
205 17.88 75.42 15.03 80.50 14.98
206 18.05 29.23 17.81 23.75 87.98
207 18.01 23.25 16.36 19.40 69.69
208 18.26 59.26 26.00 101.62 35.70
209 18.26 48.48 22.36 33.49 126.85
210 18.38 64.54 24.08 90.83 23.93
211 18.46 56.58 25.94 89.46 46.95
212 18.48 33.95 20.69 25.37 107.11
213 18.34 71.46 19.80 70.54 22.80
214 18.85 25.42 15.71 22.88 93.68
215 18.80 73.44 21.83 86.82 23.02
216 18.64 69.03 22.32 83.27 20.20
217 18.83 45.23 22.30 29.91 144.27
218 18.79 61.53 25.97 102.34 28.40
219 18.92 77.76 13.82 80.25 14.42
220 18.54 75.47 14.85 79.92 16.62
221 19.03 50.24 23.54 37.11 122.68
222 19.14 30.85 20.52 25.48 123.68
223 19.12 39.32 22.27 27.47 143.96
224 19.23 27.98 17.25 22.46 110.47
225 19.15 42.18 22.34 29.61 149.44
226 19.00 53.86 26.56 55.38 85.10
227 19.20 36.73 20.24 25.34 144.83
228 19.07 76.45 14.09 84.46 15.02
229 19.22 22.43 15.74 19.79 95.76
