#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf5 14A 7 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 1.63 48.38 6.76 66.27 2.18
1 2.38 52.17 6.87 66.98 2.80
2 2.69 45.88 13.17 78.91 5.10
3 2.93 49.25 12.66 79.19 5.04
4 2.95 40.22 10.95 76.99 6.13
5 3.69 51.80 13.33 82.77 5.64
6 3.40 43.00 17.22 89.06 7.70
7 4.06 45.56 15.36 90.87 6.46
8 4.15 48.33 16.04 91.85 5.45
9 4.30 57.50 7.87 64.47 3.12
10 4.25 39.25 14.44 86.30 10.35
11 4.14 54.85 13.25 77.38 5.36
12 4.72 36.67 15.51 80.71 14.33
13 4.93 41.98 15.79 88.35 13.57
14 5.00 52.52 16.32 93.93 6.87
15 4.76 55.94 13.44 73.38 5.25
16 5.16 49.91 17.75 91.90 7.63
17 5.54 46.82 17.08 91.60 9.13
18 5.66 39.27 18.10 84.06 15.34
19 5.44 57.47 13.77 72.86 5.35
20 6.02 44.53 18.12 89.27 15.57
21 5.68 59.71 10.36 76.14 3.88
22 5.94 54.84 18.54 90.87 6.69
23 5.71 61.34 6.70 65.46 2.86
24 6.18 36.57 17.70 71.25 19.66
25 6.36 41.75 19.40 85.76 21.42
26 6.36 51.80 19.36 97.66 7.61
27 6.21 57.59 15.88 84.95 6.23
28 6.65 48.91 17.24 91.44 8.43
29 6.89 59.98 13.50 80.82 5.71
30 6.99 31.22 14.09 35.67 10.05
31 6.99 34.53 17.19 48.93 14.03
32 7.10 38.91 17.74 71.94 19.55
33 7.24 53.70 18.52 102.69 7.88
34 7.35 56.28 18.28 91.52 7.19
35 7.61 43.55 20.20 95.46 15.60
36 7.80 45.97 20.23 95.56 11.64
37 7.79 50.87 19.20 99.70 8.66
38 7.92 36.87 17.39 51.79 13.34
39 7.91 48.19 22.62 103.36 10.33
40 7.92 41.01 21.17 80.16 16.98
41 7.91 64.45 9.35 67.24 3.93
42 8.07 61.66 15.26 78.91 6.41
43 8.22 58.58 17.47 92.11 6.65
44 7.96 29.85 12.98 24.63 7.15
45 8.14 33.61 17.17 33.31 9.53
46 8.70 53.32 22.31 114.02 9.94
47 9.05 35.36 17.80 32.83 8.91
48 8.94 55.76 21.47 99.88 8.70
49 9.01 38.91 20.82 52.36 12.48
50 8.68 30.40 12.89 23.02 7.09
51 9.09 42.28 21.77 74.50 11.35
52 9.20 45.08 23.48 93.05 10.74
53 9.20 32.50 16.30 26.23 7.63
54 9.28 50.70 21.66 99.69 9.66
55 9.42 63.60 15.33 74.73 6.90
56 9.50 47.69 23.55 103.95 10.86
57 9.29 28.41 12.63 16.90 5.06
58 9.37 67.27 9.33 48.18 4.54
59 9.71 58.04 19.73 100.34 8.12
60 9.72 60.60 18.03 86.78 7.69
61 9.69 30.32 16.40 18.18 5.90
62 10.22 40.44 20.35 51.71 9.46
63 10.00 53.82 23.44 119.96 10.58
64 10.07 65.61 14.92 67.60 7.08
65 10.26 27.86 14.65 16.62 5.80
66 10.45 37.86 21.27 35.48 8.87
67 10.33 43.35 22.57 77.70 10.09
68 10.58 49.50 23.35 102.05 9.72
69 10.46 56.08 23.34 102.14 11.04
70 10.37 30.62 14.39 18.71 7.35
71 10.75 45.70 22.60 92.10 9.85
72 10.99 51.98 22.74 106.85 11.18
73 10.69 68.02 10.38 60.70 7.36
74 10.78 35.26 18.40 25.48 8.68
75 11.10 58.87 22.95 94.02 10.90
76 11.16 29.59 18.52 16.56 6.83
77 11.04 61.45 21.46 93.91 9.88
78 10.92 64.28 18.74 76.84 10.06
79 11.57 47.43 23.24 97.50 11.54
80 11.51 42.16 21.07 55.51 9.29
81 11.57 54.56 24.90 114.90 11.83
82 11.56 66.46 17.24 73.39 12.89
83 11.70 36.64 20.32 25.57 8.62
84 11.53 63.14 17.00 83.19 10.58
85 11.86 39.54 22.12 32.18 8.95
86 11.86 28.36 18.60 16.79 7.26
87 12.22 49.50 24.82 106.73 11.86
88 12.27 44.76 24.50 75.52 10.92
89 11.86 31.46 18.77 17.97 8.63
90 11.95 34.28 24.89 20.32 9.45
91 12.26 68.35 14.89 70.89 18.19
92 12.19 65.38 15.09 78.12 13.66
93 12.43 56.81 24.70 105.80 13.33
94 12.31 60.19 21.89 92.55 12.83
95 12.22 32.70 19.25 18.81 7.92
96 12.68 63.28 20.86 85.43 13.61
97 12.79 51.58 25.04 116.73 12.34
98 12.56 70.86 10.59 61.28 17.40
99 12.62 30.94 19.31 19.58 8.60
100 12.62 34.77 22.09 21.76 10.00
101 12.84 42.05 20.82 42.39 10.26
102 12.88 54.03 22.80 115.52 12.43
103 13.07 26.74 19.10 16.21 8.59
104 13.16 47.06 24.32 88.04 12.67
105 13.36 58.46 22.71 107.01 14.53
106 13.16 35.83 21.12 19.00 10.17
107 13.08 37.25 19.38 25.10 9.75
108 13.38 66.21 19.65 80.29 24.72
109 12.97 31.41 23.25 19.00 8.75
110 13.56 39.94 21.74 29.51 11.75
111 13.22 70.87 13.08 72.65 15.49
112 13.71 61.02 22.48 95.05 16.97
113 13.87 43.47 24.46 45.02 13.15
114 13.60 24.90 15.24 15.17 7.98
115 13.79 49.52 26.27 109.03 14.97
116 13.68 69.34 15.97 78.24 29.16
117 13.47 34.82 23.30 20.60 9.90
118 14.24 28.15 21.02 15.59 11.27
119 13.99 55.63 23.87 114.52 16.00
120 13.77 30.96 21.72 16.78 11.22
121 13.84 37.06 21.64 25.76 11.72
122 14.04 34.01 23.11 18.50 11.19
123 14.26 45.62 25.67 64.66 15.66
124 14.16 52.71 25.49 105.64 16.07
125 14.26 68.36 17.88 74.47 25.22
126 14.40 36.19 22.80 20.95 12.15
127 14.48 63.00 22.08 88.85 26.26
128 14.53 71.30 14.65 71.89 14.86
129 14.40 38.28 23.06 22.84 13.35
130 14.32 30.77 21.85 16.49 10.55
131 14.83 66.81 18.05 81.65 40.39
132 14.72 24.72 19.49 13.84 12.31
133 14.84 47.87 24.68 76.19 16.90
134 14.77 58.14 25.00 109.35 19.05
135 14.91 41.70 24.85 29.67 16.46
136 15.08 50.42 27.28 98.44 19.75
137 14.94 39.62 26.55 23.00 17.00
138 14.79 34.68 24.73 19.00 17.36
139 15.15 74.24 10.87 67.39 8.77
140 15.14 61.02 24.38 88.17 28.22
141 15.20 44.10 27.20 38.47 24.05
142 15.38 69.45 20.10 78.89 21.56
143 15.37 32.74 22.48 17.85 16.56
144 15.29 35.67 25.59 20.10 14.27
145 15.51 53.16 25.52 113.49 22.29
146 15.34 55.63 25.68 120.91 21.45
147 15.06 33.98 20.75 20.00 12.12
148 15.36 64.97 23.53 78.00 32.66
149 15.36 30.18 22.25 16.05 18.11
150 15.64 26.90 17.89 14.67 18.73
151 15.48 38.87 22.44 24.78 22.50
152 15.68 37.39 23.48 19.30 25.09
153 15.78 46.11 26.72 50.44 26.88
154 15.97 71.73 16.45 82.05 17.11
155 15.80 64.14 21.84 81.66 31.30
156 15.75 40.03 26.59 19.69 18.28
157 16.29 23.91 17.89 13.30 21.70
158 16.36 67.21 20.93 86.76 30.77
159 16.00 21.78 14.43 14.62 11.38
160 16.31 48.52 25.98 71.92 29.63
161 16.28 57.38 24.48 118.02 28.29
162 16.31 41.63 27.35 24.60 39.10
163 16.35 59.72 24.92 102.81 31.50
164 16.36 50.93 24.29 97.08 28.83
165 16.41 62.47 23.62 91.04 27.95
166 16.38 34.23 23.48 18.39 33.64
