#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw10 14A 5 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 2.62 53.83 10.85 83.90 6.38
1 2.94 49.01 12.48 96.68 8.52
2 3.23 46.30 14.86 104.27 8.86
3 3.64 52.05 13.69 99.96 8.47
4 3.77 43.75 13.90 98.98 9.43
5 3.94 55.31 14.48 99.67 7.79
6 4.37 49.20 17.24 100.37 10.82
7 4.49 41.22 15.62 97.91 10.87
8 4.57 46.41 16.57 105.48 10.12
9 5.00 54.05 16.23 100.10 10.32
10 5.29 56.74 14.54 92.89 9.04
11 5.07 51.19 16.42 99.77 9.93
12 5.36 43.21 16.13 99.84 10.49
13 5.54 52.09 15.96 101.41 10.91
14 6.02 38.95 14.48 75.01 11.26
15 5.74 48.40 19.47 96.97 12.90
16 5.80 61.29 10.11 74.51 7.49
17 5.75 41.10 16.63 91.48 11.69
18 5.79 59.22 15.12 93.46 8.49
19 5.91 45.55 18.60 90.69 13.06
20 6.38 54.12 18.08 96.66 12.18
21 6.58 50.90 18.43 102.05 13.40
22 6.68 36.80 15.68 71.87 11.06
23 6.59 57.78 15.76 103.43 10.24
24 6.73 41.97 18.24 84.05 12.89
25 6.96 61.05 14.24 90.03 8.11
26 7.06 44.77 21.84 85.80 14.17
27 7.20 63.40 10.44 78.24 6.57
28 7.31 34.79 14.05 50.89 11.23
29 7.61 55.91 18.34 103.89 14.62
30 7.45 53.10 19.37 100.21 13.66
31 7.51 47.85 21.21 92.02 13.60
32 7.26 39.03 18.80 54.73 13.20
33 7.77 59.10 17.26 104.19 9.83
34 7.93 38.11 18.37 57.88 12.30
35 8.06 40.00 20.51 62.89 14.64
36 8.05 50.60 19.72 98.25 13.68
37 8.12 53.82 18.59 99.21 13.26
38 8.28 45.77 21.08 82.09 14.98
39 8.51 62.23 14.16 89.88 8.72
40 8.21 36.24 15.71 47.22 12.96
41 8.32 43.12 21.39 70.92 15.12
42 8.62 33.72 14.42 36.35 9.36
43 8.81 64.72 12.53 79.56 8.13
44 8.55 41.08 19.56 58.87 13.69
45 8.70 48.32 21.80 96.49 16.38
46 8.90 57.10 20.44 105.38 13.03
47 8.80 35.72 14.33 37.33 12.41
48 9.05 59.86 16.95 103.07 12.18
49 8.95 52.28 22.33 102.26 15.04
50 9.01 37.71 18.77 51.67 13.19
51 9.00 54.35 22.72 98.53 15.47
52 9.52 42.79 20.25 59.02 14.66
53 9.55 46.13 21.48 71.84 16.05
54 9.34 35.04 15.38 37.52 12.07
55 9.68 39.89 19.47 47.30 14.38
56 9.49 51.52 21.31 92.39 15.26
57 9.67 54.79 20.29 95.37 13.39
58 9.89 66.84 11.25 66.09 7.82
59 9.94 35.94 17.18 33.82 12.32
60 9.98 61.89 18.61 95.50 10.87
61 10.26 57.66 21.77 106.69 14.11
62 10.23 64.12 16.57 79.61 10.08
63 10.12 33.23 15.58 30.61 11.80
64 10.39 50.23 22.29 81.60 15.24
65 10.31 47.65 24.07 69.78 18.22
66 10.47 30.43 13.58 21.93 10.16
67 10.62 44.58 22.72 57.44 16.64
68 10.48 37.79 18.88 37.95 14.73
69 10.78 52.59 21.89 84.86 14.86
70 10.73 59.84 21.33 106.22 12.95
71 11.03 41.95 22.19 47.90 15.09
72 11.05 55.40 21.72 99.10 14.74
73 11.04 39.62 20.42 36.97 16.61
74 11.31 35.65 19.02 30.74 15.10
75 11.10 48.19 21.80 61.59 16.54
76 11.07 66.64 15.25 82.49 9.55
77 11.46 62.15 19.59 100.97 13.82
78 11.66 46.14 23.05 56.55 16.66
79 11.35 60.49 23.30 95.91 12.70
80 11.80 64.48 18.63 98.52 12.65
81 11.61 68.79 12.59 73.34 10.16
82 11.87 57.79 21.36 99.48 15.16
83 11.76 29.88 14.31 23.53 11.56
84 11.69 49.78 25.12 63.16 16.40
85 12.10 43.75 22.30 42.66 16.76
86 12.05 53.22 21.60 74.51 15.61
87 11.86 37.43 21.14 31.08 16.22
88 11.97 39.54 19.33 34.20 16.17
89 12.16 50.65 20.81 57.93 15.60
90 12.20 31.72 17.85 22.15 13.64
91 12.72 60.12 23.27 91.47 16.34
92 12.71 48.18 23.42 50.80 16.81
93 12.91 55.11 22.90 70.81 16.95
94 12.41 32.94 18.46 26.23 16.08
95 12.77 70.68 12.17 68.99 9.84
96 12.63 28.41 13.50 18.87 12.09
97 12.62 30.57 17.19 24.67 13.00
98 12.93 26.42 13.76 19.60 10.97
99 12.80 40.42 22.63 33.08 17.58
100 13.15 45.58 22.90 40.02 17.53
101 12.97 33.70 20.62 27.49 16.54
102 13.18 65.12 18.67 92.00 15.81
103 13.30 62.21 21.73 104.35 16.41
104 13.21 58.13 22.70 82.69 16.54
105 13.64 35.36 20.95 27.48 16.96
106 13.24 67.87 15.08 78.82 11.54
107 13.22 32.07 17.58 25.28 14.49
108 13.52 52.36 21.44 50.98 15.72
109 13.47 39.56 21.52 30.99 17.99
110 13.83 49.37 22.70 42.60 17.74
111 13.46 29.77 17.12 22.71 15.31
112 13.54 37.69 18.88 28.55 17.55
113 13.26 27.19 13.00 22.50 12.25
114 13.59 57.01 21.86 75.63 17.79
115 13.52 27.90 12.85 20.08 14.81
116 13.70 25.53 13.21 19.76 10.93
117 13.96 69.93 16.42 78.23 13.71
118 14.06 72.59 12.83 63.49 9.92
119 13.88 41.76 22.57 34.12 18.78
120 14.02 33.29 21.68 28.09 20.94
121 14.17 43.92 22.11 35.83 17.52
122 14.16 28.30 15.52 22.45 14.00
123 14.07 59.90 20.98 75.98 19.53
124 14.46 65.92 20.38 91.14 19.04
125 14.51 63.68 21.97 88.19 19.36
126 14.45 46.61 23.32 34.61 20.56
127 14.26 55.99 24.19 62.51 21.96
128 14.22 67.56 17.80 81.41 15.66
129 14.41 37.01 22.60 29.11 18.44
130 14.29 39.44 21.71 28.38 19.68
131 14.29 53.92 24.34 50.48 22.61
132 14.31 26.17 12.84 19.94 14.44
133 14.48 30.38 20.39 24.80 16.10
134 14.50 32.20 19.62 27.62 18.50
135 14.61 58.69 23.83 73.63 19.09
136 14.75 51.46 23.20 41.80 20.17
137 14.51 42.35 25.52 32.52 20.06
138 14.42 40.50 24.00 32.00 25.00
139 14.79 61.84 21.94 89.95 21.52
140 14.89 34.04 19.56 26.94 19.31
141 14.95 56.55 22.83 57.02 18.85
142 14.81 70.96 15.86 76.38 18.72
143 14.92 40.19 22.48 29.33 19.88
144 15.10 53.88 24.54 48.43 19.59
145 15.01 24.86 11.73 19.73 13.00
146 15.86 34.61 22.50 28.30 22.56
147 15.33 68.46 19.21 83.45 18.96
148 15.23 29.08 18.80 22.04 21.90
149 15.29 44.95 23.45 31.68 23.67
150 15.30 73.61 13.50 61.83 13.56
151 15.14 38.54 25.47 27.78 20.59
152 15.39 60.67 22.87 78.87 21.77
153 15.38 42.49 24.74 31.71 20.98
154 15.52 27.20 15.79 21.84 19.64
155 15.53 71.05 15.17 77.07 16.04
156 15.54 40.76 21.52 29.81 19.19
157 15.87 58.39 25.30 57.66 31.07
158 15.73 49.68 23.11 34.49 22.94
159 15.78 47.37 27.03 32.55 25.52
160 15.98 65.42 21.83 87.84 24.36
161 15.92 38.02 26.16 28.88 23.66
162 15.97 24.05 13.56 18.61 22.17
163 15.80 55.51 22.96 44.53 30.32
164 16.11 62.88 22.16 82.38 29.47
165 15.88 52.45 24.03 38.06 28.10
166 15.84 39.62 22.93 30.67 22.33
