#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kw17 14A 3 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 2.46 45.65 11.00 53.95 8.59
1 2.35 50.41 9.97 51.05 8.49
2 2.59 48.06 13.39 58.85 8.35
3 2.75 52.92 8.88 45.33 7.50
4 3.14 50.32 13.47 62.95 8.09
5 3.53 45.80 14.61 60.16 9.29
6 3.74 47.98 15.90 65.32 9.82
7 3.88 52.47 13.45 60.14 8.99
8 3.68 50.03 12.02 64.40 8.65
9 3.79 54.92 10.16 48.88 7.49
10 4.18 57.23 7.24 40.12 6.14
11 4.77 43.11 15.31 54.32 10.28
12 4.62 50.59 15.42 65.77 10.91
13 5.05 45.96 16.16 60.35 11.86
14 4.53 47.93 17.67 57.90 10.92
15 5.07 53.30 14.51 60.75 10.34
16 5.32 55.24 14.15 57.71 10.43
17 5.51 48.94 17.82 62.99 14.05
18 5.51 58.55 10.29 48.07 7.82
19 5.66 40.89 15.06 48.06 11.83
20 5.49 52.02 18.64 64.88 10.16
21 5.65 39.33 14.19 43.48 11.24
22 6.00 51.22 16.86 62.37 13.03
23 6.24 60.90 9.03 41.97 7.35
24 6.31 44.22 20.29 55.72 13.86
25 5.92 52.50 17.50 63.67 11.83
26 6.80 46.51 19.14 55.84 15.13
27 6.39 57.32 14.73 64.82 10.47
28 6.32 41.83 16.10 49.67 12.48
29 6.24 59.83 8.67 48.67 8.33
30 6.74 55.31 16.43 66.77 11.59
31 7.00 53.16 18.60 61.88 12.60
32 6.62 38.44 15.85 37.54 12.23
33 6.69 50.16 19.52 64.50 14.52
34 7.22 59.44 14.25 57.69 10.26
35 7.24 62.02 9.32 44.39 7.61
36 7.26 48.68 22.48 61.38 16.04
37 7.41 43.23 17.42 45.44 14.39
38 7.36 51.08 18.91 59.40 14.62
39 7.45 39.87 15.64 36.32 13.00
40 7.31 38.09 14.14 30.66 12.31
41 7.60 35.72 14.45 26.49 11.20
42 7.90 57.26 18.04 66.47 12.00
43 8.13 46.76 23.58 52.33 16.49
44 8.06 37.48 15.65 28.69 13.90
45 8.36 54.89 17.14 63.00 13.89
46 8.12 60.31 13.09 62.76 11.47
47 8.26 63.30 11.22 50.52 8.50
48 8.41 44.90 19.27 48.46 16.63
49 8.77 41.63 18.57 34.71 16.52
50 8.74 53.15 20.54 62.70 16.03
51 8.52 50.25 21.01 59.89 17.66
52 8.45 39.15 16.67 29.93 12.77
53 8.45 34.61 14.78 21.39 13.72
54 8.75 60.85 14.21 60.41 12.05
55 9.01 58.92 17.52 68.02 15.20
56 8.79 35.56 19.02 22.90 13.21
57 8.88 46.80 21.60 51.13 16.90
58 9.33 57.40 21.50 66.68 15.16
59 9.54 64.70 10.53 47.05 9.56
60 9.27 38.87 17.95 26.12 14.97
61 9.38 36.84 17.08 23.29 14.35
62 9.67 47.83 20.85 49.14 17.43
63 9.71 50.86 19.57 54.44 17.56
64 9.88 55.37 19.40 65.51 16.65
65 9.73 62.58 17.06 60.24 13.14
66 9.68 46.11 22.15 45.03 17.85
67 9.82 60.69 17.97 65.69 14.21
68 10.21 45.17 21.62 40.40 17.62
69 9.98 53.40 19.76 59.95 19.24
70 10.32 41.11 20.36 29.10 17.64
71 10.05 42.84 19.60 30.95 17.55
72 10.17 33.12 18.08 17.90 13.08
73 10.33 39.67 18.00 26.00 16.20
74 10.47 66.33 10.44 41.07 10.34
75 10.70 58.60 19.81 70.20 18.07
76 10.55 48.37 23.59 42.43 20.55
77 10.68 53.65 21.51 60.92 19.51
78 10.84 43.26 21.93 31.63 19.63
79 10.88 35.36 19.08 20.06 16.82
80 11.05 63.81 17.47 59.75 15.39
81 10.92 65.52 13.75 51.81 12.92
82 10.85 50.26 17.46 51.54 18.83
83 11.16 51.34 21.02 52.85 19.12
84 11.35 31.74 16.39 17.07 15.67
85 10.83 45.81 22.17 38.17 19.33
86 10.93 47.55 21.71 43.50 18.36
87 11.39 61.57 18.81 65.67 16.97
88 11.39 40.31 20.69 25.60 16.72
89 11.61 55.14 22.36 58.94 20.80
90 11.30 46.30 21.79 38.00 21.48
91 11.15 32.75 15.33 19.78 17.56
92 11.28 48.51 24.39 40.94 19.16
93 11.63 67.30 10.38 47.17 12.55
94 11.35 45.21 24.46 36.92 21.23
95 11.64 39.09 21.35 22.61 18.94
96 11.43 30.26 14.50 16.31 12.38
97 11.70 44.11 21.23 28.78 18.43
98 11.54 47.67 18.00 39.67 22.00
99 11.68 33.60 18.47 18.55 16.51
100 11.89 42.15 21.89 26.51 19.83
101 12.06 57.25 22.71 64.36 24.14
102 11.80 36.50 21.93 21.89 19.09
103 12.26 59.42 20.55 66.47 22.07
104 12.00 52.97 20.72 54.20 23.49
105 11.94 29.98 15.03 16.09 14.44
106 12.00 46.27 20.49 35.55 19.43
107 12.09 50.27 24.57 44.42 26.81
108 12.29 64.99 16.44 54.65 19.60
109 12.12 47.57 21.88 38.69 21.81
110 12.29 48.56 25.76 38.78 24.91
111 12.39 69.60 10.78 38.06 11.92
112 12.67 62.65 18.47 56.99 19.93
113 12.56 30.69 16.00 16.42 15.80
114 12.20 32.80 14.33 22.56 13.44
115 12.25 34.16 18.29 19.41 18.76
116 12.59 40.22 20.52 25.57 20.70
117 12.51 38.80 19.56 21.36 23.08
118 12.52 43.65 21.20 25.70 24.86
119 12.89 45.71 22.70 27.52 25.39
120 12.62 35.43 19.63 19.59 20.61
121 12.62 52.46 21.54 49.80 21.41
122 12.59 49.55 21.89 37.78 24.22
123 12.94 67.11 15.41 55.37 21.10
124 12.66 33.31 18.48 20.76 18.52
125 13.20 41.94 23.45 25.58 21.91
126 12.71 47.62 22.31 35.23 24.31
127 12.83 51.23 24.68 40.92 23.04
128 13.25 54.77 23.55 55.26 28.05
129 13.53 56.83 23.10 60.85 28.63
130 13.21 70.74 8.45 34.83 11.97
131 13.17 33.26 20.17 18.02 21.10
132 13.24 43.64 24.60 25.92 23.90
133 13.18 47.86 21.05 34.00 20.71
134 13.37 58.54 22.55 65.75 28.81
135 13.59 60.67 21.50 68.99 28.20
136 13.49 49.35 22.33 37.39 29.39
137 13.47 30.22 16.75 18.39 20.21
138 13.75 28.57 17.76 16.58 18.35
139 13.74 51.99 23.28 42.53 28.39
140 13.75 65.28 18.55 57.92 25.85
141 13.68 53.92 22.49 54.37 26.86
142 13.92 69.21 13.22 45.59 23.40
143 13.98 35.76 20.74 18.89 26.33
144 13.75 37.38 21.91 25.06 23.66
145 13.97 62.89 20.32 60.14 31.76
146 14.19 45.44 21.57 25.24 28.76
147 14.01 40.35 19.64 21.88 29.06
148 14.31 47.73 23.72 27.69 32.10
149 14.24 43.22 23.36 24.40 30.81
150 14.46 33.35 19.97 20.28 26.87
151 14.51 41.15 24.44 23.13 29.37
152 14.48 59.73 20.32 62.42 31.90
153 14.39 64.52 17.84 55.84 24.11
154 14.60 67.24 18.98 49.51 32.10
155 14.58 38.42 22.61 21.92 28.33
156 14.91 31.07 17.84 18.33 25.53
157 14.63 49.82 23.34 33.68 35.69
158 14.86 71.47 12.14 38.28 22.81
159 15.00 54.58 23.14 48.96 36.04
160 14.96 27.96 15.89 16.43 25.62
161 15.12 57.31 24.66 58.18 38.54
162 15.22 52.44 24.11 40.04 40.98
163 14.92 61.51 18.41 61.03 37.06
164 15.00 43.63 23.26 22.36 31.23
165 15.38 63.95 20.78 57.75 37.97
166 15.35 29.33 18.02 14.30 26.96
