#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf3 14A 8 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 2.64 48.38 8.73 159.91 7.07
1 3.23 51.95 8.76 159.60 6.98
2 3.57 48.73 8.43 143.48 8.01
3 3.87 56.66 9.22 163.72 7.96
4 4.49 53.87 10.02 157.73 8.37
5 4.22 44.20 9.28 158.74 12.91
6 4.65 59.03 9.47 170.76 7.74
7 4.44 50.39 8.95 147.56 8.40
8 4.84 47.55 9.13 156.92 11.89
9 4.92 41.77 7.30 146.65 22.51
10 4.99 51.37 9.98 148.90 8.65
11 5.54 61.48 10.26 170.01 8.15
12 5.71 56.15 10.06 140.47 9.82
13 5.81 37.56 9.15 148.58 28.29
14 5.69 45.11 8.70 136.60 13.72
15 5.82 41.85 9.83 146.73 21.70
16 6.14 49.73 10.81 134.02 14.68
17 6.02 52.75 10.94 141.47 10.96
18 5.94 59.35 10.48 178.90 8.30
19 6.19 39.39 8.71 125.40 26.13
20 6.70 46.99 10.19 144.06 18.68
21 6.63 63.25 9.65 164.39 7.88
22 6.76 43.65 10.63 130.91 25.81
23 7.11 54.35 12.39 135.98 13.18
24 7.24 60.47 10.90 164.30 9.02
25 7.34 37.94 9.74 114.74 29.92
26 7.53 41.05 10.09 109.40 30.52
27 7.44 56.60 12.82 156.85 12.73
28 7.44 51.58 11.02 127.86 14.50
29 7.70 65.19 10.58 157.68 7.37
30 7.84 48.88 11.61 133.88 17.38
31 8.05 45.90 11.26 120.89 28.29
32 7.98 33.91 8.41 87.08 31.61
33 8.26 31.66 7.62 68.96 28.06
34 8.15 57.34 13.42 164.73 11.62
35 8.12 52.47 11.64 151.40 19.40
36 8.37 63.18 12.32 174.10 9.64
37 8.51 58.34 12.96 166.29 13.19
38 8.57 67.44 9.14 136.14 8.30
39 8.71 43.60 11.14 110.28 36.59
40 8.51 35.43 8.55 80.14 28.00
41 8.75 53.10 11.72 155.22 22.00
42 8.91 60.96 13.27 168.99 11.72
43 8.67 38.40 9.58 94.41 37.39
44 8.58 59.64 13.44 174.17 11.15
45 8.97 50.32 12.03 134.30 24.80
46 9.07 54.49 13.70 159.98 26.25
47 9.00 32.46 7.80 70.00 25.41
48 9.25 41.20 10.95 95.34 33.06
49 9.34 46.98 11.59 117.62 27.78
50 9.52 69.30 8.91 136.30 8.60
51 9.26 30.82 6.70 66.90 22.49
52 9.46 64.55 11.55 154.47 8.61
53 9.42 56.24 12.93 173.73 22.11
54 9.70 36.05 9.91 80.76 31.39
55 9.73 57.98 16.46 168.19 17.41
56 10.05 33.28 8.34 56.78 20.56
57 9.77 39.00 10.21 93.26 35.42
58 10.22 51.75 12.90 145.51 33.18
59 10.35 29.03 7.29 46.78 14.04
60 10.16 60.30 13.60 168.80 12.94
61 10.19 43.70 10.90 95.68 31.87
62 10.45 48.69 12.31 125.73 36.54
63 10.23 67.21 11.95 150.90 10.12
64 10.73 45.82 12.50 97.32 36.33
65 10.88 31.23 8.52 43.07 12.66
66 10.59 38.79 10.62 79.97 24.90
67 10.39 54.69 13.50 139.71 31.00
68 10.82 64.68 13.33 171.67 11.07
69 10.92 57.37 14.39 168.38 18.93
70 10.92 41.17 11.47 72.90 31.72
71 10.71 55.73 14.10 165.95 23.79
72 11.06 37.33 9.70 68.91 22.07
73 11.12 61.92 15.44 172.87 11.60
74 11.22 69.91 10.31 136.54 10.31
75 10.95 35.38 10.61 47.76 19.96
76 11.07 67.48 11.22 145.49 11.68
77 11.33 54.52 13.12 145.88 27.84
78 11.20 27.01 7.18 30.51 7.32
79 11.67 43.74 12.54 83.17 37.59
80 11.46 46.61 12.75 100.67 51.53
81 11.69 72.76 8.00 101.50 10.57
82 11.61 50.84 12.92 134.57 39.37
83 11.62 34.68 9.13 34.65 15.70
84 11.68 60.60 14.66 166.25 12.44
85 11.84 58.57 15.56 178.98 14.80
86 11.75 29.26 8.24 33.92 9.52
87 11.76 33.23 8.49 35.31 9.71
88 12.02 38.81 11.07 56.58 26.72
89 12.11 65.70 15.07 166.41 12.17
90 12.12 46.77 12.89 100.97 50.53
91 12.13 52.97 14.68 157.10 30.45
92 11.94 27.23 7.03 30.73 8.57
93 11.98 68.00 13.43 145.60 13.12
94 12.35 63.27 15.33 180.79 12.22
95 12.10 31.43 8.16 38.93 9.95
96 12.31 35.83 11.09 48.09 20.18
97 12.32 49.80 14.70 132.38 49.22
98 12.30 41.76 11.47 69.51 32.58
99 12.74 70.78 11.59 129.18 15.46
100 12.44 47.84 14.94 100.09 46.15
101 12.60 60.01 15.84 184.96 14.27
102 12.47 44.34 13.33 79.20 31.93
103 12.57 33.51 10.12 41.84 12.57
104 12.81 56.98 17.12 180.33 15.86
105 12.79 67.90 12.82 146.25 12.90
106 12.73 26.92 8.73 27.38 7.70
107 12.92 41.34 11.48 63.42 19.15
108 13.10 31.52 9.58 34.88 7.95
109 13.07 54.76 17.96 164.20 24.29
110 13.08 73.69 8.99 99.67 23.01
111 13.10 37.88 10.84 50.03 16.94
112 13.18 39.30 13.04 53.98 15.75
113 13.15 52.36 15.75 141.18 30.04
114 13.03 44.57 12.91 79.27 32.27
115 13.35 47.11 14.35 103.36 36.86
116 13.38 49.83 15.52 131.72 39.34
117 13.55 44.02 13.70 70.83 24.46
118 13.66 65.05 13.64 169.45 13.41
119 13.64 61.09 15.93 196.07 13.34
120 13.57 29.45 9.36 28.43 8.82
121 13.72 57.72 17.95 188.38 16.49
122 13.76 27.84 8.85 26.60 7.61
123 13.79 24.80 8.00 27.75 6.36
124 13.55 35.83 12.00 43.13 12.67
125 13.63 37.39 11.04 43.00 15.00
126 13.71 73.05 10.05 113.22 25.56
127 13.85 41.16 12.49 55.08 14.87
128 13.76 53.92 16.69 170.00 25.00
129 14.04 67.96 14.53 138.34 18.43
130 14.28 75.29 8.86 103.05 25.38
131 14.03 71.19 12.88 145.08 35.69
132 14.06 45.86 13.80 75.17 25.07
133 14.31 52.54 16.90 149.48 23.49
134 14.36 55.28 17.14 177.32 18.89
135 14.18 31.43 10.54 31.94 9.15
136 14.25 36.39 11.20 37.02 11.96
137 14.53 59.03 18.03 194.98 16.07
138 14.52 62.29 16.78 193.29 14.65
139 14.57 43.44 14.74 62.14 16.75
140 14.51 47.31 17.08 84.27 19.49
141 14.42 49.90 15.24 116.20 23.65
142 14.53 34.10 11.69 33.73 11.25
143 14.76 29.49 8.37 27.56 7.33
144 14.60 27.60 9.00 27.82 8.63
145 14.72 40.41 12.55 48.64 13.09
146 14.94 26.27 9.08 26.86 8.62
147 15.16 63.77 17.04 185.25 17.42
148 15.20 66.16 16.14 176.59 19.05
149 15.26 56.34 16.69 164.17 17.66
150 15.33 24.45 8.30 24.00 7.74
151 15.16 31.12 10.60 30.06 8.26
152 15.07 36.86 9.63 36.53 12.21
153 15.29 51.09 14.62 104.00 17.92
154 15.53 59.58 17.12 192.80 17.29
155 15.52 71.64 13.42 130.75 37.64
156 15.64 74.08 11.41 118.33 37.24
157 15.72 68.65 15.09 155.90 30.88
158 15.42 47.91 16.00 73.99 17.33
159 15.49 53.53 16.83 142.74 18.64
160 15.48 32.76 10.81 33.51 11.04
161 15.50 34.31 12.66 35.86 10.77
162 15.49 42.72 14.35 51.10 14.39
163 15.85 76.73 9.06 108.17 21.88
164 15.70 37.14 13.74 34.59 12.21
165 15.51 29.11 10.57 29.29 10.29
166 16.08 61.26 16.38 183.38 19.14
