#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf2 14A 2 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 2.17 45.71 5.71 80.29 4.18
1 2.55 42.06 6.84 87.74 5.16
2 2.86 44.42 7.51 87.42 5.09
3 2.91 50.12 6.31 81.98 4.52
4 2.98 47.32 7.97 87.09 5.40
5 3.11 39.40 7.61 88.96 5.25
6 3.54 53.13 4.94 66.80 3.59
7 3.55 42.18 8.28 93.28 5.69
8 3.88 51.12 8.16 93.10 5.16
9 4.03 48.54 9.79 87.03 6.47
10 4.16 37.92 8.89 87.08 5.96
11 4.32 40.37 10.41 87.88 6.89
12 4.53 34.96 7.66 81.06 6.44
13 4.54 43.21 10.72 91.72 7.32
14 4.60 54.99 6.03 74.65 4.40
15 4.63 52.59 10.61 97.22 6.19
16 4.84 45.47 11.60 98.98 8.01
17 4.87 53.67 7.64 90.52 6.60
18 4.67 36.09 9.09 84.09 5.22
19 5.18 50.87 11.48 105.64 7.82
20 5.13 48.68 11.99 94.67 7.50
21 4.96 57.01 4.96 63.89 3.17
22 5.38 39.19 10.86 88.10 7.85
23 5.33 36.40 9.76 81.14 7.02
24 5.25 41.76 11.32 96.60 8.36
25 5.68 34.21 8.86 78.33 6.94
26 5.79 46.92 13.14 92.73 9.52
27 5.60 55.88 8.68 79.18 5.83
28 5.67 37.32 10.30 80.80 7.90
29 5.87 44.10 12.70 93.78 9.23
30 5.75 53.09 10.04 89.06 7.19
31 5.89 41.53 12.44 89.30 8.02
32 6.05 58.22 6.94 70.88 4.69
33 6.43 51.71 12.47 99.77 8.66
34 6.38 54.54 11.25 94.92 7.31
35 6.26 60.44 4.13 51.47 2.22
36 6.61 49.20 14.37 91.96 9.67
37 6.40 35.10 11.38 81.00 8.12
38 6.73 40.17 13.90 94.79 10.76
39 6.63 59.66 5.50 66.64 4.50
40 6.90 46.74 14.52 93.57 10.04
41 7.03 44.34 14.60 99.31 11.15
42 7.16 32.64 9.98 73.50 7.28
43 6.94 37.49 12.07 82.44 8.72
44 6.99 58.33 8.88 82.52 6.77
45 6.99 35.29 11.27 84.42 8.52
46 7.32 42.29 14.40 92.01 10.73
47 7.30 56.23 11.31 92.36 8.36
48 7.49 53.97 14.76 98.05 9.77
49 7.28 60.19 6.77 71.80 5.23
50 7.17 57.51 8.67 92.83 10.00
51 7.69 51.92 15.04 101.71 9.87
52 7.84 50.30 15.00 102.00 11.35
53 8.02 37.90 13.74 90.03 11.61
54 7.91 35.39 12.72 84.34 9.78
55 8.05 47.27 16.69 98.73 12.31
56 8.13 40.73 15.71 97.45 11.98
57 8.22 44.95 16.20 94.23 13.17
58 8.16 61.02 7.36 76.35 5.88
59 8.26 57.65 11.87 96.72 7.96
60 8.42 32.63 11.92 70.56 9.65
61 8.21 49.09 15.04 99.12 12.50
62 8.60 55.84 13.46 89.68 9.61
63 8.32 54.91 13.60 101.60 11.20
64 8.47 59.48 11.09 84.94 8.34
65 8.73 53.15 14.49 96.34 12.21
66 8.86 63.73 5.42 63.10 4.44
67 9.07 39.09 14.88 93.29 12.92
68 9.04 50.41 16.26 100.31 13.08
69 8.98 62.18 9.19 75.12 7.23
70 9.07 43.03 16.43 87.36 12.45
71 9.22 47.78 17.53 106.81 13.93
72 9.48 36.59 15.04 85.63 12.95
73 9.41 58.55 13.16 88.11 11.22
74 9.48 45.25 17.68 95.13 14.34
75 9.47 60.77 11.41 83.37 10.50
76 9.41 29.84 10.40 46.96 8.60
77 9.17 31.42 15.14 57.00 10.29
78 9.38 34.49 13.87 72.13 11.66
79 9.68 41.24 16.00 94.45 13.00
80 9.68 56.50 16.99 92.88 11.96
81 9.61 31.93 13.48 55.23 10.36
82 9.70 64.24 6.93 70.07 6.09
83 9.50 33.24 11.38 64.75 10.94
84 9.72 54.48 16.83 99.55 12.88
85 9.97 51.28 19.11 96.03 13.54
86 10.09 52.69 15.17 95.27 12.67
87 10.10 49.42 19.48 102.80 15.05
88 10.23 30.57 11.68 46.95 10.25
89 10.44 43.60 17.06 96.57 14.59
90 10.34 38.96 16.33 90.47 14.31
91 10.37 46.90 19.58 103.84 15.71
92 10.46 29.00 11.29 41.73 10.06
93 10.37 62.02 12.95 83.70 13.11
94 10.52 33.90 14.85 62.02 13.01
95 10.57 65.70 7.33 65.70 7.60
96 10.74 57.83 15.02 90.59 14.77
97 10.74 36.73 18.04 77.95 15.12
98 10.71 59.89 14.55 86.98 14.12
99 10.60 49.38 19.50 101.57 12.64
100 10.96 41.29 18.28 89.72 15.53
101 10.82 67.59 5.09 50.89 4.40
102 10.88 31.81 13.08 49.95 11.81
103 10.89 55.60 17.29 87.66 14.16
104 11.06 63.83 11.08 76.86 12.51
105 11.12 50.90 19.28 96.19 16.51
106 11.39 45.29 17.01 99.64 16.11
107 11.37 53.88 18.99 94.48 16.86
108 11.37 47.94 18.89 98.57 16.41
109 11.48 29.77 13.48 42.76 12.83
110 11.80 61.32 14.28 80.65 16.40
111 11.47 37.34 16.64 78.71 14.89
112 11.64 35.05 15.84 65.32 16.65
113 11.85 39.67 18.32 84.71 16.27
114 11.81 42.73 18.92 91.83 16.67
115 11.60 60.39 17.22 81.67 17.44
116 11.91 58.20 18.37 88.32 19.13
117 11.90 25.37 9.27 32.15 9.78
118 11.84 32.10 15.72 50.67 14.02
119 12.09 49.90 18.67 94.15 18.53
120 12.13 55.95 18.80 90.49 19.65
121 12.19 63.52 14.02 80.49 17.28
122 12.35 52.24 21.08 96.93 21.11
123 12.11 28.05 12.28 38.39 13.81
124 12.05 69.35 5.73 50.91 7.45
125 12.26 37.58 18.65 72.54 19.41
126 12.44 46.60 20.21 101.71 19.80
127 12.30 30.49 16.30 42.55 15.85
128 12.75 68.36 9.33 62.76 14.94
129 12.56 33.88 18.95 59.32 21.29
130 12.80 43.91 20.66 93.68 20.74
131 12.96 25.70 10.13 32.06 10.81
132 12.87 36.09 18.14 66.80 19.57
133 12.99 58.96 19.05 88.63 24.28
134 13.03 30.47 15.78 45.00 17.08
135 13.07 41.64 18.33 85.27 20.20
136 13.06 39.14 18.83 78.36 21.04
137 13.06 65.93 13.72 75.20 24.82
138 13.14 61.73 17.26 83.36 25.24
139 13.15 56.37 20.74 89.58 26.12
140 13.03 60.21 17.47 90.53 23.41
141 13.23 64.19 17.37 78.48 32.58
142 13.19 34.18 16.39 64.78 21.26
143 13.27 48.36 19.64 99.49 21.51
144 13.39 50.60 19.63 103.28 23.71
145 13.51 32.53 17.31 50.44 19.41
146 13.67 45.63 20.40 104.43 23.96
147 13.69 35.08 17.53 61.44 21.16
148 13.81 52.85 21.19 102.78 26.67
149 13.78 70.43 8.72 54.53 15.43
150 13.81 43.07 20.91 96.03 28.09
151 14.07 58.42 21.12 87.82 30.47
152 13.98 66.97 17.47 74.40 35.39
153 14.23 36.71 20.27 64.81 25.18
154 14.36 60.48 21.52 83.86 34.10
155 14.24 39.17 20.19 80.16 22.98
156 14.40 41.23 21.04 88.35 26.49
157 14.08 47.70 19.31 98.64 29.11
158 14.10 62.39 19.94 85.38 37.03
159 14.24 23.70 9.93 30.57 14.36
160 14.26 69.27 13.33 67.74 22.60
161 14.48 26.38 14.34 36.53 21.15
162 14.35 43.57 20.24 96.90 23.55
163 14.37 22.38 8.74 30.23 12.35
164 14.31 28.35 14.34 38.75 22.81
165 14.33 31.47 17.95 48.74 28.92
166 14.40 33.73 16.88 51.82 22.43
