#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf4 14A 1 even-skipped knirps giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - kni, channel 3 - gt>
0 1.73 51.46 7.45 68.83 6.00
1 2.31 47.73 10.01 69.39 6.11
2 2.73 50.00 10.95 71.84 7.17
3 2.80 52.47 9.70 68.20 5.75
4 3.02 44.27 9.63 69.16 7.79
5 3.40 45.29 10.67 68.67 8.69
6 3.65 48.12 11.24 68.01 8.60
7 3.64 54.84 10.24 71.23 7.62
8 3.46 52.21 11.90 72.09 8.09
9 3.73 57.52 8.33 67.31 5.21
10 3.68 42.27 8.84 65.00 8.42
11 3.93 40.20 9.16 63.03 7.75
12 4.15 45.86 11.69 71.30 8.67
13 4.04 43.28 12.97 69.75 9.33
14 4.12 50.70 12.00 67.72 11.00
15 4.19 52.87 12.54 69.22 8.72
16 4.34 59.46 7.11 66.12 5.25
17 4.18 56.37 10.16 72.21 7.00
18 4.90 50.42 13.43 75.16 10.60
19 5.01 40.71 11.64 64.21 10.82
20 5.01 43.43 12.11 69.31 11.45
21 5.05 47.91 13.94 76.00 11.49
22 4.78 52.30 13.79 67.62 9.57
23 4.88 54.40 12.44 74.58 10.57
24 5.09 56.54 11.80 75.26 9.44
25 5.70 45.66 14.15 72.16 12.45
26 5.51 38.45 10.83 57.51 10.54
27 5.62 58.76 12.29 76.08 7.56
28 5.64 41.49 12.74 61.66 12.29
29 5.82 53.61 13.75 76.17 12.79
30 6.06 49.66 16.51 81.51 13.66
31 6.19 56.68 13.57 77.45 11.80
32 6.67 47.66 13.47 72.51 11.77
33 6.61 43.73 14.09 66.01 12.96
34 6.38 60.52 11.23 69.56 9.03
35 6.62 38.50 12.45 57.27 12.51
36 6.49 40.41 14.61 61.73 12.19
37 6.68 51.47 13.38 77.83 12.78
38 6.54 53.30 15.90 78.00 10.47
39 6.86 58.83 11.14 69.58 9.89
40 6.65 41.89 13.50 62.21 11.91
41 7.03 36.64 11.93 48.06 11.55
42 7.25 62.11 11.31 68.93 8.00
43 7.34 64.57 8.15 64.99 7.04
44 7.70 33.56 10.62 40.16 10.96
45 7.39 49.43 15.77 78.15 13.12
46 7.53 53.86 15.03 71.93 12.53
47 7.58 45.66 15.59 64.94 14.42
48 7.77 39.29 13.68 52.35 13.86
49 7.45 55.77 15.47 77.42 12.67
50 7.88 59.78 14.68 75.12 10.40
51 7.74 41.22 11.21 56.74 13.95
52 7.71 43.11 16.33 61.33 11.73
53 8.08 51.83 17.33 80.62 15.16
54 8.04 47.76 15.19 68.89 13.22
55 8.04 49.59 15.77 76.16 14.21
56 8.25 66.74 7.72 61.95 5.66
57 8.14 38.24 12.90 53.43 12.67
58 8.25 42.02 14.34 59.72 13.17
59 8.25 64.12 11.03 62.66 8.92
60 8.52 61.23 13.54 71.01 10.26
61 8.43 36.53 12.94 45.98 13.25
62 8.21 43.26 17.80 63.70 13.25
63 8.61 58.54 16.41 77.35 14.35
64 8.56 44.81 15.40 68.53 15.54
65 8.49 55.85 15.86 78.68 14.33
66 8.98 53.57 16.43 72.43 14.32
67 8.85 41.20 16.34 52.87 14.75
68 8.80 33.08 11.98 37.85 12.85
69 8.96 47.93 16.86 74.84 14.75
70 8.83 38.11 15.81 49.19 15.19
71 8.71 64.35 11.91 62.64 10.64
72 8.82 39.50 15.22 53.28 16.38
73 9.14 50.49 16.61 74.67 13.27
74 9.00 56.92 16.48 74.65 14.55
75 9.07 62.90 14.42 67.83 10.89
76 9.09 37.33 15.42 49.92 17.67
77 9.11 44.63 15.43 67.07 14.86
78 9.41 43.50 15.67 59.00 15.34
79 9.43 30.06 8.70 33.95 9.12
80 9.49 32.23 11.39 37.44 15.19
81 9.44 40.88 16.95 53.38 14.67
82 9.54 37.99 15.97 48.19 14.87
83 9.83 45.80 16.41 69.73 15.16
84 9.74 60.66 16.14 73.37 14.12
85 9.72 63.44 14.25 64.02 11.40
86 9.71 39.55 16.71 48.54 15.46
87 9.93 58.68 17.52 74.86 15.35
88 9.74 65.33 12.97 62.16 11.13
89 9.68 42.23 16.48 58.24 16.14
90 9.67 48.73 16.50 79.40 17.10
91 10.11 56.38 17.90 74.16 14.77
92 9.82 31.02 12.93 34.79 12.89
93 10.12 51.58 17.29 74.52 16.08
94 10.02 43.05 15.92 58.69 15.77
95 10.41 68.23 12.75 62.78 10.62
96 10.31 48.88 17.30 72.53 16.61
97 10.49 32.07 12.84 37.47 16.04
98 10.37 40.68 17.88 51.38 15.00
99 10.71 38.61 18.23 46.51 17.63
100 10.66 42.20 16.00 54.30 18.32
101 10.61 44.04 16.66 57.68 16.55
102 10.29 62.87 19.33 70.33 13.00
103 10.50 65.17 14.23 69.06 15.35
104 10.68 35.94 16.04 44.74 16.83
105 10.98 46.91 16.18 69.57 16.11
106 10.94 61.32 17.62 74.67 16.47
107 10.82 51.90 15.28 76.36 16.32
108 10.99 29.92 12.96 34.54 14.10
109 11.08 63.18 15.58 68.59 14.75
110 11.10 59.46 19.21 73.95 14.97
111 11.38 70.42 11.70 57.49 12.19
112 11.30 49.20 18.07 73.48 16.68
113 11.17 33.30 15.42 41.50 15.25
114 11.53 56.10 16.95 77.73 16.72
115 11.35 44.74 16.84 61.44 17.54
116 11.26 64.69 15.57 63.52 15.74
117 11.47 53.87 17.79 78.02 16.53
118 11.23 68.09 12.39 57.50 12.44
119 11.48 57.97 17.98 76.34 15.54
120 11.74 36.87 18.32 46.85 19.12
121 11.66 38.75 16.20 44.88 18.72
122 11.66 42.40 19.63 54.22 18.37
123 12.01 50.98 18.20 79.71 17.42
124 11.78 40.65 16.89 45.96 18.51
125 12.10 67.44 14.71 62.24 16.39
126 12.19 31.32 14.33 37.52 16.30
127 12.08 34.51 14.66 40.28 19.31
128 11.97 32.93 14.12 38.09 18.59
129 11.82 49.80 19.80 75.20 18.30
130 11.88 52.05 18.50 81.25 19.25
131 12.27 65.20 18.07 66.35 18.17
132 12.29 28.76 12.57 32.65 16.05
133 12.32 62.90 17.97 72.78 17.01
134 12.15 70.01 13.35 58.78 13.32
135 12.38 43.96 16.89 56.48 19.11
136 12.45 60.66 18.33 73.69 18.43
137 12.48 26.51 10.90 28.97 14.83
138 12.60 48.49 18.94 70.85 20.24
139 12.47 58.33 18.58 84.40 20.01
140 12.57 46.32 18.31 66.21 17.99
141 12.78 40.12 16.04 50.24 18.83
142 12.76 37.98 19.24 44.99 21.45
143 12.56 35.93 17.06 43.31 17.71
144 12.61 55.09 18.20 80.11 20.74
145 12.94 52.42 16.69 80.37 17.69
146 12.88 53.75 17.66 80.05 20.32
147 12.83 25.22 10.10 26.50 14.90
148 13.22 69.94 16.30 57.31 19.05
149 13.15 33.74 14.94 40.05 21.13
150 12.79 50.15 17.57 71.00 23.00
151 12.97 28.45 14.12 35.31 19.88
152 12.99 44.47 17.39 55.77 18.65
153 13.20 55.64 21.20 85.63 19.10
154 13.39 50.71 20.79 72.42 20.08
155 13.27 67.13 19.45 65.91 26.36
156 13.17 26.35 12.37 31.00 15.79
157 13.45 57.12 19.72 79.08 20.30
158 13.25 64.60 20.08 65.72 22.85
159 13.51 72.04 14.50 55.62 17.50
160 13.60 36.66 15.81 40.73 20.05
161 13.49 42.93 19.00 56.92 22.27
162 13.76 60.06 19.66 70.80 20.48
163 13.62 28.25 14.79 34.78 19.79
164 13.81 62.55 20.00 65.79 22.34
165 13.40 25.71 9.50 38.00 14.00
166 13.62 40.19 18.42 50.18 23.35
